_CustomObjectKey,id_titulo,id_plano,id_serie
16268039,105343,"PM72R ",AA
16268040,105352,"PU36A ",IA
16268041,1055,"PM48  ",GB
16268042,105715,"PM48  ",GC
16268043,10574,"PU24A ",EA
16268044,105789,"PU368 ",AD
16268045,105850,"PU36A ",IA
16268046,105884,"PU24A ",EA
16268047,105940,"PM60  ",LD
16268048,10596,"PM60  ",LE
16268049,105995,"PM48E ",ED
16268050,10607,"PU24A ",EA
16268051,106079,"PU36A ",IA
16268052,10610,"PU24A ",EA
16268053,10617,"PU24A ",EA
16268054,106460,"PU24W ",AG
16268055,100,PU001Q,AA
16268056,1000,PU001T,AA
16268057,100059,"PU369 ",AD
16268058,100099,"PU36A ",IA
16268059,10014,"PM48M ",OJ
16268060,10023,"PU24A ",EA
16268061,10032,"PU36A ",IC
16268062,100481,"PM60  ",LC
16268063,100488,"PU36A ",IB
16268064,100555,"PU24A ",EA
16268065,100571,"PU48F ",AA
16268066,100590,"PM604 ",AA
16268067,100595,"PM48M ",OA
16268068,10068,"PU24A ",EA
16268069,10068,PUQR14,AA
16268070,10070,"PU24A ",EA
16268072,100792,"PU481 ",AA
16268074,100795,"PU481 ",AA
16268075,100799,"PM60  ",LE
16268076,100946,"PU481 ",AA
16268077,100951,"PM60  ",LA
16268078,100969,"PU368 ",AD
16268079,101067,"PM60V ",AA
16268080,101104,"PU12C ",AA
16268081,10112,"PU36A ",IB
16268082,10114,"PU24A ",EA
16268083,10115,"PUD36 ",AA
16268084,101237,"36PU3 ",AA
16268085,101252,"PM48M ",OA
16268086,101260,"PM60  ",LA
16268087,101348,"PM48  ",GB
16268088,101414,"PM60D ",AA
16268089,101422,"A48PM ",AB
16268090,10143,"PU58A ",AF
16268091,10145,"PU58A ",AF
16268092,101492,"PUA24 ",AA
16268093,10153,"PU24A ",EA
16268094,101559,"PM60  ",LB
16268095,10158,"PU36O ",AI
16268096,101581,"PU36O ",AC
16268097,101841,"PU36A ",IB
16268098,101846,"36PU1 ",AA
16268099,1019,PU001D,AB
16268100,1019,PUDB22,AA
16268101,101949,"PU36C ",AC
16268102,10206,"PU24A ",EA
16268103,102144,"PM48M ",OK
16268104,10217,"PU24A ",EA
16268105,10240,"PU24A ",EA
16268106,102428,"PM48  ",GD
16268107,102477,"PM60  ",LA
16268108,102487,"PU36M ",SB
16268109,102499,"PM48M ",OA
16268110,102786,"PM48M ",OB
16268111,102788,"PM48M ",OB
16268112,103166,"PU36H ",AB
16268113,103196,"PMA48 ",AA
16268114,103354,"PU369 ",AD
16268115,10339,"PU58V ",AC
16268116,103494,"A36PU ",AA
16268117,10360,"PM36A ",CH
16268118,103648,"PM484 ",AA
16268120,103658,"PU36H ",AA
16268121,103659,"PUA48 ",AA
16268122,10372,"PU48F ",AA
16268123,103797,"PU36O ",AE
16268124,103798,"PU36N ",TA
16268125,103836,"PU36A ",IB
16268126,103851,"PM24R ",AA
16268127,103858,"PM48M ",OB
16268128,1039,"E36PP ",AA
16268129,103943,"PU367 ",AD
16268130,103946,"PU368 ",AD
16268131,103962,"PU24A ",EA
16268132,10418,"PM36A ",CX
16268133,104321,"PU36R ",TM
16268134,10438,"PU588 ",AA
16268135,104855,"PM60  ",LB
16268136,104879,"PM48M ",OK
16268137,104996,"PU481 ",AA
16268138,1050,PUQB22,AA
16268139,105039,"PU24A ",EA
16268140,10506,"PU36W ",AB
16268141,105090,"PUF48 ",AA
16268142,10515,"PM604 ",AA
16268143,105175,"PM48E ",ED
16268144,10518,"PU24A ",EA
16268145,1052,PU001T,AA
16268146,10522,"PU24A ",EA
16268147,10523,"PM36A ",CG
16268148,105234,"PM48B ",HA
16268149,105245,"PM60  ",LE
16268150,10528,"PU24A ",EA
16268151,105295,"PU24A ",EA
16268152,105351,"PU36A ",IA
16268153,105472,"PM60  ",LD
16268154,105502,"PM60  ",LB
16268155,105533,"PU369 ",AD
16268156,105535,"PU369 ",AD
16268157,1056,PU001T,AA
16268158,10560,"PM24D ",AA
16268159,10560,"PM484 ",AA
16268160,1057,PU001T,AA
16268161,105747,"PU36  ",MA
16268163,105778,"PU368 ",AF
16268164,105788,"PU368 ",AD
16268165,105790,"PU368 ",AD
16268166,105837,"PU36A ",IA
16268167,105861,"PU24A ",EA
16268168,10588,"PM48M ",OB
16268169,105934,"PM48M ",OB
16268170,105973,"PU36W ",AA
16268171,105983,"PU36M ",SA
16268172,106070,"PM60  ",LE
16268173,106127,"PUB24 ",AA
16268174,10626,"PM60C ",AA
16268175,106299,"A60PM ",AA
16268176,1063,PU001T,AA
16268177,106320,"PU24A ",EA
16268178,106326,"PU24A ",EA
16268179,106355,"PM48B ",HA
16268180,10643,"PU12C ",AA
16268181,106460,"PU122 ",AG
16268182,106575,"PM48B ",HA
16268183,106734,"PU481 ",AA
16268184,106811,"PU36A ",IA
16268185,106819,"PU36A ",IA
16268186,106892,"PM48M ",OF
16268187,106893,"PU36W ",AA
16268188,106944,"PM60  ",LD
16268189,107010,"PM60  ",LC
16268190,107194,"PM48  ",GB
16268191,107239,"PM48M ",OG
16268192,107301,"PUD36 ",AA
16268193,107331,"PUA36 ",AA
16268194,10005,"PP60M ",AA
16268195,10010,"PMC60 ",AA
16268196,100230,"PM60  ",LA
16268197,100248,"PM48M ",OF
16268198,10025,"PU36A ",IC
16268200,10030,PU001D,AA
16268201,100338,"C36PM ",AA
16268202,100349,"PM48M ",OB
16268203,100479,"PU36M ",SB
16268204,100483,"PM60  ",LC
16268206,100485,"PU369 ",AE
16268207,10055,PUQR14,AA
16268208,1006,PU001T,AA
16268209,100797,"PU36C ",AB
16268211,100797,"PU481 ",AA
16268212,100815,"PM48  ",GA
16268213,100861,"36PU3 ",AA
16268214,101039,"PU36P ",AG
16268215,101052,"PM60V ",AA
16268216,1011,PUQB14,AA
16268217,101132,"PU24A ",EA
16268218,101184,"PM60  ",LE
16268219,101208,"A48PU ",AA
16268220,101316,"PU36W ",AA
16268221,101352,"PU36A ",IA
16268222,101364,"PM60  ",LB
16268223,101391,"PM48  ",GC
16268224,10144,"PU36R ",TN
16268225,10156,"PP36D ",AA
16268226,10168,"PU36M ",SA
16268227,101834,"PU36A ",IA
16268228,101844,"PU36A ",IB
16268229,10190,"PU24A ",EA
16268230,101951,"PU36C ",AC
16268231,10198,"PU24A ",EA
16268232,10207,"PU24A ",EA
16268233,102087,"PP93R ",AA
16268234,102120,"PUA36 ",AA
16268235,102227,"PU36W ",AA
16268236,102283,"PU36  ",MA
16268237,102330,"PU24A ",EA
16268238,102361,"A60PM ",AB
16268239,10240,"PU36  ",MA
16268240,102424,"PU24A ",EA
16268241,10248,"PM36A ",CT
16268242,102563,"PM60  ",LB
16268243,102587,"PU24A ",EA
16268244,102656,"PU368 ",AF
16268245,102689,"PM48  ",GC
16268246,102704,"PU369 ",AC
16268247,102709,"PU369 ",AC
16268248,102791,"PU36W ",AA
16268249,10287,"PM60  ",LF
16268250,102922,"PM48  ",GA
16268251,102946,"PU36M ",SA
16268252,10301,"PM48M ",ON
16268253,103017,"PU36A ",IA
16268254,103098,"PU36  ",MA
16268255,103131,"PM60  ",LB
16268256,103198,"PM60  ",LB
16268257,103209,"C36PM ",AA
16268258,103249,"PM60  ",LB
16268259,10328,"PU24A ",EA
16268260,10333,"PU24A ",EA
16268261,10343,"PU24A ",EA
16268262,103492,"A36PU ",AA
16268263,103493,"A36PU ",AA
16268264,103620,"PUD36 ",AA
16268265,103807,"PM60  ",LE
16268266,10382,"PU58V ",AD
16268267,10392,"PU24A ",EA
16268268,103932,"PM60  ",LE
16268269,10394,"PU24A ",EA
16268270,103944,"PU367 ",AD
16268271,103961,"PU24A ",EA
16268272,1040,"E36PP ",AA
16268273,1041,"E36PP ",AA
16268274,104124,"PUD36 ",AA
16268275,104193,"PU48F ",AA
16268276,1042,"E36PP ",AA
16268277,104407,"PM60  ",LE
16268278,104461,"PU48G ",AA
16268279,10457,"PM48M ",OL
16268280,1046,PU001D,AB
16268281,104840,"PU36N ",TB
16268282,10499,"PU24A ",EA
16268283,10500,"PU24A ",EA
16268284,105088,"PM60  ",LE
16268285,105098,"PU36A ",IB
16268286,1052152,"PU12C ",AA
16268287,105249,"PU36A ",IB
16268288,105275,"PM601 ",AA
16268289,105303,"PM48  ",GC
16268290,10533,"PU24A ",EA
16268291,105388,"PP93R ",AA
16268292,105534,"PU369 ",AD
16268293,105536,"PU369 ",AD
16268294,10562,"PU12D ",AA
16268295,105644,"PU368 ",AD
16268297,105777,"PU368 ",AF
16268298,1058,PU001T,AA
16268299,105871,"PU24A ",EA
16268300,105933,"PUF36 ",AA
16268301,105987,"PU36M ",SC
16268302,105990,"PU36M ",SC
16268303,106002,"PM48M ",OA
16268304,106185,"PU362 ",AB
16268305,1062,PUD57A,AA
16268306,106225,"PM24D ",AA
16268307,106433,"PU369 ",AC
16268308,106494,"PM60  ",LA
16268309,106496,"36PU2 ",AA
16268310,106500,"PU368 ",AF
16268311,106813,"PU36A ",IA
16268312,106814,"PM48M ",OF
16268313,106817,"PU36A ",IA
16268314,106820,"PU36A ",IA
16268315,106943,"PM60  ",LD
16268317,107027,"PU368 ",AF
16268319,107028,"PU368 ",AF
16268320,10707,"PU36W ",AB
16268321,107092,"PM60  ",LA
16268322,107151,"PM60  ",LB
16268323,107178,"A48PM ",AA
16268324,107194,"PU36M ",SA
16268325,107238,"PM48M ",OG
16268326,107292,"PUD36 ",AA
16268327,107296,"PUF36 ",AA
16268328,107330,"PUA36 ",AA
16268329,107387,"PP93R ",AA
16268330,107405,"PM48M ",OD
16268331,107446,"PU36A ",IB
16268332,1075,PU001T,AA
16268333,1,"PM36A ",DH
16268334,1,PU001D,AB
16268335,100,"PU36M ",SE
16268336,10001,"PM48  ",GC
16268337,100031,"PU48W ",AA
16268338,100034,"PU241 ",AA
16268339,10011,"PMC60 ",AA
16268340,10017,"PU24A ",EA
16268341,100195,"PU24A ",EA
16268342,100242,"PM60  ",LA
16268343,10029,"PU12C ",AA
16268344,100455,"PM60  ",LA
16268345,100475,"PU36M ",SB
16268346,100594,"PM48M ",OA
16268347,10064,PUQR14,AA
16268348,100661,"PM60  ",LB
16268349,10072,"PU24A ",EA
16268351,100790,"PU481 ",AA
16268353,100793,"PU481 ",AA
16268354,10106,"PU24A ",EA
16268355,101232,"PM60  ",LE
16268356,10134,"PM36A ",CP
16268357,10141,"PU24A ",EA
16268358,101420,"PU36W ",AA
16268359,10144,"PU58A ",AF
16268360,101558,"PM60  ",LB
16268361,1016,PUDB22,AA
16268362,101636,"PU36W ",AA
16268363,10175,"PU36M ",SA
16268364,101750,"PU36M ",SC
16268365,101786,"PU24A ",EA
16268366,101787,"PU36A ",IB
16268367,101853,"PM363 ",AA
16268368,101950,"PU36C ",AC
16268369,101966,"PUD36 ",AA
16268370,1020,PU001T,AA
16268371,1021,PU001D,AB
16268372,1021,PU001T,AA
16268373,10214,"PU24A ",EA
16268374,1023,PU001D,AB
16268375,102320,"PM48E ",ED
16268376,10236,"PU24A ",EA
16268377,10239,"PU24A ",EA
16268378,102406,"PU369 ",AF
16268379,10247,"PU24A ",EA
16268380,102548,"PU36C ",AA
16268381,10260,"PU24A ",EA
16268382,10277,"PU24A ",EA
16268383,102785,"A48PU ",AA
16268384,102895,"PU48B ",AA
16268385,102934,"PU36P ",AD
16268386,102974,"PM48M ",OC
16268387,103080,"PM604 ",AA
16268388,103091,"PM60  ",LA
16268389,10313,"PU24A ",EA
16268390,1033,PUDB22,AA
16268391,103344,"PM60  ",LC
16268392,10337,"PUA12 ",AA
16268393,103424,"PU36A ",IB
16268394,103490,"A36PU ",AA
16268395,103495,"B36PU ",AA
16268396,103537,"PUC24 ",AA
16268397,10366,"PU24A ",EA
16268398,103662,"PM60  ",LC
16268399,103667,"PU36  ",MA
16268400,103688,"PU48B ",AA
16268401,103763,"PM48M ",OB
16268402,1038,"E36PP ",AA
16268403,10381,"PU58V ",AD
16268404,103879,"PU36  ",MA
16268405,103934,"PM60  ",LE
16268406,103941,"PU367 ",AD
16268407,103947,"PU368 ",AD
16268408,103994,"PU36A ",IB
16268409,10402,"PUA36 ",AA
16268410,104131,"A36PU ",AA
16268411,104157,"PP60M ",AC
16268412,104234,"PU36M ",SC
16268413,104236,"PU36M ",SC
16268414,10426,"PP36I ",AA
16268415,104276,"PU36A ",IB
16268416,104368,"PU36A ",IB
16268417,104432,"A48PM ",AA
16268418,104506,"PM48M ",OB
16268419,104755,"PM484 ",AA
16268420,104927,"PM60  ",LB
16268421,104958,"PM60  ",LB
16268422,10496,"PU36A ",IB
16268423,10500,"PM36A ",CG
16268424,105028,"PU36W ",AA
16268425,105223,"PM48  ",GA
16268426,1053,PU001T,AA
16268427,105350,"PU36A ",IA
16268428,105352,"PM365 ",AA
16268429,105469,"D36PU ",AA
16268430,105515,"PM48M ",OA
16268431,105519,"PM48M ",OA
16268432,105539,"PM48M ",OE
16268433,105643,"PU368 ",AD
16268434,105671,"PU36  ",MA
16268436,105677,"PP93R ",AA
16268437,105791,"PU368 ",AD
16268438,105862,"PU36A ",IA
16268439,10591,"PM36A ",CS
16268440,105984,"PU36M ",SA
16268441,105989,"PU36M ",SC
16268442,106076,"PU36A ",IA
16268443,106128,"PM48  ",GB
16268444,106333,"PU48H ",AA
16268445,106422,"PM60  ",LA
16268446,106440,"PM48M ",OD
16268447,106465,"PU36N ",TB
16268448,106466,"PU36N ",TB
16268449,106501,"PU368 ",AF
16268450,1066,"PU36A ",IA
16268451,106810,"PU36A ",IA
16268452,106811,"PUF36 ",AA
16268453,106814,"PU36A ",IA
16268454,106816,"PU36A ",IA
16268455,106818,"PU36A ",IA
16268456,106951,"PU36H ",AA
16268457,106969,"PM48E ",ED
16268458,107103,"PM60  ",LB
16268459,107181,"PM60  ",LE
16268460,107247,"A36PM ",AA
16268461,107279,"PU24A ",EA
16268462,107294,"PUD36 ",AA
16268463,107302,"PUD36 ",AA
16268464,107304,"36PU3 ",AA
16268465,107314,"PM601 ",AA
16268466,107329,"PU24A ",EA
16268467,107540,"PU36A ",IB
16268468,107570,"A60PM ",AA
16268469,107732,"PM48  ",GA
16268470,107763,"PUD36 ",AA
16268471,107782,"PUF36 ",AA
16268472,107793,"PUF36 ",AA
16268473,10788,"PU24A ",EA
16268474,107970,"PM60  ",LA
16268475,1080,PUQB34,AA
16268476,108001,"PM60  ",LB
16268477,108004,"C36PM ",AA
16268478,10806,"PU24A ",EA
16268479,108082,"A48PM ",AA
16268480,108111,"PU36A ",IB
16268481,108213,"PM48  ",GB
16268482,108235,"PM48  ",GB
16268483,10826,"PU24A ",EA
16268484,108267,"PM60  ",LA
16268485,108273,"PUD36 ",AA
16268486,108302,"PM60  ",LE
16268487,108424,"PU368 ",AD
16268488,108425,"PU368 ",AD
16268489,108425,"PU36M ",SB
16268490,10843,"PU24A ",EA
16268491,108466,"A48PU ",AA
16268492,108467,"A48PU ",AA
16268493,108599,"PU122 ",AI
16268494,10861,"PU12C ",AA
16268495,108624,"PM48M ",OE
16268496,108801,"PM48M ",OE
16268497,1089,PU001T,AA
16268498,108902,"PM48  ",GA
16268499,108978,"PU481 ",AA
16268500,10898,"PU24A ",EA
16268501,10901,"PU24A ",EA
16268502,109011,"PM48M ",OL
16268503,109032,"PM60  ",LB
16268504,109178,"PM60  ",LE
16268505,10923,"PM36A ",CR
16268506,1093471,"PU12C ",AA
16268507,10935,"PU24A ",EA
16268508,10936,"PU368 ",AC
16268509,109375,"PM60  ",LB
16268510,109500,"PM48M ",OJ
16268511,109553,"PU368 ",AB
16268512,10956,"PU24A ",EA
16268513,109565,"PM604 ",AA
16268514,10965,"PM36A ",CS
16268515,109745,"A48PU ",AA
16268516,109766,"PM60  ",LD
16268517,10978,"PM36A ",CT
16268518,109850,"PU36H ",AC
16268519,109868,"PM60  ",LD
16268520,1099,PU001T,AA
16268521,109936,"PM365 ",AA
16268522,109953,"PM60  ",LA
16268523,10996,"PM36A ",CT
16268524,110017,"PM48E ",ED
16268525,110059,"PU24A ",EA
16268526,110111,"PU36M ",SB
16268527,110224,"PU24W ",AD
16268528,110286,"PM60  ",LA
16268529,110350,"A48PM ",AA
16268530,110438,"PU24A ",EA
16268532,11045,"36PUA ",AA
16268533,110455,"PM60  ",LB
16268534,110458,"PU368 ",AF
16268535,110459,"PU368 ",AF
16268536,11046,"PU24A ",EA
16268537,11047,"PU24A ",EA
16268538,11048,"PU24A ",EA
16268539,110521,"PU36M ",SC
16268540,110522,"PU36M ",SC
16268541,110591,"C48PM ",AA
16268542,11064,"PM36A ",CG
16268543,11079,"PM06X ",UA
16268544,11079,"PU12C ",AA
16268545,110825,"PM60  ",LA
16268546,111034,"PM604 ",AA
16268547,111044,"PM60  ",LB
16268548,111137,"PU368 ",AD
16268549,111138,"PU368 ",AD
16268550,111151,"PU368 ",AD
16268551,111153,"PU368 ",AD
16268552,111245,"PU369 ",AD
16268553,111273,"PU368 ",AB
16268554,11132,"PM48M ",OJ
16268555,111325,"PU36  ",MA
16268556,111378,"PU36  ",MA
16268557,111438,"PM60  ",LC
16268558,111478,"PM48  ",GA
16268559,1115,PU001D,AB
16268560,1116,PU001T,AA
16268561,111738,"PU36  ",MA
16268562,111743,"PU36  ",MA
16268563,11177,"PU36  ",MA
16268564,1118,PU001T,AA
16268565,111865,"PU36W ",AA
16268566,1120,PU001T,AA
16268567,112122,"PU36A ",IA
16268568,112134,"PU36A ",IA
16268569,112153,"PU36A ",IB
16268570,11226,"PU58V ",AE
16268571,112308,"PU24A ",EA
16268572,112399,"PU481 ",AA
16268573,112529,"PM60  ",LB
16268574,112546,"PU36A ",IB
16268575,112620,"PU36A ",IB
16268576,112645,"PM48  ",GC
16268577,112733,"PM48  ",GC
16268578,11274,PUQR22,AA
16268579,11284,"PU24A ",EA
16268580,112855,"PU368 ",AD
16268581,112857,"PU368 ",AD
16268582,112858,"PU368 ",AD
16268583,112859,"PU368 ",AD
16268584,1129,PU001D,AB
16268585,112941,"PU24A ",EA
16268586,112994,"PM60  ",LA
16268587,113056,"PU36A ",IA
16268589,113137,"PU36H ",AB
16268590,11316,"B36PM ",AA
16268591,1132,"PU36W ",AB
16268592,11320,"PU24A ",EA
16268593,11325,"PU36M ",SC
16268594,113311,"PM48  ",GB
16268595,11334,PUQR22,AA
16268596,113349,"PU36  ",MA
16268597,11347,"PU12C ",AA
16268598,113486,"PM72P ",AA
16268599,113521,"36PU4 ",AA
16268600,11379,"PU24A ",EA
16268601,113898,"PU24A ",EA
16268602,113899,"PU24A ",EA
16268603,11400,"PU36W ",AB
16268604,114030,"PUB48 ",AA
16268605,114037,"PU36  ",MA
16268606,114206,"PUF48 ",AA
16268607,11444,PUQR22,AA
16268608,11445,"PU24A ",EA
16268609,1145,PU001T,AA
16268610,114571,"PM24D ",AA
16268611,11470,PUQR22,AA
16268612,10661,"PU24A ",EA
16268613,106625,"PM48M ",OA
16268614,106812,"PU36A ",IA
16268615,106815,"PU36A ",IA
16268616,106872,"PU36  ",MA
16268617,106952,"PU36H ",AA
16268618,1070,PU001T,AA
16268619,10704,"PU24A ",EA
16268620,10706,"PU36M ",SB
16268621,10707,"PU36M ",SB
16268622,107080,"PM604 ",AA
16268623,107179,"A48PM ",AA
16268624,1072,"PU36A ",IC
16268625,107278,"PU24A ",EA
16268626,107323,"PM48M ",OH
16268627,107324,"PM48M ",OH
16268628,107642,"PM48M ",OD
16268629,107736,"PM48  ",GA
16268630,107754,"PM48  ",GA
16268631,107952,"A60PM ",AC
16268632,107964,"PU369 ",AD
16268633,108087,"A48PM ",AA
16268634,108088,"A48PM ",AA
16268635,108125,"C36PU ",AA
16268636,108267,"PU24A ",EA
16268637,108352,"PM48  ",GA
16268638,108465,"A48PU ",AA
16268639,10866,"PM48M ",OC
16268640,10911,"PU36A ",IB
16268641,109159,"PU36Q ",AI
16268642,109163,"PU36Q ",AI
16268643,10931,"PU36A ",IB
16268644,10934,"PU368 ",AC
16268645,10938,"PU368 ",AC
16268646,109464,"PM60  ",LA
16268647,109554,"PU368 ",AB
16268648,109639,"A48PM ",AA
16268649,109780,"PU48A ",AA
16268650,10982,"A48PM ",AB
16268651,109870,"PM60  ",LD
16268652,109892,"PU12C ",AA
16268653,109954,"PM60  ",LA
16268654,10999,"PU58V ",AC
16268655,110,PU001Q,AA
16268656,110028,"PP60  ",WA
16268657,110072,"PU36C ",AC
16268658,110109,"PU36M ",SB
16268659,110110,"PU36M ",SB
16268660,110113,"PU36M ",SB
16268661,110124,"PU368 ",AF
16268662,110125,"PU368 ",AF
16268663,110160,"PU369 ",AD
16268664,110183,"PUA48 ",AA
16268665,11035,"PU24A ",EA
16268666,11036,"PU24A ",EA
16268667,11037,"PU24A ",EA
16268668,11038,"PU24A ",EA
16268669,11039,"PU24A ",EA
16268670,11040,"PU12C ",AA
16268671,110517,"PU12C ",AA
16268672,110545,"PM365 ",AA
16268673,11077,PUQR22,AA
16268674,110779,"PU36A ",IB
16268675,110793,"PU481 ",AA
16268676,11080,"PU24A ",EA
16268677,110807,"PU36A ",IB
16268678,110809,"PU36A ",IB
16268679,110816,"PM604 ",AA
16268680,11084,"PU12C ",AA
16268681,110861,"PU368 ",AF
16268682,1109,PU001T,AA
16268683,110941,"PU36W ",AA
16268684,111151,"PM60  ",LB
16268685,111210,"PM06H ",RA
16268686,111261,"PM48  ",GA
16268687,111354,"PM48  ",GB
16268688,11136,"PU12C ",AA
16268689,111428,"PU24A ",EA
16268690,111437,"PM60  ",LC
16268691,11148,"PU36A ",IB
16268692,111510,"PUE36 ",AA
16268693,111517,"PU36  ",MA
16268694,111772,"36PU3 ",AA
16268695,111807,"PU36A ",IB
16268696,111872,"PU36A ",IB
16268697,111891,"PU369 ",AD
16268698,111901,"PU36O ",AC
16268699,112,PU001Q,AA
16268700,112077,"PM48M ",OE
16268701,11211,"PU24A ",EA
16268702,112163,"PM60  ",LA
16268703,1122,PU001D,AB
16268704,11239,"PM36A ",CX
16268705,112489,"PU24A ",EA
16268706,112539,"PM60  ",LA
16268707,112544,"PU36A ",IB
16268708,112545,"PU36A ",IB
16268709,11256,"PU24A ",EA
16268710,112642,"PM48M ",OL
16268711,112711,"PM48  ",GC
16268712,11277,"PUA24 ",AA
16268713,11280,"PM48M ",OB
16268714,112851,"PU24A ",EA
16268715,112856,"PU368 ",AD
16268716,112863,"PU368 ",AD
16268717,11287,"PU24A ",EA
16268718,11294,PUQR22,AA
16268719,113,PU001Q,AA
16268720,1130,PU001D,AB
16268721,113255,"PU368 ",AE
16268722,113283,"PM60  ",LE
16268723,113339,"PUA48 ",AA
16268724,11339,"PU24A ",EA
16268725,113495,"PU36M ",SB
16268726,113547,"PU36  ",MA
16268727,11358,"PU24A ",EA
16268728,113666,"PUA24 ",AA
16268729,113778,"PU36W ",AA
16268730,113859,"PU367 ",AD
16268731,113901,"PU24A ",EA
16268732,114,PU001Q,AA
16268733,114088,"PM48  ",GC
16268734,114126,"PM60  ",LC
16268735,11416,"PU36A ",IA
16268736,114170,"PU368 ",AD
16268737,11419,"PU24A ",EA
16268738,114204,"PM604 ",AA
16268740,114223,"PU481 ",AA
16268741,114256,"PM48  ",GB
16268742,11435,"PU24A ",EA
16268743,11436,"PM48M ",OB
16268744,11445,PUQR22,AA
16268745,114468,"PM60  ",LD
16268746,114542,"PM48M ",OB
16268747,1147,PUQB14,AA
16268748,11472,"PM48M ",OE
16268749,114827,"PU36A ",IA
16268750,114829,"PU36A ",IA
16268751,107761,"PM48  ",GC
16268752,107842,"PM48  ",GA
16268753,1079,"PP60M ",AA
16268754,107905,"36PU1 ",AA
16268755,10795,"PU24A ",EA
16268756,108107,"PM48  ",GC
16268757,10814,"PM06X ",UA
16268758,10824,"PU36O ",AC
16268759,108424,"PU36M ",SB
16268760,108599,"PU123 ",AI
16268761,10865,"PM48M ",OC
16268762,108696,"A48PU ",AA
16268763,108817,"PU36A ",IA
