_CustomObjectKey,ID_PAGAMENTO,ID_PROPOSTA,ID_PLANO,DATA_ULT_AGENDAMENTO,DESC_STATUS_PAGAMENTO,COD_RETORNO
4865602,11800312,11782966,"PU36N ",04/01/2008,Queda de previa,
4865603,11800318,13311291,"PM48M ",16/05/2007,Queda de previa,
4865604,11773028,11382226,"PM48M ",16/11/2006,Queda de previa,
4865605,11790416,12795458,"PM48M ",05/09/2007,Queda de previa,
4865606,11790432,10574998,"PM48M ",04/01/2008,Queda de previa,
4865607,11808943,14213907,"PM48M ",27/12/2007,Queda de previa,
4865608,11769804,5656767,"PU36A ",29/03/2006,Queda de previa,
4865609,11786125,12200714,"PM48M ",04/01/2008,Queda de previa,
4865610,11786141,10491619,"PM48M ",04/01/2008,Queda de previa,
4865611,11802512,14790907,"PM48M ",04/01/2008,Queda de previa,
4865612,11809112,10504844,"PM48M ",04/01/2008,Queda de previa,
4865613,11769551,14514402,"PM48M ",04/01/2008,Queda de previa,
4865614,11769565,5690138,"PM48  ",14/01/2009,Queda de previa,
4865615,11780410,11840317,"PU36M ",04/01/2008,Queda de previa,
4865616,11755376,11760989,"PU36M ",04/01/2008,Queda de previa,
4865617,11747878,14358945,"PM48M ",04/01/2008,Queda de previa,
4865618,11748062,5391850,"PU36A ",30/05/2007,Queda de previa,
4865619,11748074,3519809,"PU24A ",12/09/2007,Queda de previa,
4865620,11748171,5817685,"PU36A ",05/01/2004,Queda de previa,
4865621,11816462,14822698,"PM48M ",04/01/2008,Queda de previa,
4865622,11767933,14793439,"PM48M ",04/01/2008,Queda de previa,
4865623,11768960,11547157,"PM06H ",22/11/2007,Queda de previa,
4865624,11816058,5310113,"PU36A ",11/07/2007,Queda de previa,
4865625,11816227,13687166,"PM48M ",04/01/2008,Queda de previa,
4865626,11797336,10263837,"PU36M ",09/11/2010,Queda de previa,
4865627,11777846,3209871,"PM36A ",17/08/2005,Queda de previa,
4865628,11794132,14413702,"PM48M ",14/11/2007,Queda de previa,
4865629,11774383,9639401,"PU36M ",14/03/2007,Queda de previa,
4865630,11774610,12275183,"PM48M ",28/06/2007,Queda de previa,
4865631,11774628,10507895,"PM48M ",04/01/2008,Queda de previa,
4865632,11790938,12165339,"PM48M ",04/01/2008,Queda de previa,
4865633,11808405,8868762,"PM48M ",11/01/2007,Queda de previa,
4865634,11815659,11327615,"PM48M ",07/12/2005,Queda de previa,
4865635,11815664,12965983,"PM48M ",16/05/2007,Queda de previa,
4865636,11771465,12256931,"PP60  ",04/01/2008,Queda de previa,
4865637,11772500,11628372,"PU36R ",07/01/2008,Queda de previa,
4865638,11772510,11531037,"PM48M ",19/08/2010,Queda de previa,
4865639,11805232,14275089,"PM48M ",04/01/2008,Queda de previa,
4865640,11804793,9846058,"PM48M ",04/01/2008,Queda de previa,
4865641,11768249,14578674,"PM48M ",14/07/2011,Queda de previa,
4865642,11784584,14360566,"PM48M ",04/01/2008,Queda de previa,
4865643,11802020,8707535,"PM60  ",23/03/2005,Queda de previa,
4865644,11802046,13442742,"PM48M ",24/10/2007,Queda de previa,
4865645,11781385,12810101,"PM48M ",17/09/2007,Queda de previa,
4865646,11797698,13811267,"PM48M ",04/01/2008,Queda de previa,
4865647,11798758,11811926,"PU36N ",07/01/2008,Queda de previa,
4865648,11798763,11814751,"PU36N ",04/01/2008,Queda de previa,
4865649,11798766,10562609,"PU36M ",28/11/2007,Queda de previa,
4865650,11814091,14148982,"PM48M ",05/12/2007,Queda de previa,
4865651,11765578,10594705,"PM48M ",04/01/2008,Queda de previa,
4865652,11771888,3235685,"PM36A ",06/01/2005,Queda de previa,
4865653,11788249,8294529,"PM60  ",14/06/2006,Queda de previa,
4865654,11806772,11688409,"PU36N ",04/01/2008,Queda de previa,
4865655,11767637,10022373,"PM06H ",01/08/2007,Queda de previa,
4865656,11767644,12179988,"PM48M ",11/07/2007,Queda de previa,
4865657,11783949,8751474,"PM60  ",08/03/2006,Queda de previa,
4865658,11783956,10522002,"PM48M ",04/01/2008,Queda de previa,
4865659,11785007,11687352,"PU36M ",04/01/2008,Queda de previa,
4865660,11785008,11669927,"PM06H ",04/01/2008,Queda de previa,
4865661,11801384,12180274,"PM48M ",04/01/2008,Queda de previa,
4865662,11775093,14593671,"PM48M ",04/01/2008,Queda de previa,
4865663,11808884,10562612,"PU36M ",28/11/2007,Queda de previa,
4865664,11762660,7077973,"PM60  ",18/05/2005,Queda de previa,
4865665,11748350,14508388,"PP60  ",04/01/2008,Queda de previa,
4865666,11748392,4007311,"PM36A ",26/12/2002,Queda de previa,
4865667,11805946,6005301,"PU36A ",17/12/2003,Queda de previa,
4865668,11816259,14602822,"PM48M ",04/01/2008,Queda de previa,
4865669,11764719,14478063,"PM48M ",04/01/2008,Queda de previa,
4865670,11765768,10482429,"PM48M ",04/01/2008,Queda de previa,
4865671,11798411,7805465,"PM60  ",28/11/2007,Queda de previa,
4865672,11816069,14480253,"PM48M ",04/01/2008,Queda de previa,
4865673,11778892,9843800,"PM48M ",04/01/2008,Queda de previa,
4865674,11812670,13726621,"PM48M ",04/01/2008,Queda de previa,
4865675,11773278,14478323,"PM48M ",04/01/2008,Queda de previa,
4865676,11775722,8438904,"PM60  ",07/04/2004,Queda de previa,
4865677,11792019,5773116,"PU36A ",08/11/2007,Queda de previa,
4865678,11809481,14086736,"PM48M ",05/12/2007,Queda de previa,
4865679,11813513,11350057,"PU36M ",08/11/2007,Queda de previa,
4865680,11806316,14880953,"PM48M ",04/01/2008,Queda de previa,
4865681,11806317,14851353,"PP60  ",04/01/2008,Queda de previa,
4865682,11806335,3584837,"PM36A ",31/03/2004,Queda de previa,
4865683,11769313,14818081,"PP60  ",04/01/2008,Queda de previa,
4865684,11769352,8111748,"PU36A ",24/05/2006,Queda de previa,
4865685,11785664,5848977,"PU36A ",05/05/2004,Queda de previa,
4865686,11786704,14504920,"PM48M ",10/10/2007,Queda de previa,
4865687,11786707,11752025,"PU36M ",04/01/2008,Queda de previa,
4865688,11786708,14719381,"PM48M ",04/01/2008,Queda de previa,
4865689,11782445,5748378,"PU36A ",16/05/2007,Queda de previa,
4865690,11783511,7688366,"PM60  ",23/07/2003,Queda de previa,
4865691,11798788,14522661,"PM48M ",04/01/2008,Queda de previa,
4865692,11798790,14443659,"PM48M ",04/01/2008,Queda de previa,
4865693,11798791,14315730,"PM48M ",04/01/2008,Queda de previa,
4865694,11818130,14724808,"PM48M ",04/01/2008,Queda de previa,
4865695,11815602,7157102,"PM60  ",11/05/2015,Queda de previa,
4865696,11815607,8307530,"PU36  ",05/12/2007,Queda de previa,
4865697,11798818,14648083,"PP60  ",07/01/2008,Queda de previa,
4865698,11801106,4359080,"PM36A ",10/11/2000,Queda de previa,
4865699,11802156,10562618,"PU36M ",28/11/2007,Queda de previa,
4865700,11806510,10500589,"PM48M ",04/01/2008,Queda de previa,
4865701,11806529,6329289,"PM60  ",14/05/2002,Queda de previa,
4865702,11811940,13757528,"PM48M ",15/08/2007,Queda de previa,
4865703,11806901,11800412,"PU36R ",04/01/2008,Queda de previa,
4865704,11806930,14432663,"PM48M ",04/01/2008,Queda de previa,
4865705,11806934,14371333,"PM48M ",04/01/2008,Queda de previa,
4865706,11772777,11663106,"PU36R ",04/01/2008,Queda de previa,
4865707,11772780,9865291,"PM06H ",25/04/2007,Queda de previa,
4865708,11772783,14790732,"PM48M ",04/01/2008,Queda de previa,
4865709,11809795,7848639,"PM60  ",05/07/2007,Queda de previa,
4865710,11818780,14845615,"PM48M ",04/01/2008,Queda de previa,
4865711,11808018,3235672,"PM36A ",06/01/2005,Queda de previa,
4865712,11808019,3235677,"PM36A ",06/01/2005,Queda de previa,
4865713,11799220,5043553,"PM48  ",14/03/2007,Queda de previa,
4865714,11799259,12925065,"PP60  ",04/01/2008,Queda de previa,
4865715,11781499,14760832,"PM48M ",04/01/2008,Queda de previa,
4865716,11754465,14878354,"PM48M ",07/01/2008,Queda de previa,
4865717,11777297,14797809,"PM48M ",04/01/2008,Queda de previa,
4865718,11773000,4057529,"PM36A ",14/09/2005,Queda de previa,
4865719,11773014,14470148,"PM48M ",04/01/2008,Queda de previa,
4865720,11768731,12926612,"PM48M ",25/04/2007,Queda de previa,
4865721,11785037,11688410,"PU36N ",04/01/2008,Queda de previa,
4865722,11755417,14808492,"PM48M ",04/01/2008,Queda de previa,
4865723,11772941,12214682,"PP60  ",04/01/2008,Queda de previa,
4865724,11790364,9973879,"PM48M ",04/01/2008,Queda de previa,
4865725,11803541,13161165,"PM48M ",14/06/2007,Queda de previa,
4865726,11804600,7550547,"PU36  ",04/05/2006,Queda de previa,
4865727,11766508,6878763,"PM60  ",31/03/2004,Queda de previa,
4865728,11781778,14742138,"PM48M ",04/01/2008,Queda de previa,
4865729,11781789,11003686,"PU36M ",12/12/2007,Queda de previa,
4865730,11782849,10287453,"PU36M ",01/12/2011,Queda de previa,
4865731,11782860,14756607,"PM48M ",04/01/2008,Queda de previa,
4865732,11799138,14471343,"PM48M ",04/01/2008,Queda de previa,
4865733,11799139,14683082,"PM48M ",07/01/2008,Queda de previa,
4865734,11799143,7019199,"PM60  ",18/01/2011,Queda de previa,
4865735,12151601,10709876,"PM48M ",14/04/2008,Queda de previa,
4865736,11781417,4007382,"PM36A ",26/12/2002,Queda de previa,
4865737,11813046,12166281,"PM48M ",04/01/2008,Queda de previa,
4865738,11814094,14281206,"PM48M ",04/01/2008,Queda de previa,
4865739,11814097,5760142,"PU36A ",25/08/2004,Queda de previa,
4865740,11814105,14818437,"PM48M ",04/01/2008,Queda de previa,
4865741,11765155,14802599,"PM48M ",04/01/2008,Queda de previa,
4865742,11765177,14576840,"PM48M ",07/01/2008,Queda de previa,
4865743,11768763,3311040,"PM36A ",19/05/2004,Queda de previa,
4865744,11814469,14718314,"PP60  ",04/01/2008,Queda de previa,
4865745,11756150,4359086,"PM36A ",10/11/2000,Queda de previa,
4865746,11759291,14792979,"PM48M ",04/01/2008,Queda de previa,
4865747,11762861,12205524,"PP60  ",04/01/2008,Queda de previa,
4865748,11762865,14468056,"PP60  ",04/01/2008,Queda de previa,
4865749,11808161,10648144,"PU36M ",20/09/2007,Queda de previa,
4865750,11808179,12181555,"PP60  ",04/01/2008,Queda de previa,
4865751,11808180,12162227,"PM48M ",04/01/2008,Queda de previa,
4865752,11804931,14462079,"PM48M ",04/01/2008,Queda de previa,
4865753,11804935,11444740,"PU36M ",19/12/2007,Queda de previa,
4865754,11804961,14688885,"PM48M ",12/12/2007,Queda de previa,
4865755,11817703,14724070,"PM48M ",04/01/2008,Queda de previa,
4865756,11764780,12162184,"PM48M ",04/01/2008,Queda de previa,
4865757,11764804,14454166,"PM48M ",04/01/2008,Queda de previa,
4865758,11765830,14879092,"PM48M ",07/01/2008,Queda de previa,
4865759,11765842,14471340,"PP60  ",04/01/2008,Queda de previa,
4865760,11781114,6038004,"PU36A ",12/04/2006,Queda de previa,
4865761,11782184,11632853,"PU36R ",07/01/2008,Queda de previa,
4865762,11763486,14756461,"PP60  ",04/01/2008,Queda de previa,
4865763,11763506,14765227,"PM48M ",04/01/2008,Queda de previa,
4865764,11763522,14874679,"PM48M ",04/01/2008,Queda de previa,
4865765,11757264,14762924,"PM48M ",04/01/2008,Queda de previa,
4865766,11757278,14861183,"PM48M ",04/01/2008,Queda de previa,
4865767,11758758,14567550,"PM48M ",04/01/2008,Queda de previa,
4865768,11758775,11196366,"PU36M ",07/01/2008,Queda de previa,
4865769,11749401,10517212,"PM48M ",04/01/2008,Queda de previa,
4865770,11755996,14841324,"PM48M ",04/01/2008,Queda de previa,
4865771,11763664,4664859,"PU24A ",03/07/2002,Queda de previa,
4865772,11764570,11016175,"PM06H ",07/12/2011,Queda de previa,
4865773,11764578,9983263,"PM48M ",04/01/2008,Queda de previa,
4865774,11757756,10794953,"PU36M ",20/09/2007,Queda de previa,
4865775,11753909,14865600,"PM48M ",04/01/2008,Queda de previa,
4865776,11753919,11778658,"PM06H ",04/01/2008,Queda de previa,
4865777,11754147,14806353,"PM48M ",04/01/2008,Queda de previa,
4865778,11754184,14794547,"PM48M ",04/01/2008,Queda de previa,
4865779,11754354,10993360,"PM06H ",01/08/2007,Queda de previa,
4865780,12214061,15286402,"PP60  ",24/04/2008,Queda de previa,
4865781,11754597,14848251,"PP60  ",04/01/2008,Queda de previa,
4865782,11754603,13691430,"PP60  ",04/01/2008,Queda de previa,
4865783,11754804,10641929,"PU36M ",20/09/2007,Queda de previa,
4865784,11755552,11763024,"PU36M ",04/01/2008,Queda de previa,
4865785,11750823,10596128,"PM48M ",04/01/2008,Queda de previa,
4865786,11760880,10607973,"PM48M ",05/09/2007,Queda de previa,
4865787,11760885,10987394,"PU36M ",04/01/2008,Queda de previa,
4865788,11756840,11314557,"PM48M ",28/04/2006,Queda de previa,
4865789,11756932,12290670,"PP60  ",18/04/2007,Queda de previa,
4865790,11751079,11810242,"PM48M ",09/09/2009,Queda de previa,
4865791,11751104,8125173,"PM60  ",11/05/2005,Queda de previa,
4865792,11751072,7039679,"PU36A ",03/02/2005,Queda de previa,
4865793,11751657,8834221,"PM06H ",04/04/2007,Queda de previa,
4865794,11752001,10516465,"PU36M ",11/07/2007,Queda de previa,
4865795,11752007,6105864,"PU36A ",10/03/2004,Queda de previa,
4865796,11752162,8226487,"PU36A ",18/01/2006,Queda de previa,
4865797,12121862,15294090,"PM48M ",02/04/2008,Queda de previa,
4865798,11748583,2894075,"PM36A ",14/03/2007,Queda de previa,
4865799,11748611,4359072,"PM36A ",12/03/2003,Queda de previa,
4865800,11749936,12204000,"PP60  ",06/06/2007,Queda de previa,
4865801,11749960,5748379,"PU36A ",16/05/2007,Queda de previa,
4865802,12080455,11359634,"PP60  ",02/04/2008,Queda de previa,
4865803,11756287,14890535,"PM48M ",07/01/2008,Queda de previa,
4865804,11756801,10596218,"PM48M ",05/09/2007,Queda de previa,
4865805,11766400,11673925,"PU36M ",04/01/2008,Queda de previa,
4865806,11783806,14438238,"PM48M ",04/01/2008,Queda de previa,
4865807,11783842,4152895,"PU24A ",16/05/2007,Queda de previa,
4865808,11784885,9281916,"PM48M ",19/12/2007,Queda de previa,
4865809,11800211,11803722,"PU36M ",04/01/2008,Queda de previa,
4865810,11796961,12178271,"PM48M ",04/01/2008,Queda de previa,
4865811,11813314,8111747,"PU36A ",24/05/2006,Queda de previa,
4865812,11792623,7487066,"PU36  ",05/07/2006,Queda de previa,
4865813,11793701,14462787,"PM48M ",04/01/2008,Queda de previa,
4865814,11793704,14769672,"PM48M ",04/01/2008,Queda de previa,
4865815,11757878,11768887,"PU36M ",04/01/2008,Queda de previa,
4865816,11749728,11961312,"PM48M ",01/09/2009,Queda de previa,
4865817,11749744,12152788,"PM48M ",04/01/2008,Queda de previa,
4865818,11749745,8957920,"PU36M ",25/01/2006,Queda de previa,
4865819,11750248,10647439,"PM48M ",04/01/2008,Queda de previa,
4865820,11770783,7437138,"PU36  ",23/05/2007,Queda de previa,
4865821,11771813,14854778,"PM48M ",04/01/2008,Queda de previa,
4865822,11771860,4134401,"PU24A ",10/08/2005,Queda de previa,
4865823,11788128,8470647,"PM60  ",15/08/2007,Queda de previa,
4865824,11766454,10775423,"PU36M ",08/11/2007,Queda de previa,
4865825,11782801,14512051,"PM48M ",04/01/2008,Queda de previa,
4865826,11782808,11675254,"PU36M ",07/01/2008,Queda de previa,
4865827,11747936,11191817,"PU36M ",07/01/2008,Queda de previa,
4865828,11762517,8542768,"PM60  ",19/12/2002,Queda de previa,
4865829,11762547,10066615,"PM48M ",26/07/2016,Queda de previa,
4865830,11748234,14296250,"PM48M ",12/12/2007,Queda de previa,
4865831,11766806,9792223,"PU36M ",04/01/2008,Queda de previa,
4865832,11782039,9998840,"PM48M ",04/01/2008,Queda de previa,
4865833,11782056,11186321,"PU36M ",07/01/2008,Queda de previa,
4865834,11783099,10012100,"PM48M ",31/08/2005,Queda de previa,
4865835,11815996,10687304,"PM48M ",04/01/2008,Queda de previa,
4865836,11787395,14799865,"PP60  ",04/01/2008,Queda de previa,
4865837,11787421,14361821,"PM48M ",25/06/2008,Queda de previa,
4865838,11813711,10578291,"PM48M ",04/01/2008,Queda de previa,
4865839,11793033,12180613,"PM48M ",04/01/2008,Queda de previa,
4865840,11793035,12270157,"PM48M ",04/01/2008,Queda de previa,
4865841,11793086,7039673,"PU36A ",03/02/2005,Queda de previa,
4865842,11810498,10562613,"PU36M ",28/11/2007,Queda de previa,
4865843,11810524,6231140,"PU36A ",19/12/2007,Queda de previa,
4865844,11774346,10491795,"PM48M ",04/01/2008,Queda de previa,
4865845,11772485,11719992,"PU36M ",04/01/2008,Queda de previa,
4865846,11773530,11824033,"PU36M ",04/01/2008,Queda de previa,
4865847,11789843,14548873,"PP60  ",04/01/2008,Queda de previa,
4865848,11766754,12216265,"PM48M ",04/01/2008,Queda de previa,
4865849,11766770,5610910,"PM48  ",08/06/2005,Queda de previa,
4865850,11765320,14567976,"PM48M ",04/01/2008,Queda de previa,
4865851,11765332,14877992,"PM48M ",07/01/2008,Queda de previa,
4865852,11781606,4356428,"PM36A ",12/03/2003,Queda de previa,
4865853,11799023,12162175,"PM48M ",04/01/2008,Queda de previa,
4865854,11815387,12239857,"PM48M ",04/01/2008,Queda de previa,
4865855,11777368,11663678,"PU36M ",04/01/2008,Queda de previa,
4865856,11778413,11351910,"PM06H ",12/07/2018,Queda de previa,
4865857,11795813,11669933,"PU36M ",07/01/2008,Queda de previa,
4865858,11774152,14886419,"PM48M ",04/01/2008,Queda de previa,
4865859,11791534,10507717,"PM48M ",04/01/2008,Queda de previa,
4865860,11806885,12836114,"PP60  ",04/01/2008,Queda de previa,
4865861,11824968,11891021,"PU36M ",11/01/2008,Queda de previa,
4865862,12190869,15221478,"PP60  ",18/04/2008,Queda de previa,
4865863,11769689,14826272,"PM48M ",04/01/2008,Queda de previa,
4865864,11784900,9765253,"PM48M ",10/10/2007,Queda de previa,
4865865,11801289,3172613,"PM36A ",11/07/2007,Queda de previa,
4865866,11802365,11639574,"PU36N ",04/01/2008,Queda de previa,
4865867,11780631,14791644,"PP60  ",04/01/2008,Queda de previa,
4865868,11780635,14716233,"PP60  ",04/01/2008,Queda de previa,
4865869,11814411,14501839,"PM48M ",04/01/2008,Queda de previa,
4865870,11777418,6007492,"PU36A ",16/03/2006,Queda de previa,
4865871,11793715,10613653,"PM48M ",04/01/2008,Queda de previa,
4865872,11793757,10655471,"PM48M ",04/01/2008,Queda de previa,
4865873,11767527,10562601,"PU36M ",28/11/2007,Queda de previa,
4865874,11768575,11829808,"PU36R ",04/01/2008,Queda de previa,
4865875,11768589,14144777,"PM48M ",22/11/2007,Queda de previa,
4865876,11785991,13803606,"PM48M ",04/01/2008,Queda de previa,
4865877,11802373,14832806,"PM48M ",07/01/2008,Queda de previa,
4865878,11765397,14825773,"PM48M ",04/01/2008,Queda de previa,
4865879,11799125,9434674,"PU36M ",06/12/2006,Queda de previa,
4865880,11815507,7039678,"PU36A ",03/02/2005,Queda de previa,
4865881,11777431,5391854,"PU36A ",30/05/2007,Queda de previa,
4865882,12492910,15714721,"PM48M ",02/09/2008,Queda de previa,
4865883,12492911,15714722,"PM48M ",02/09/2008,Queda de previa,
4865884,12592509,15851078,"PM48M ",18/08/2008,Queda de previa,
4865885,11775180,3461482,"PU24A ",21/05/2003,Queda de previa,
4865886,11770879,12174213,"PM48M ",04/01/2008,Queda de previa,
4865887,11770888,14318219,"PM48M ",04/01/2008,Queda de previa,
4865888,11804681,14459689,"PM48M ",04/01/2008,Queda de previa,
4865889,11778382,11274993,"PM48M ",15/02/2006,Queda de previa,
4865890,11796843,14740347,"PP60  ",04/01/2008,Queda de previa,
4865891,11796845,14771464,"PM48M ",04/01/2008,Queda de previa,
4865892,12412631,14418966,"PM48M ",17/07/2008,Queda de previa,
4865893,11795264,5391852,"PU36A ",30/05/2007,Queda de previa,
4865894,11795300,4007332,"PM36A ",26/12/2002,Queda de previa,
4865895,11811680,5391851,"PU36A ",30/05/2007,Queda de previa,
4865896,11812745,5610906,"PM48  ",08/06/2005,Queda de previa,
4865897,11812432,12860739,"PM48M ",04/01/2008,Queda de previa,
4865898,11811312,11825201,"PU36R ",04/01/2008,Queda de previa,
4865899,11809542,5132137,"PM48  ",26/04/2002,Queda de previa,
4865900,11809583,14776859,"PM48M ",04/01/2008,Queda de previa,
4865901,11801566,14836100,"PP60  ",04/01/2008,Queda de previa,
4865902,11788925,7287949,"PU36A ",22/11/2006,Queda de previa,
4865903,11790615,4359083,"PM36A ",10/11/2000,Queda de previa,
4865904,11790616,4359081,"PM36A ",10/11/2000,Queda de previa,
4865905,11769391,14274673,"PM48M ",04/01/2008,Queda de previa,
4865906,11765121,4007368,"PM36A ",26/12/2002,Queda de previa,
4865907,11765134,14815189,"PM48M ",04/01/2008,Queda de previa,
4865908,11781455,6042059,"PU36A ",27/01/2005,Queda de previa,
4865909,11782524,13784632,"PP60  ",04/01/2008,Queda de previa,
4865910,11812394,10546179,"PM48M ",04/01/2008,Queda de previa,
4865911,11811254,10452127,"PM48M ",15/08/2007,Queda de previa,
4865912,11803660,12208185,"PM48M ",04/01/2008,Queda de previa,
4865913,11803665,6266640,"PU36A ",23/08/2006,Queda de previa,
4865914,11803687,14409930,"PM48M ",04/01/2008,Queda de previa,
4865915,11790271,8111749,"PU36A ",24/05/2006,Queda de previa,
4865916,11791335,7574384,"PM60  ",17/09/2003,Queda de previa,
4865917,11791339,13306233,"PM48M ",28/06/2007,Queda de previa,
4865918,11756406,14699150,"PM48M ",04/01/2008,Queda de previa,
4865919,11759476,12921001,"PP60  ",04/01/2008,Queda de previa,
4865920,11761153,14739487,"PM48M ",04/01/2008,Queda de previa,
4865921,11789625,12835099,"PM48M ",04/01/2008,Queda de previa,
4865922,11786429,14703943,"PM48M ",04/01/2008,Queda de previa,
4865923,11786430,14761284,"PM48M ",04/01/2008,Queda de previa,
4865924,11817289,10372049,"PU36M ",30/05/2007,Queda de previa,
4865925,11765863,5343638,"PU36A ",23/05/2007,Queda de previa,
4865926,11819556,10562608,"PU36M ",28/11/2007,Queda de previa,
4865927,11805011,8127405,"PM60  ",20/08/2003,Queda de previa,
4865928,11818318,5296856,"PU36A ",11/07/2007,Queda de previa,
4865929,11768041,14632235,"PM48M ",07/01/2008,Queda de previa,
4865930,11781191,15762597,"PM48M ",24/10/2007,Queda de previa,
4865931,11798534,14274678,"PM48M ",04/01/2008,Queda de previa,
4865932,11798567,14832542,"PP60  ",04/01/2008,Queda de previa,
4865933,11814941,7077972,"PM60  ",18/05/2005,Queda de previa,
4865934,11816683,14887130,"PM48M ",04/01/2008,Queda de previa,
4865935,11806995,14769858,"PM48M ",04/01/2008,Queda de previa,
4865936,11807007,10607347,"PM48M ",04/01/2008,Queda de previa,
4865937,12725609,16716470,"PM48M ",03/03/2010,Queda de previa,
4865938,12438857,15609691,"PM48M ",30/06/2008,Queda de previa,
4865939,12465462,12673750,"PU36R ",14/07/2008,Queda de previa,
4865940,12554555,12745915,"PU36M ",11/08/2008,Queda de previa,
4865941,11760615,14643120,"PP60  ",04/01/2008,Queda de previa,
4865942,11760640,7487072,"PU36  ",05/07/2006,Queda de previa,
4865943,11762748,13101687,"PM48M ",09/05/2007,Queda de previa,
4865944,11748401,14433088,"PP60  ",04/01/2008,Queda de previa,
4865945,11770102,11763030,"PU36M ",04/01/2008,Queda de previa,
4865946,11786396,14450380,"PM48M ",04/01/2008,Queda de previa,
4865947,11799576,4007358,"PM36A ",26/12/2002,Queda de previa,
4865948,11816123,14743089,"PM48M ",04/01/2008,Queda de previa,
4865949,11816124,14793839,"PM48M ",04/01/2008,Queda de previa,
4865950,11780007,10623860,"PM48M ",04/01/2008,Queda de previa,
4865951,11780008,10678068,"PM48M ",04/01/2008,Queda de previa,
4865952,11813763,14874574,"PM48M ",04/01/2008,Queda de previa,
4865953,11772192,11294016,"PM48M ",25/10/2006,Queda de previa,
4865954,11775742,4359087,"PM36A ",10/11/2000,Queda de previa,
