_CustomObjectKey,ID_PAGAMENTO,ID_PROPOSTA,ID_PLANO,DATA_ULT_AGENDAMENTO,DESC_STATUS_PAGAMENTO
1491613,31296539,30050010,"PU362 ",22/05/2017,Bloqueado
1491614,31297615,30068731,"PU363 ",22/05/2017,Bloqueado
1491615,31298638,30085474,"PU362 ",22/05/2017,Bloqueado
1491616,31299686,29925602,"PU362 ",22/05/2017,Bloqueado
1491617,31304908,760246,"PU12C ",22/05/2017,Bloqueado
1491618,30936822,29615127,"PU364 ",24/04/2017,Bloqueado
1491619,28375450,27706177,"PU362 ",30/09/2016,Bloqueado
1491620,29578220,28748516,"PU362 ",27/12/2016,Bloqueado
1491621,29579263,28750775,"PU363 ",27/12/2016,Bloqueado
1491622,29581370,28755364,"PU361 ",27/12/2016,Bloqueado
1491623,29583505,28760077,"PU361 ",27/12/2016,Bloqueado
1491624,27186785,26895079,"PU362 ",20/06/2016,Bloqueado
1491625,27187043,26895810,"PU361 ",20/06/2016,Bloqueado
1491626,27187135,26896033,"PU363 ",20/06/2016,Bloqueado
1491627,27187784,26897629,"PU362 ",20/06/2016,Bloqueado
1491628,26411074,26057542,"PU362 ",15/04/2016,Bloqueado
1491629,26411115,26069857,"PU362 ",15/04/2016,Bloqueado
1491630,27168314,26856059,"PU362 ",20/06/2016,Bloqueado
1491631,27172273,26773878,"PU362 ",20/06/2016,Bloqueado
1491632,27175342,26871679,"PU362 ",20/06/2016,Bloqueado
1491633,27189193,26901257,"PU361 ",20/06/2016,Bloqueado
1491634,27664427,32878527,"PM48E ",28/07/2016,Bloqueado
1491635,31285087,30059357,"PU362 ",22/05/2017,Bloqueado
1491636,31285090,30059360,"PU362 ",22/05/2017,Bloqueado
1491637,31287166,30077206,"PU362 ",22/05/2017,Bloqueado
1491638,31289338,30097803,"PU362 ",22/05/2017,Bloqueado
1491639,31289339,30097807,"PU362 ",22/05/2017,Bloqueado
1491640,31292463,30065537,"PU363 ",22/05/2017,Bloqueado
1491641,31293478,30076825,"PU364 ",22/05/2017,Bloqueado
1491642,31293489,30076945,"PU364 ",22/05/2017,Bloqueado
1491643,27758159,27368593,"PU362 ",09/08/2016,Bloqueado
1491644,27758160,27368594,"PU362 ",09/08/2016,Bloqueado
1491645,27758447,27369478,"PU362 ",09/08/2016,Bloqueado
1491646,27758449,27369480,"PU362 ",09/08/2016,Bloqueado
1491647,27758451,27369482,"PU362 ",09/08/2016,Bloqueado
1491648,27758456,27369487,"PU362 ",09/08/2016,Bloqueado
1491649,27758819,27370704,"PU362 ",09/08/2016,Bloqueado
1491650,27758820,27370705,"PU362 ",09/08/2016,Bloqueado
1491651,27758821,27370706,"PU362 ",09/08/2016,Bloqueado
1491652,26990242,26667462,"PU363 ",07/06/2016,Bloqueado
1491653,27595892,27205367,"PU362 ",22/07/2016,Bloqueado
1491654,27595893,27205368,"PU362 ",22/07/2016,Bloqueado
1491655,27659688,27275887,"PU364 ",29/07/2016,Bloqueado
1491656,27660696,27279022,"PU362 ",29/07/2016,Bloqueado
1491657,27674576,27169442,"PU364 ",01/08/2016,Bloqueado
1491658,27674613,27143932,"PU362 ",01/08/2016,Bloqueado
1491659,27544489,31217707,"PM60V ",14/07/2016,Bloqueado
1491660,27547562,35601172,"PM604 ",05/03/2017,Bloqueado
1491661,27553846,27202374,"PU362 ",18/07/2016,Bloqueado
1491662,27576629,31848481,"PU368 ",18/07/2016,Bloqueado
1491663,27576630,31848482,"PU368 ",18/07/2016,Bloqueado
1491664,27576631,31848483,"PU368 ",18/07/2016,Bloqueado
1491665,27436662,27133175,"PU362 ",04/07/2016,Bloqueado
1491666,28683337,35118318,"PM72P ",25/10/2016,Bloqueado
1491667,27562955,32422875,"PM604 ",15/07/2016,Bloqueado
1491668,27564017,29272888,"PM601 ",15/07/2016,Bloqueado
1491669,27568161,27211288,"PU363 ",19/07/2016,Bloqueado
1491670,27569220,22482709,"PP60M ",19/07/2016,Bloqueado
1491671,27569221,22399796,"PP60M ",19/07/2016,Bloqueado
1491672,30150603,36576264,"PM604 ",16/02/2017,Bloqueado
1491673,28508310,35678859,"PM604 ",07/10/2016,Bloqueado
1491674,30933591,29647730,"PU361 ",24/04/2017,Bloqueado
1491675,30934667,29747916,"PU364 ",24/04/2017,Bloqueado
1491676,31284951,30057131,"PU362 ",22/05/2017,Bloqueado
1491677,31287047,30075694,"PU361 ",22/05/2017,Bloqueado
1491678,31283989,30047738,"PU364 ",22/05/2017,Bloqueado
1491679,31286098,30065642,"PU362 ",22/05/2017,Bloqueado
1491680,31287115,30076613,"PU363 ",22/05/2017,Bloqueado
1491681,31287148,30077001,"PU362 ",22/05/2017,Bloqueado
1491682,31287151,30077006,"PU362 ",22/05/2017,Bloqueado
1491683,31291336,30056388,"PU363 ",22/05/2017,Bloqueado
1491684,31291374,30056896,"PU362 ",22/05/2017,Bloqueado
1491685,31294489,30085191,"PU362 ",22/05/2017,Bloqueado
1491686,31297564,30067456,"PU363 ",22/05/2017,Bloqueado
1491687,31297591,30067927,"PU361 ",22/05/2017,Bloqueado
1491688,31298618,30085162,"PU362 ",22/05/2017,Bloqueado
1491689,30988325,35550316,"PM604 ",25/04/2017,Bloqueado
1491690,30936821,29615089,"PU361 ",24/04/2017,Bloqueado
1491691,28610722,27902599,"PU362 ",21/10/2016,Bloqueado
1491692,28611690,27989710,"PU364 ",21/10/2016,Bloqueado
1491693,28612743,28015047,"PU362 ",21/10/2016,Bloqueado
1491694,28612748,28015067,"PU364 ",21/10/2016,Bloqueado
1491695,28613851,28018732,"PU362 ",21/10/2016,Bloqueado
1491696,29583491,28760044,"PU362 ",27/12/2016,Bloqueado
1491697,27186992,26895673,"PU362 ",20/06/2016,Bloqueado
1491698,27187541,26897049,"PU362 ",20/06/2016,Bloqueado
1491699,27188059,26898347,"PU361 ",20/06/2016,Bloqueado
1491700,26404834,27364637,"PM601 ",13/04/2016,Bloqueado
1491701,27164214,26844215,"PU361 ",20/06/2016,Bloqueado
1491702,27165273,26847089,"PU364 ",20/06/2016,Bloqueado
1491703,27171418,26825520,"PU365 ",20/06/2016,Bloqueado
1491704,27172266,26773871,"PU362 ",20/06/2016,Bloqueado
1491705,27172268,26773873,"PU362 ",20/06/2016,Bloqueado
1491706,27172271,26773876,"PU362 ",20/06/2016,Bloqueado
1491707,27172272,26773877,"PU362 ",20/06/2016,Bloqueado
1491708,27177435,26877735,"PU362 ",20/06/2016,Bloqueado
1491709,27178415,26880711,"PU362 ",20/06/2016,Bloqueado
1491710,29995656,30683252,"PU368 ",01/02/2017,Bloqueado
1491711,27576864,24402957,"PP60M ",18/07/2016,Bloqueado
1491712,27758448,27369479,"PU362 ",09/08/2016,Bloqueado
1491713,27758453,27369484,"PU362 ",09/08/2016,Bloqueado
1491714,27758816,27370701,"PU362 ",09/08/2016,Bloqueado
1491715,27758817,27370702,"PU362 ",09/08/2016,Bloqueado
1491716,26453397,26151748,"PU363 ",19/04/2016,Bloqueado
1491717,26985055,26557359,"PU362 ",07/06/2016,Bloqueado
1491718,26985057,26557374,"PU362 ",07/06/2016,Bloqueado
1491719,26985058,26557382,"PU362 ",07/06/2016,Bloqueado
1491720,26995827,26685600,"PU361 ",07/06/2016,Bloqueado
1491721,26995829,26685602,"PU361 ",07/06/2016,Bloqueado
1491722,27550710,27192873,"PU362 ",18/07/2016,Bloqueado
1491723,27576626,31848478,"PU368 ",18/07/2016,Bloqueado
1491724,27576632,31848484,"PU368 ",18/07/2016,Bloqueado
1491725,27432455,27122145,"PU362 ",04/07/2016,Bloqueado
1491726,27432471,27122188,"PU362 ",04/07/2016,Bloqueado
1491727,27435551,27129994,"PU362 ",04/07/2016,Bloqueado
1491728,28679198,36852128,"PU36C ",15/09/2017,Bloqueado
1491729,28508311,35626366,"PM60V ",07/10/2016,Bloqueado
1491730,30924166,34105019,"PM484 ",19/04/2017,Bloqueado
1491731,30931477,29693308,"PU364 ",24/04/2017,Bloqueado
1491732,31820103,25342222,"PP60M ",28/06/2017,Bloqueado
1491733,30928393,29604777,"PU362 ",24/04/2017,Bloqueado
1491734,30929458,29651538,"PU362 ",24/04/2017,Bloqueado
1491735,30930469,29721706,"PU362 ",24/04/2017,Bloqueado
1491736,31424293,32548752,"PM72P ",30/05/2017,Bloqueado
1491737,31282845,30076788,"PU362 ",22/05/2017,Bloqueado
1491738,31283917,30047052,"PU361 ",22/05/2017,Bloqueado
1491739,31284950,30057109,"PU362 ",22/05/2017,Bloqueado
1491740,31290201,30034928,"PU362 ",22/05/2017,Bloqueado
1491741,31294416,30084342,"PU364 ",22/05/2017,Bloqueado
1491742,31281851,35386917,"PM604 ",18/05/2017,Bloqueado
1491743,31284999,30057975,"PU362 ",22/05/2017,Bloqueado
1491744,31286105,30065694,"PU364 ",22/05/2017,Bloqueado
1491745,31287121,30076789,"PU362 ",22/05/2017,Bloqueado
1491746,31287149,30077002,"PU362 ",22/05/2017,Bloqueado
1491747,31287152,30077008,"PU362 ",22/05/2017,Bloqueado
1491748,31287155,30077015,"PU362 ",22/05/2017,Bloqueado
1491749,31287158,30077022,"PU362 ",22/05/2017,Bloqueado
1491750,31288176,30085972,"PU363 ",22/05/2017,Bloqueado
1491751,31292412,30064965,"PU362 ",22/05/2017,Bloqueado
1491752,31293434,30076083,"PU364 ",22/05/2017,Bloqueado
1491753,31293461,30076614,"PU363 ",22/05/2017,Bloqueado
1491754,31294507,30085341,"PU364 ",22/05/2017,Bloqueado
1491755,30988345,35603772,"PM604 ",25/04/2017,Bloqueado
1491756,31304888,760226,"PU12C ",22/05/2017,Bloqueado
1491757,28611680,27989258,"PU361 ",21/10/2016,Bloqueado
1491758,28612753,28015079,"PU364 ",21/10/2016,Bloqueado
1491759,28763326,23311109,"PP60M ",28/10/2016,Bloqueado
1491760,28261135,33899153,"PM60K ",19/09/2016,Bloqueado
1491761,28377172,27835847,"PU363 ",30/09/2016,Bloqueado
1491762,28378222,27850897,"PU363 ",30/09/2016,Bloqueado
1491763,28600442,23232221,"PP60M ",18/10/2016,Bloqueado
1491764,28758592,36322680,"PM484 ",10/06/2017,Bloqueado
1491765,28508660,23876516,"PP60M ",07/10/2016,Bloqueado
1491766,29578223,28748520,"PU362 ",27/12/2016,Bloqueado
1491767,27187278,26896397,"PU363 ",20/06/2016,Bloqueado
1491768,27187795,26897651,"PU362 ",20/06/2016,Bloqueado
1491769,27187830,26897742,"PU362 ",20/06/2016,Bloqueado
1491770,27187903,26897960,"PU362 ",20/06/2016,Bloqueado
1491771,27187904,26897971,"PU361 ",20/06/2016,Bloqueado
1491772,27187922,26898010,"PU362 ",20/06/2016,Bloqueado
1491773,27188052,26898330,"PU361 ",20/06/2016,Bloqueado
1491774,26407960,33859151,"PM60V ",13/04/2016,Bloqueado
1491775,27165306,26847201,"PU363 ",20/06/2016,Bloqueado
1491776,27167324,26852752,"PU361 ",20/06/2016,Bloqueado
1491777,27170347,26862175,"PU362 ",20/06/2016,Bloqueado
1491778,27170348,26862176,"PU362 ",20/06/2016,Bloqueado
1491779,27172269,26773874,"PU362 ",20/06/2016,Bloqueado
1491780,27172270,26773875,"PU362 ",20/06/2016,Bloqueado
1491781,31293490,30076946,"PU364 ",22/05/2017,Bloqueado
1491782,31293499,30077000,"PU362 ",22/05/2017,Bloqueado
1491783,31293503,30077012,"PU362 ",22/05/2017,Bloqueado
1491784,31293505,30077016,"PU362 ",22/05/2017,Bloqueado
1491785,31293506,30077017,"PU362 ",22/05/2017,Bloqueado
1491786,31293508,30077020,"PU362 ",22/05/2017,Bloqueado
1491787,31294509,30085351,"PU362 ",22/05/2017,Bloqueado
1491788,31294520,30085445,"PU362 ",22/05/2017,Bloqueado
1491789,31297628,30068871,"PU364 ",22/05/2017,Bloqueado
1491790,31298719,30087164,"PU362 ",22/05/2017,Bloqueado
1491791,31422363,25751499,"PU583 ",30/05/2017,Bloqueado
1491792,31284071,30048261,"PU362 ",22/05/2017,Bloqueado
1491793,31287261,30078334,"PU362 ",22/05/2017,Bloqueado
1491794,31288292,30087007,"PU362 ",22/05/2017,Bloqueado
1491795,31289341,30097811,"PU362 ",22/05/2017,Bloqueado
1491796,31289342,30097812,"PU362 ",22/05/2017,Bloqueado
1491797,31289346,30097819,"PU362 ",22/05/2017,Bloqueado
1491798,31289347,30097820,"PU362 ",22/05/2017,Bloqueado
1491799,31293558,30077557,"PU362 ",22/05/2017,Bloqueado
1491800,31293559,30077559,"PU362 ",22/05/2017,Bloqueado
1491801,31295647,30097804,"PU362 ",22/05/2017,Bloqueado
1491802,31295649,30097806,"PU362 ",22/05/2017,Bloqueado
1491803,31295650,30097809,"PU362 ",22/05/2017,Bloqueado
1491804,31295651,30097810,"PU362 ",22/05/2017,Bloqueado
1491805,27755979,27361188,"PU364 ",09/08/2016,Bloqueado
1491806,27587998,32402061,"PM484 ",20/07/2016,Bloqueado
1491807,26453724,26152633,"PU364 ",19/04/2016,Bloqueado
1491808,27594050,35566504,"PM604 ",20/07/2016,Bloqueado
1491809,27187320,26896495,"PU363 ",20/06/2016,Bloqueado
1491810,27187340,26896549,"PU364 ",20/06/2016,Bloqueado
1491811,26405832,34661567,"PM72P ",28/11/2016,Bloqueado
1491812,27560723,28943194,"PM481 ",15/07/2016,Bloqueado
1491813,27567020,27207249,"PU361 ",19/07/2016,Bloqueado
1491814,28506212,23823142,"PM72P ",07/10/2016,Bloqueado
1491815,28506254,27583339,"PM601 ",07/10/2016,Bloqueado
1491816,27553771,27202097,"PU361 ",18/07/2016,Bloqueado
1491817,27432375,27121941,"PU361 ",04/07/2016,Bloqueado
1491818,27435490,27129789,"PU361 ",04/07/2016,Bloqueado
1491819,31579557,32370676,"PU369 ",12/06/2017,Bloqueado
1491820,31286298,30067922,"PU363 ",22/05/2017,Bloqueado
1491821,31287297,30079119,"PU363 ",22/05/2017,Bloqueado
1491822,31288374,30087957,"PU362 ",22/05/2017,Bloqueado
1491823,31288385,30088016,"PU362 ",22/05/2017,Bloqueado
1491824,31291564,30059361,"PU362 ",22/05/2017,Bloqueado
1491825,31280023,22186579,"PM72Q ",18/05/2017,Bloqueado
1491826,31286315,30068091,"PU364 ",22/05/2017,Bloqueado
1491827,31293685,30079118,"PU363 ",22/05/2017,Bloqueado
1491828,31297864,30074542,"PU362 ",22/05/2017,Bloqueado
1491829,31298902,30091965,"PU361 ",22/05/2017,Bloqueado
1491830,31299956,30078310,"PU363 ",22/05/2017,Bloqueado
1491831,27550967,27193628,"PU362 ",18/07/2016,Bloqueado
1491832,27664617,32310353,"PM484 ",28/07/2016,Bloqueado
1491833,26987387,26659205,"PU362 ",07/06/2016,Bloqueado
1491834,27757847,27367683,"PU361 ",09/08/2016,Bloqueado
1491835,27757868,27367754,"PU362 ",09/08/2016,Bloqueado
1491836,27757870,27367760,"PU361 ",09/08/2016,Bloqueado
1491837,26453856,26152949,"PU362 ",19/04/2016,Bloqueado
1491838,27591033,35669817,"PM72P ",10/03/2017,Bloqueado
1491839,27591047,35719576,"PM72P ",10/03/2017,Bloqueado
1491840,31461094,30226306,"PU362 ",05/06/2017,Bloqueado
1491841,31463894,30250108,"PU363 ",05/06/2017,Bloqueado
1491842,31464989,30257823,"PU363 ",05/06/2017,Bloqueado
1491843,31084623,35627073,"PM48E ",03/05/2017,Bloqueado
1491844,31084664,32322256,"PM604 ",03/05/2017,Bloqueado
1491845,31088805,29852298,"PU364 ",05/05/2017,Bloqueado
1491846,31149183,35880255,"PM604 ",08/05/2017,Bloqueado
1491847,31467936,30249252,"PU362 ",05/06/2017,Bloqueado
1491848,31467944,30249554,"PU363 ",05/06/2017,Bloqueado
1491849,31468399,30255955,"PU362 ",05/06/2017,Bloqueado
1491850,27432646,27122678,"PU364 ",04/07/2016,Bloqueado
1491851,27674426,27217269,"PU365 ",01/08/2016,Bloqueado
1491852,27548815,27186946,"PU361 ",18/07/2016,Bloqueado
1491853,31581454,33653204,"PM604 ",12/06/2017,Bloqueado
1491854,31585613,825902,"PU12C ",14/06/2017,Bloqueado
1491855,31285088,30059358,"PU362 ",22/05/2017,Bloqueado
1491856,31285089,30059359,"PU362 ",22/05/2017,Bloqueado
1491857,31293500,30077003,"PU362 ",22/05/2017,Bloqueado
1491858,31293502,30077007,"PU362 ",22/05/2017,Bloqueado
1491859,31294513,30085389,"PU362 ",22/05/2017,Bloqueado
1491860,31422383,20999756,"PP93E ",01/06/2017,Bloqueado
1491861,31362180,2000823727,"PU12C ",18/05/2017,Bloqueado
1491862,31287257,30078309,"PU363 ",22/05/2017,Bloqueado
1491863,31289340,30097808,"PU362 ",22/05/2017,Bloqueado
1491864,31289345,30097817,"PU362 ",22/05/2017,Bloqueado
1491865,31289348,30097821,"PU362 ",22/05/2017,Bloqueado
1491866,31290424,30047378,"PU362 ",22/05/2017,Bloqueado
1491867,30992640,668642,"PU12C ",27/04/2017,Bloqueado
1491868,27754371,27312571,"PU362 ",09/08/2016,Bloqueado
1491869,27754430,27321560,"PU361 ",09/08/2016,Bloqueado
1491870,26452657,26149806,"PU362 ",19/04/2016,Bloqueado
1491871,27589900,35556625,"PM48E ",20/07/2016,Bloqueado
1491872,27594024,35552116,"PM604 ",11/02/2017,Bloqueado
1491873,26595635,31531709,"PM604 ",03/05/2016,Bloqueado
1491874,26441892,31910049,"PP93E ",18/04/2016,Bloqueado
1491875,26406832,32917794,"PM604 ",13/04/2016,Bloqueado
1491876,26985427,26611599,"PU364 ",07/06/2016,Bloqueado
1491877,26985448,26603630,"PU362 ",07/06/2016,Bloqueado
1491878,26986456,26656486,"PU364 ",07/06/2016,Bloqueado
1491879,26987497,26659447,"PU364 ",07/06/2016,Bloqueado
1491880,26987523,26659510,"PU362 ",07/06/2016,Bloqueado
1491881,26987546,26659547,"PU362 ",07/06/2016,Bloqueado
1491882,26990658,26668630,"PU362 ",07/06/2016,Bloqueado
1491883,26992728,26675825,"PU362 ",07/06/2016,Bloqueado
1491884,27564870,30412453,"PM601 ",15/07/2016,Bloqueado
1491885,27564886,30533440,"PM601 ",15/07/2016,Bloqueado
1491886,27564916,34406695,"PM604 ",15/07/2016,Bloqueado
1491887,27569097,27184479,"PU365 ",19/07/2016,Bloqueado
1491888,27549575,27189429,"PU361 ",18/07/2016,Bloqueado
1491889,28197373,22766010,"PU58V ",23/09/2016,Bloqueado
1491890,28199534,27716738,"PU362 ",16/09/2016,Bloqueado
1491891,31285194,30060809,"PU362 ",22/05/2017,Bloqueado
1491892,31286240,30067307,"PU362 ",22/05/2017,Bloqueado
1491893,31287299,30079121,"PU363 ",22/05/2017,Bloqueado
1491894,31288375,30087972,"PU362 ",22/05/2017,Bloqueado
1491895,31292615,30066862,"PU363 ",22/05/2017,Bloqueado
1491896,31293612,30078332,"PU362 ",22/05/2017,Bloqueado
1491897,30989584,665586,"PU12C ",27/04/2017,Bloqueado
1491898,31299907,30076583,"PU362 ",22/05/2017,Bloqueado
1491899,31279034,36949001,"PM48D ",20/09/2017,Bloqueado
1491900,31286336,30068283,"PU362 ",22/05/2017,Bloqueado
1491901,31289537,30100333,"PU362 ",22/05/2017,Bloqueado
1491902,31292687,30067633,"PU362 ",22/05/2017,Bloqueado
1491903,31295773,30099344,"PU362 ",22/05/2017,Bloqueado
1491904,31299944,30077556,"PU362 ",22/05/2017,Bloqueado
1491905,31299957,30078333,"PU362 ",22/05/2017,Bloqueado
1491906,27550921,27193487,"PU363 ",18/07/2016,Bloqueado
1491907,27670547,27238227,"PU364 ",01/08/2016,Bloqueado
1491908,26984281,26620305,"PU366 ",07/06/2016,Bloqueado
1491909,26985294,26587618,"PU362 ",07/06/2016,Bloqueado
1491910,26987377,26659184,"PU362 ",07/06/2016,Bloqueado
1491911,26989463,26665012,"PU362 ",07/06/2016,Bloqueado
1491912,26452766,26150049,"PU361 ",19/04/2016,Bloqueado
1491913,31460024,30263589,"PU364 ",05/06/2017,Bloqueado
1491914,31461087,30226226,"PU363 ",05/06/2017,Bloqueado
1491915,31089867,29636011,"PU362 ",05/05/2017,Bloqueado
1491916,30901594,33144152,"PM604 ",17/04/2017,Bloqueado
1491917,30904711,644679,"PU12C ",19/04/2017,Bloqueado
1491918,31148149,35074247,"PM60V ",08/05/2017,Bloqueado
1491919,27175334,26871655,"PU362 ",20/06/2016,Bloqueado
1491920,27177386,26877616,"PU362 ",20/06/2016,Bloqueado
1491921,27434692,27127301,"PU361 ",04/07/2016,Bloqueado
1491922,30940976,29724715,"PU362 ",24/04/2017,Bloqueado
1491923,31422356,24316646,"PP60M ",30/05/2017,Bloqueado
1491924,31424430,36002926,"PM72P ",30/05/2017,Bloqueado
1491925,31286110,30065734,"PU364 ",22/05/2017,Bloqueado
1491926,31287165,30077205,"PU362 ",22/05/2017,Bloqueado
1491927,31291420,30057992,"PU361 ",22/05/2017,Bloqueado
1491928,31292431,30065167,"PU362 ",22/05/2017,Bloqueado
1491929,31293497,30076998,"PU362 ",22/05/2017,Bloqueado
1491930,31293498,30076999,"PU362 ",22/05/2017,Bloqueado
1491931,31293507,30077019,"PU362 ",22/05/2017,Bloqueado
1491932,31294523,30085485,"PU362 ",22/05/2017,Bloqueado
1491933,31298695,30086637,"PU362 ",22/05/2017,Bloqueado
1491934,31298725,30087314,"PU362 ",22/05/2017,Bloqueado
1491935,31299727,30064172,"PU364 ",22/05/2017,Bloqueado
1491936,31422364,25751518,"PU583 ",30/05/2017,Bloqueado
1491937,31278900,34057188,"PU481 ",18/05/2017,Bloqueado
1491938,31287260,30078331,"PU362 ",22/05/2017,Bloqueado
1491939,31289344,30097816,"PU362 ",22/05/2017,Bloqueado
1491940,27755420,27359524,"PU363 ",09/08/2016,Bloqueado
1491941,26450536,26139110,"PU364 ",19/04/2016,Bloqueado
1491942,26452620,26149737,"PU362 ",19/04/2016,Bloqueado
1491943,27594051,35568105,"PM604 ",20/07/2016,Bloqueado
1491944,26441938,32122987,"PU368 ",15/04/2016,Bloqueado
1491945,26451646,26147280,"PU361 ",19/04/2016,Bloqueado
1491946,26977396,32317996,"PM604 ",03/06/2016,Bloqueado
1491947,26985449,26603640,"PU362 ",07/06/2016,Bloqueado
1491948,26992730,26675845,"PU362 ",07/06/2016,Bloqueado
1491949,26993776,26679381,"PU364 ",07/06/2016,Bloqueado
1491950,29968805,32202883,"PM484 ",30/01/2017,Bloqueado
1491951,29021375,28333347,"PU362 ",25/11/2016,Bloqueado
1491952,27564919,34496719,"PM604 ",15/07/2016,Bloqueado
1491953,27567015,27207240,"PU363 ",19/07/2016,Bloqueado
1491954,30151140,34327546,"PM484 ",16/02/2017,Bloqueado
1491955,27549591,27189462,"PU362 ",18/07/2016,Bloqueado
1491956,27429267,30177212,"PM601 ",30/06/2016,Bloqueado
1491957,27431335,23155074,"PP60M ",30/06/2016,Bloqueado
1491958,28197372,22765995,"PU58V ",23/09/2016,Bloqueado
1491959,28199543,27716759,"PU362 ",16/09/2016,Bloqueado
1491960,28200586,27720040,"PU361 ",16/09/2016,Bloqueado
1491961,31279972,36619624,"PM484 ",26/06/2017,Bloqueado
1491962,31283089,18869907,"PP93R ",26/05/2017,Bloqueado
1491963,31290513,30047972,"PU364 ",22/05/2017,Bloqueado
1491964,31295740,30099033,"PU362 ",22/05/2017,Bloqueado
1491965,31299910,30076611,"PU363 ",22/05/2017,Bloqueado
1491966,31299918,30076790,"PU362 ",22/05/2017,Bloqueado
1491967,31430462,788453,"PU12C ",01/06/2017,Bloqueado
1491968,31289536,30100330,"PU362 ",22/05/2017,Bloqueado
1491969,31290540,30048303,"PU362 ",22/05/2017,Bloqueado
1491970,31292688,30067641,"PU361 ",22/05/2017,Bloqueado
1491971,31295772,30099343,"PU362 ",22/05/2017,Bloqueado
1491972,31295774,30099345,"PU362 ",22/05/2017,Bloqueado
1491973,31298899,30091921,"PU363 ",22/05/2017,Bloqueado
1491974,27550925,27193502,"PU361 ",18/07/2016,Bloqueado
1491975,26992633,26675507,"PU364 ",07/06/2016,Bloqueado
1491976,27750194,32768829,"PU368 ",05/08/2016,Bloqueado
1491977,27757184,27365186,"PU362 ",09/08/2016,Bloqueado
1491978,27757848,27367689,"PU361 ",09/08/2016,Bloqueado
1491979,27757864,27367747,"PU362 ",09/08/2016,Bloqueado
1491980,27757869,27367759,"PU362 ",09/08/2016,Bloqueado
1491981,31457923,30246835,"PU362 ",05/06/2017,Bloqueado
1491982,31457938,30247176,"PU361 ",05/06/2017,Bloqueado
1491983,31088794,29852242,"PU362 ",05/05/2017,Bloqueado
1491984,31148152,35122788,"PM604 ",08/05/2017,Bloqueado
1491985,31149188,36068141,"PM604 ",08/05/2017,Bloqueado
1491986,31467090,30238438,"PU362 ",05/06/2017,Bloqueado
1491987,31468667,30260155,"PU361 ",05/06/2017,Bloqueado
1491988,37219055,2001722286,"PU12C ",01/11/2018,Bloqueado
1491989,37219065,2001722296,"PU12C ",01/11/2018,Bloqueado
1491990,37219068,2001722299,"PU12C ",01/11/2018,Bloqueado
1491991,37219072,2001722303,"PU12C ",01/11/2018,Bloqueado
1491992,37219076,2001722307,"PU12C ",01/11/2018,Bloqueado
