_CustomObjectKey,ID,HC_SITUACAO__C,HC_TITULO__C
28879507,a0o6g000005WJ03AAG,Finalizado - Antecipado total,1808389
28879508,a0o6g000005WJ0aAAG,Ativo,1714752
28879509,a0o6g000005Wj0DAAS,Finalizado - Antecipado total,1755783
28879510,a0o6g000005Wj0EAAS,Finalizado - Antecipado total,1755784
28879511,a0o6g000005Wj0FAAS,Finalizado - Antecipado total,1755785
28879512,a0o6g000005Wj0GAAS,Finalizado - Antecipado total,1755786
28879513,a0o6g000005WJ0GAAW,Finalizado - Antecipado total,1808402
28879514,a0o6g000005WJ0HAAW,Finalizado - Antecipado total,1808403
28879515,a0o6g000005WJ0IAAW,Finalizado - Antecipado total,1808404
28879516,a0o6g000005WJ0JAAW,Finalizado - Antecipado total,1808405
28879517,a0o6g000005Wj0kAAC,Finalizado - Antecipado total,1755816
28879518,a0o6g000005WJ0fAAG,Ativo,1714757
28879519,a0o6g000005WJ0gAAG,Ativo,1714758
28879520,a0o6g000005WJ0hAAG,Ativo,1714759
28879521,a0o6g000005WJ0iAAG,Finalizado - Fim de plano,1714760
28879522,a0o6g000005Wib3AAC,Finalizado - Antecipado total,1845171
28879523,a0o6g000005WIb4AAG,Finalizado - Antecipado total,1807640
28879524,a0o6g000005WIb5AAG,Finalizado - Antecipado total,1807641
28879525,a0o6g000005WIb6AAG,Finalizado - Antecipado total,1807642
28879526,a0o6g000005WIb7AAG,Finalizado - Antecipado total,1807643
28879527,a0o6g000005WiB8AAK,Finalizado - Antecipado total,1752004
28879528,a0o6g000005WiB9AAK,Finalizado - Antecipado total,1752005
28879529,a0o6g000005WiBAAA0,Finalizado - Antecipado total,1752006
28879530,a0o6g000005WibaAAC,Ativo,2126870
28879531,a0o6g000005WiBBAA0,Finalizado - Antecipado total,1752007
28879532,a0o6g000005WIDvAAO,Finalizado - Antecipado total,1807005
28879533,a0o6g000005WIdVAAW,Finalizado - Antecipado total,1807791
28879534,a0o6g000005WIDwAAO,Finalizado - Antecipado total,1807006
28879535,a0o6g000005WIdWAAW,Finalizado - Antecipado total,1807792
28879536,a0o6g000005WIdXAAW,Finalizado - Antecipado total,1807793
28879537,a0o6g000005WiDYAA0,Finalizado - Antecipado total,1848314
28879538,a0o6g000005WidyAAC,Ativo,2127024
28879539,a0o6g000005WiDZAA0,Finalizado - Antecipado total,1848315
28879540,a0o6g000005WidzAAC,Ativo,2127025
28879541,a0o6g000005WIgjAAG,Finalizado - Antecipado total,1714120
28879542,a0o6g000005WIGKAA4,Finalizado - Antecipado total,1713283
28879543,a0o6g000005WIgkAAG,Finalizado - Antecipado total,1714121
28879544,a0o6g000005WIGLAA4,Finalizado - Antecipado total,1713284
28879545,a0o6g000005WIglAAG,Finalizado - Antecipado total,1714122
28879546,a0o6g000005WIGMAA4,Finalizado - Antecipado total,1713285
28879547,a0o6g000005WIgmAAG,Finalizado - Antecipado total,1714123
28879548,a0o6g000005WiGnAAK,Finalizado - Antecipado total,1755167
28879549,a0o6g000005WIhpAAG,Finalizado - Antecipado total,1714188
28879550,a0o6g000005WIHQAA4,Finalizado - Antecipado total,1807022
28879551,a0o6g000005WIhqAAG,Finalizado - Antecipado total,1714189
28879552,a0o6g000005WIHRAA4,Finalizado - Antecipado total,1807023
28879553,a0o6g000005WIhrAAG,Finalizado - Antecipado total,1714190
28879554,a0o6g000005WiHsAAK,Finalizado - Antecipado total,1755234
28879555,a0o6g000005WiHtAAK,Finalizado - Antecipado total,1755235
28879556,a0o6g000005WihTAAS,Finalizado - Antecipado total,1848769
28879557,a0o6g000005WIIWAA4,Finalizado - Antecipado total,1807090
28879558,a0o6g000005WiIwAAK,Ativo,2126714
28879559,a0o6g000005WiIxAAK,Finalizado - Fim de plano,2126715
28879560,a0o6g000005WiIyAAK,Finalizado - Fim de plano,2126716
28879561,a0o6g000005WiiYAAS,Finalizado - Antecipado total,1752276
28879562,a0o6g000005WiIzAAK,Ativo,2126717
28879563,a0o6g000005WiiZAAS,Finalizado - Antecipado total,1752277
28879564,a0o6g000005WiJ0AAK,Ativo,2126718
28879565,a0o6g000005WIJ0AAO,Finalizado - Antecipado total,1807120
28879566,a0o6g000005WITpAAO,Finalizado - Antecipado total,1713720
28879567,a0o6g000005WItPAAW,Finalizado - Antecipado total,1808177
28879568,a0o6g000005WITqAAO,Finalizado - Antecipado total,1713721
28879569,a0o6g000005WItQAAW,Finalizado - Antecipado total,1808178
28879570,a0o6g000005WItRAAW,Finalizado - Antecipado total,1808179
28879571,a0o6g000005WiTSAA0,Finalizado - Antecipado total,1848500
28879572,a0o6g000005WitsAAC,Finalizado - Antecipado total,1848938
28879573,a0o6g000005WiTTAA0,Finalizado - Antecipado total,1848501
28879574,a0o6g000005WittAAC,Finalizado - Antecipado total,1848939
28879575,a0o6g000005WiTUAA0,Finalizado - Antecipado total,1848502
28879576,a0o6g000005WIuVAAW,Ativo,1714575
28879577,a0o6g000005WIuWAAW,Ativo,1714576
28879578,a0o6g000005Wj0lAAC,Finalizado - Antecipado total,1755817
28879579,a0o6g000005WiB3AAK,Finalizado - Antecipado total,1751999
28879580,a0o6g000005WIB3AAO,Finalizado - Fim de plano,1806815
28879581,a0o6g000005WIB4AAO,Ativo,1806816
28879582,a0o6g000005WIB5AAO,Ativo,1806817
28879583,a0o6g000005WIB6AAO,Finalizado - Antecipado total,1806818
28879584,a0o6g000005Wib9AAC,Finalizado - Antecipado total,1845177
28879585,a0o6g000005WiBaAAK,Finalizado - Antecipado total,1752032
28879586,a0o6g000005WIBaAAO,Finalizado - Fim de plano,1806848
28879587,a0o6g000005WibAAAS,Finalizado - Antecipado total,1845178
28879588,a0o6g000005WIdvAAG,Finalizado - Antecipado total,1713946
28879589,a0o6g000005WIDWAA4,Finalizado - Antecipado total,1806980
28879590,a0o6g000005WIdwAAG,Finalizado - Antecipado total,1713947
28879591,a0o6g000005WiDxAAK,Finalizado - Antecipado total,1848339
28879592,a0o6g000005WiDyAAK,Finalizado - Antecipado total,1848340
28879593,a0o6g000005WiDzAAK,Finalizado - Antecipado total,1848341
28879594,a0o6g000005WidZAAS,Finalizado - Antecipado total,2126999
28879595,a0o6g000005WIGjAAO,Finalizado - Antecipado total,1713308
28879596,a0o6g000005WigJAAS,Finalizado - Antecipado total,1848697
28879597,a0o6g000005WIgJAAW,Finalizado - Antecipado total,1714094
28879598,a0o6g000005WIGkAAO,Finalizado - Antecipado total,1713309
28879599,a0o6g000005WIgKAAW,Finalizado - Antecipado total,1714095
28879600,a0o6g000005WIGlAAO,Finalizado - Antecipado total,1713310
28879601,a0o6g000005WIgLAAW,Finalizado - Antecipado total,1714096
28879602,a0o6g000005WIgMAAW,Finalizado - Antecipado total,1714097
28879603,a0o6g000005WignAAC,Finalizado - Antecipado total,1848727
28879604,a0o6g000005WIgNAAW,Finalizado - Antecipado total,1714098
28879605,a0o6g000005WiGOAA0,Finalizado - Antecipado total,1755142
28879606,a0o6g000005WIHpAAO,Finalizado - Antecipado total,1807047
28879607,a0o6g000005WIhPAAW,Finalizado - Antecipado total,1714162
28879608,a0o6g000005WIHqAAO,Finalizado - Antecipado total,1807048
28879609,a0o6g000005WIhQAAW,Finalizado - Antecipado total,1714163
28879610,a0o6g000005WIhRAAW,Finalizado - Antecipado total,1714164
28879611,a0o6g000005WihsAAC,Finalizado - Antecipado total,1848794
28879612,a0o6g000005WIhSAAW,Finalizado - Antecipado total,1714165
28879613,a0o6g000005WiHTAA0,Finalizado - Antecipado total,1755209
28879614,a0o6g000005WihtAAC,Finalizado - Antecipado total,1848795
28879615,a0o6g000005WiHUAA0,Finalizado - Antecipado total,1755210
28879616,a0o6g000005WIiVAAW,Finalizado - Antecipado total,1714230
28879617,a0o6g000005WIiWAAW,Finalizado - Antecipado total,1714231
28879618,a0o6g000005WiIXAA0,Ativo,2126689
28879619,a0o6g000005WiixAAC,Finalizado - Antecipado total,1752301
28879620,a0o6g000005WiIYAA0,Ativo,2126690
28879621,a0o6g000005WiiyAAC,Finalizado - Antecipado total,1752302
28879622,a0o6g000005WiIZAA0,Ativo,2126691
28879623,a0o6g000005WiizAAC,Finalizado - Antecipado total,1752303
28879624,a0o6g000005Wij0AAC,Finalizado - Antecipado total,1752304
28879625,a0o6g000005WIj1AAG,Finalizado - Antecipado total,1714262
28879626,a0o6g000005WItpAAG,Finalizado - Antecipado total,1808203
28879627,a0o6g000005WITQAA4,Finalizado - Antecipado total,1713695
28879628,a0o6g000005WItqAAG,Finalizado - Antecipado total,1808204
28879629,a0o6g000005WiTrAAK,Finalizado - Antecipado total,1848525
28879630,a0o6g000005WiTsAAK,Finalizado - Antecipado total,1848526
28879631,a0o6g000005WiTtAAK,Finalizado - Antecipado total,1848527
28879632,a0o6g000005WitTAAS,Finalizado - Antecipado total,1848913
28879633,a0o6g000005WiUwAAK,Finalizado - Antecipado total,1848592
28879634,a0o6g000005WiUxAAK,Finalizado - Antecipado total,1848593
28879635,a0o6g000005WiUyAAK,Finalizado - Antecipado total,1848594
28879636,a0o6g000005WiUXAA0,Finalizado - Antecipado total,1848567
28879637,a0o6g000005WiuxAAC,Ativo,1752446
28879638,a0o6g000005WiUYAA0,Finalizado - Antecipado total,1848568
28879639,a0o6g000005WiuyAAC,Ativo,1752447
28879640,a0o6g000005WiUZAA0,Finalizado - Antecipado total,1848569
28879641,a0o6g000005WiuzAAC,Ativo,1752448
28879642,a0o6g000005Wiv0AAC,Ativo,1752449
28879643,a0o6g000005WIv0AAG,Ativo,1714606
28879644,a0o6g000005WIv1AAG,Ativo,1714607
28879645,a0o6g000005Wiw5AAC,Ativo,1752516
28879646,a0o6g000005WIw5AAG,Ativo,1714673
28879647,a0o6g000005WIw6AAG,Finalizado - Antecipado total,1714674
28879648,a0o6g000005WIw7AAG,Ativo,1714675
28879649,a0o6g000005WIw8AAG,Finalizado - Fim de plano,1714676
28879650,a0o6g000005WiW9AAK,Finalizado - Antecipado total,1755319
28879651,a0o6g000005WiWAAA0,Finalizado - Antecipado total,1755320
28879652,a0o6g000005WiwaAAC,Ativo,1752547
28879653,a0o6g000005WiWBAA0,Finalizado - Antecipado total,1755321
28879654,a0o6g000005WiwbAAC,Finalizado - Antecipado total,1752548
28879655,a0o6g000005WiWCAA0,Finalizado - Antecipado total,1755322
28879656,a0o6g000005WIxDAAW,Finalizado - Antecipado total,1808213
28879657,a0o6g000005WiXEAA0,Finalizado - Antecipado total,1755386
28879658,a0o6g000005WixeAAC,Ativo,1752613
28879659,a0o6g000005WiXFAA0,Finalizado - Antecipado total,1755387
28879660,a0o6g000005WixfAAC,Ativo,1752614
28879661,a0o6g000005WiXGAA0,Finalizado - Antecipado total,1755388
28879662,a0o6g000005WixgAAC,Ativo,1752615
28879663,a0o6g000005WiXHAA0,Finalizado - Antecipado total,1755389
28879664,a0o6g000005WixhAAC,Finalizado - Fim de plano,1752616
28879665,a0o6g000005WIxhAAG,Finalizado - Antecipado total,1808243
28879666,a0o6g000005WiYKAA0,Finalizado - Antecipado total,1845002
28879667,a0o6g000005WiykAAC,Finalizado - Antecipado total,1755692
28879668,a0o6g000005WiYLAA0,Finalizado - Antecipado total,1845003
28879669,a0o6g000005WiylAAC,Finalizado - Antecipado total,1755693
28879670,a0o6g000005WiYMAA0,Finalizado - Antecipado total,1845004
28879671,a0o6g000005WIYMAA4,Finalizado - Antecipado total,1713801
28879672,a0o6g000005WiymAAC,Finalizado - Antecipado total,1755694
28879673,a0o6g000005WIymAAG,Finalizado - Antecipado total,1808310
28879674,a0o6g000005WIYNAA4,Finalizado - Antecipado total,1713802
28879675,a0o6g000005WIynAAG,Finalizado - Cancelado,1808311
28879676,a0o6g000005Wj0LAAS,Finalizado - Antecipado total,1755791
28879677,a0o6g000005Wj0MAAS,Finalizado - Antecipado total,1755792
28879678,a0o6g000005Wj0NAAS,Finalizado - Antecipado total,1755793
28879679,a0o6g000005Wj0OAAS,Finalizado - Antecipado total,1755794
28879680,a0o6g000005WJ0PAAW,Ativo,1714741
28879681,a0o6g000005WJ0QAAW,Finalizado - Fim de plano,1714742
28879682,a0o6g000005WJ0RAAW,Ativo,1714743
28879683,a0o6g000005WJ0SAAW,Ativo,1714744
28879684,a0o6g000005Wj0tAAC,Finalizado - Antecipado total,1755825
28879685,a0o6g000005Wj0uAAC,Finalizado - Antecipado total,1755826
28879686,a0o6g000005Wj2YAAS,Ativo,2127348
28879687,a0o6g000005WJ2YAAW,Ativo,1714874
28879688,a0o6g000005WJ2ZAAW,Finalizado - Fim de plano,1714875
28879689,a0o6g000005Wj32AAC,Ativo,2127378
28879690,a0o6g000005Wj33AAC,Ativo,2127379
28879691,a0o6g000005Wj34AAC,Finalizado - Fim de plano,2127380
28879692,a0o6g000005Wj35AAC,Finalizado - Fim de plano,2127381
28879693,a0o6g000005WJ36AAG,Ativo,1714908
28879694,a0o6g000005WJ37AAG,Ativo,1714909
28879695,a0o6g000005WJ38AAG,Ativo,1714910
28879696,a0o6g000005WJ39AAG,Ativo,1714911
28879697,a0o6g000005Wj3aAAC,Finalizado - Antecipado total,2127412
28879698,a0o6g000005Wj3bAAC,Finalizado - Antecipado total,2127413
28879699,a0o6g000005Wj3cAAC,Finalizado - Antecipado total,2127414
28879700,a0o6g000005Wj3dAAC,Ativo,2127415
28879701,a0o6g000005WJ3dAAG,Finalizado - Antecipado total,1808411
28879702,a0o6g000005WiuYAAS,Finalizado - Antecipado total,1848980
28879703,a0o6g000005WiUzAAK,Finalizado - Antecipado total,1848595
28879704,a0o6g000005WiuZAAS,Finalizado - Antecipado total,1848981
28879705,a0o6g000005WIV0AAO,Finalizado - Antecipado total,1807464
28879706,a0o6g000005WIW4AAO,Finalizado - Antecipado total,1807530
28879707,a0o6g000005WIW5AAO,Finalizado - Antecipado total,1807531
28879708,a0o6g000005WIW6AAO,Finalizado - Antecipado total,1807532
28879709,a0o6g000005WIW7AAO,Finalizado - Antecipado total,1807533
28879710,a0o6g000005WIW8AAO,Finalizado - Antecipado total,1807534
28879711,a0o6g000005WiWaAAK,Finalizado - Cancelado,1755346
28879712,a0o6g000005WiwAAAS,Finalizado - Antecipado total,1752521
28879713,a0o6g000005WiWbAAK,Finalizado - Antecipado total,1755347
28879714,a0o6g000005WiwBAAS,Ativo,1752522
28879715,a0o6g000005WiXdAAK,Finalizado - Antecipado total,1755411
28879716,a0o6g000005WiXeAAK,Finalizado - Antecipado total,1755412
28879717,a0o6g000005WiXfAAK,Finalizado - Antecipado total,1755413
28879718,a0o6g000005WixFAAS,Ativo,1752588
28879719,a0o6g000005WiXgAAK,Finalizado - Antecipado total,1755414
28879720,a0o6g000005WixGAAS,Ativo,1752589
28879721,a0o6g000005WIXhAAO,Finalizado - Antecipado total,1713760
28879722,a0o6g000005WixHAAS,Ativo,1752590
28879723,a0o6g000005WiYjAAK,Finalizado - Antecipado total,1845027
28879724,a0o6g000005WiYkAAK,Finalizado - Antecipado total,1845028
28879725,a0o6g000005WiyKAAS,Finalizado - Antecipado total,1755666
28879726,a0o6g000005WiYlAAK,Finalizado - Antecipado total,1845029
28879727,a0o6g000005WiyLAAS,Finalizado - Antecipado total,1755667
28879728,a0o6g000005WIYmAAO,Finalizado - Antecipado total,1713827
28879729,a0o6g000005WiyMAAS,Finalizado - Antecipado total,1755668
28879730,a0o6g000005WIYnAAO,Finalizado - Antecipado total,1713828
28879731,a0o6g000005WiyNAAS,Finalizado - Antecipado total,1755669
28879732,a0o6g000005WIyNAAW,Finalizado - Antecipado total,1808285
28879733,a0o6g000005Wj0mAAC,Finalizado - Antecipado total,1755818
28879734,a0o6g000005Wj0nAAC,Finalizado - Antecipado total,1755819
28879735,a0o6g000005WJ0oAAG,Finalizado - Fim de plano,1714766
28879736,a0o6g000005WJ0pAAG,Ativo,1714767
28879737,a0o6g000005WJ0qAAG,Ativo,1714768
28879738,a0o6g000005WJ0rAAG,Ativo,1714769
28879739,a0o6g000005Wj0TAAS,Finalizado - Antecipado total,1755799
28879740,a0o6g000005WJ2yAAG,Ativo,1714900
28879741,a0o6g000005WJ2zAAG,Ativo,1714901
28879742,a0o6g000005WJ30AAG,Ativo,1714902
28879743,a0o6g000005WJ31AAG,Ativo,1714903
28879744,a0o6g000005Wj3BAAS,Ativo,2127387
28879745,a0o6g000005Wj3CAAS,Ativo,2127388
28879746,a0o6g000005Wj3DAAS,Ativo,2127389
28879747,a0o6g000005Wj3EAAS,Ativo,2127390
28879748,a0o6g000005WJ3EAAW,Ativo,1714916
28879749,a0o6g000005WJ3FAAW,Ativo,1714917
28879750,a0o6g000005Wj5tAAC,Finalizado - Antecipado total,1849105
28879751,a0o6g000005Wj5uAAC,Finalizado - Antecipado total,1849106
28879752,a0o6g000005Wj5vAAC,Finalizado - Antecipado total,1849107
28879753,a0o6g000005WJ5vAAG,Finalizado - Antecipado total,1808553
28879754,a0o6g000005WJ5wAAG,Finalizado - Antecipado total,1808554
28879755,a0o6g000005WJ5xAAG,Finalizado - Antecipado total,1808555
28879756,a0o6g000005WJ5yAAG,Finalizado - Antecipado total,1808556
28879757,a0o6g000005Wj68AAC,Ativo,1849122
28879758,a0o6g000005Wj69AAC,Ativo,1849125
28879759,a0o6g000005WjKzAAK,Finalizado - Antecipado total,1756071
28879760,a0o6g000005WjkZAAS,Finalizado - Antecipado total,1849633
28879761,a0o6g000005WjL0AAK,Finalizado - Antecipado total,1756072
28879762,a0o6g000005WjL1AAK,Finalizado - Antecipado total,1756073
28879763,a0o6g000005WJL1AAO,Finalizado - Antecipado total,1808889
28879764,a0o6g000005WJL2AAO,Finalizado - Antecipado total,1808890
28879765,a0o6g000005WJ3eAAG,Finalizado - Antecipado total,1808412
28879766,a0o6g000005WJ3fAAG,Finalizado - Antecipado total,1808413
28879767,a0o6g000005WJ3gAAG,Finalizado - Cancelado,1808414
28879768,a0o6g000005Wj5TAAS,Finalizado - Antecipado total,1849057
28879769,a0o6g000005Wj5UAAS,Finalizado - Antecipado total,1849058
28879770,a0o6g000005Wj5VAAS,Finalizado - Antecipado total,1849059
28879771,a0o6g000005Wj5WAAS,Finalizado - Antecipado total,1849060
28879772,a0o6g000005WJ5WAAW,Finalizado - Antecipado total,1808528
28879773,a0o6g000005WJ5XAAW,Finalizado - Antecipado total,1808529
28879774,a0o6g000005WJ5YAAW,Finalizado - Antecipado total,1808530
28879775,a0o6g000005WJ5ZAAW,Finalizado - Antecipado total,1808531
28879776,a0o6g000005Wj60AAC,Finalizado - Antecipado total,1849112
28879777,a0o6g000005Wj61AAC,Finalizado - Antecipado total,1849113
28879778,a0o6g000005Wj62AAC,Finalizado - Antecipado total,1849114
28879779,a0o6g000005Wj63AAC,Finalizado - Antecipado total,1849115
28879780,a0o6g000005WJ64AAG,Finalizado - Antecipado total,1808562
28879781,a0o6g000005WJ65AAG,Finalizado - Antecipado total,1808563
28879782,a0o6g000005WJ66AAG,Finalizado - Antecipado total,1808564
28879783,a0o6g000005WJ67AAG,Finalizado - Antecipado total,1808565
28879784,a0o6g000005WjkzAAC,Finalizado - Antecipado total,1849659
28879785,a0o6g000005Wjl0AAC,Finalizado - Antecipado total,1849660
28879786,a0o6g000005Wjl1AAC,Finalizado - Antecipado total,1849661
28879787,a0o6g000005Wjl2AAC,Finalizado - Antecipado total,1849662
28879788,a0o6g000005WJl2AAG,Ativo,1716232
28879789,a0o6g000005WJl3AAG,Finalizado - Fim de plano,1716233
28879790,a0o6g000005WJl4AAG,Ativo,1716234
28879791,a0o6g000005WJl5AAG,Ativo,1716235
28879792,a0o6g000005WjL6AAK,Finalizado - Cancelado,1756078
28879793,a0o6g000005WjL7AAK,Finalizado - Antecipado total,1756079
28879794,a0o6g000005WjL8AAK,Finalizado - Antecipado total,1756080
28879795,a0o6g000005WjL9AAK,Finalizado - Antecipado total,1756081
28879796,a0o6g000005WJL9AAO,Finalizado - Antecipado total,1808897
28879797,a0o6g000005WJLAAA4,Finalizado - Antecipado total,1808898
28879798,a0o6g000005WJlaAAG,Ativo,1716266
28879799,a0o6g000005WJLBAA4,Finalizado - Antecipado total,1808899
28879800,a0o6g000005WJlbAAG,Finalizado - Fim de plano,1716267
28879801,a0o6g000005WJLCAA4,Finalizado - Antecipado total,1808900
