_CustomObjectKey,ID,hc_classificacao__c,hc_classificacao__c_old,Data_Inclusao
67,a0i6g000006K6hlAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
68,a0i6g000006K9ILAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
69,a0i6g000006KBpjAAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
70,a0i6g000006KCwCAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
71,a0i6g000006KEHVAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
72,a0i6g000006KFXwAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
73,a0i6g000006KHnYAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
74,a0i6g000006KICKAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
75,a0i6g000006KJJhAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
76,a0i6g000006KKgzAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
77,a0i6g000006KRh0AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
78,a0i6g000006KWYNAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
79,a0i6g000006KWsQAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
80,a0i6g000006KXz5AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
81,a0i6g000006KYP3AAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
82,a0i6g000006KZRkAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
83,a0i6g000006KbXrAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
84,a0i6g000006Ke8nAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
85,a0i6g000006KkhQAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
86,a0i6g000006Kod1AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
87,a0i6g000006Ks7UAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
88,a0i6g000006KuNcAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
89,a0i6g000006Kv1DAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
90,a0i6g000006LJx8AAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
91,a0i6g000006LR6RAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
92,a0i6g000006LRreAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
93,a0i6g000006LTd1AAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
94,a0i6g000006LTdFAAW,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
95,a0i6g000006LaxmAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
96,a0i6g000006LdQoAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
97,a0i6g000006LdaJAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
98,a0i6g000006LdasAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
99,a0i6g000006LdsnAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
100,a0i6g000006Ldu0AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
101,a0i6g000006Ldu5AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
102,a0i6g000006LeAjAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
103,a0i6g000006DWbLAAW,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
104,a0i6g000006DY1nAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
105,a0i6g000006DY6AAAW,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
106,a0i6g000006DdwyAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
107,a0i6g000006DfTIAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
108,a0i6g000006DftCAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
109,a0i6g000006DgzFAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
110,a0i6g000006DhtAAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
111,a0i6g000006DmnAAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
112,a0i6g000006Dw5aAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
113,a0i6g000006E17eAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
114,a0i6g000006E1tgAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
115,a0i6g000006E1ucAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
116,a0i6g000006E2ZjAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
117,a0i6g000006E2pRAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
118,a0i6g000006EBI2AAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
119,a0i6g000006EBznAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
120,a0i6g000006EDEtAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
121,a0i6g000006EEGyAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
122,a0i6g000006EFQ8AAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
123,a0i6g000006EGM6AAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
124,a0i6g000006EJHvAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
125,a0i6g000006EM4PAAW,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
126,a0i6g000006ENUIAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
127,a0i6g000006EOsWAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
128,a0i6g000006ETgkAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
129,a0i6g000006ETmGAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
130,a0i6g000006EWRvAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
131,a0i6g000006EcqFAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
132,a0i6g000006EjDkAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
133,a0i6g000006EkhlAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
134,a0i6g000006EpAEAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
135,a0i6g000006EpmtAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
136,a0i6g000006EqsNAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
137,a0i6g000006ErN6AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
138,a0i6g000006EtiBAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
139,a0i6g000006EzdGAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
140,a0i6g000006F0KlAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
141,a0i6g000006F0zYAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
142,a0i6g000006F3qeAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
143,a0i6g000006F8CEAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
144,a0i6g000006F8LcAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
145,a0i6g000006F8haAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
146,a0i6g000006FEgqAAG,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
147,a0i6g000006FHCkAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
148,a0i6g000006FQ8IAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
149,a0i6g000006FUwKAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
150,a0i6g000006FYXpAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
151,a0i6g000006FdXfAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
152,a0i6g000006FeeHAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
153,a0i6g000006FnjoAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
154,a0i6g000006FoRyAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
155,a0i6g000006FqehAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
156,a0i6g000006FqfiAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
157,a0i6g000006Ft6SAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
158,a0i6g000006G2d1AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
159,a0i6g000006G37JAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
160,a0i6g000006G5TZAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
161,a0i6g000006GAObAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
162,a0i6g000006GAplAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
163,a0i6g000006GGv9AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
164,a0i6g000006GHZKAA4,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
165,a0i6g000006GI0qAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
166,a0i6g000006GLoXAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
167,a0i6g000006GQVPAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
168,a0i6g000006GRQHAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
169,a0i6g000006GRsVAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
170,a0i6g000006GSDdAAO,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
171,a0i6g000006GT9PAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
172,a0i6g000006GWqEAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
173,a0i6g000006GaYtAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
174,a0i6g000006GakZAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
175,a0i6g000006GbU9AAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
176,a0i6g000006Gd64AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
177,a0i6g000006GdS7AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
178,a0i6g000006GfTiAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
179,a0i6g000006GgklAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
180,a0i6g000006Gjb2AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
181,a0i6g000006GltRAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
182,a0i6g000006GpCWAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
183,a0i6g000006GpexAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
184,a0i6g000006GuJhAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
185,a0i6g000006GwDLAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
186,a0i6g000006GzYyAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
187,a0i6g000006H1ZrAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
188,a0i6g000006H2Q9AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
189,a0i6g000006H4WSAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
190,a0i6g000006H55VAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
191,a0i6g000006HDeDAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
192,a0i6g000006HQEZAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
193,a0i6g000006HRhEAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
194,a0i6g000006LeTBAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
195,a0i6g000006LeW4AAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
196,a0i6g000006LflnAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
197,a0i6g000006LfsMAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
198,a0i6g000006LkDvAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
199,a0i6g000006LlhVAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
200,a0i6g000006LmR2AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
201,a0i6g000006LovaAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
202,a0i6g000006Lpk8AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
203,a0i6g000006LqPRAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
204,a0i6g000006Lqc9AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
205,a0i6g000006Lqe9AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
206,a0i6g000006LqeVAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
207,a0i6g000006LqwtAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
208,a0i6g000006Lqx9AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
209,a0i6g000006LwPQAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
210,a0i6g000006Ly4RAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
211,a0i6g000006Ly4cAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
212,a0i6g000006Ly6kAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
213,a0i6g000006M6KpAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
214,a0i6g000006MALFAA4,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
215,a0i6g000006MAgJAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
216,a0i6g000006MEkEAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
217,a0i6g000006MJb4AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
218,a0i6g000006MUTvAAO,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
219,a0i6g000006MdXUAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
220,a0i6g000006Me8AAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
221,a0i6g000006Mhv7AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
222,a0i6g000006Mk2XAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
223,a0i6g000006MpZjAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
224,a0i6g000006MsBiAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
225,a0i6g000006MsbYAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
226,a0i6g000006MtHTAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
227,a0i6g000006MyrZAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
228,a0i6g000006N4bFAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
229,a0i6g000006N4tGAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
230,a0i6g000006N5jUAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
231,a0i6g000006N80OAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
232,a0i6g000006N9N7AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
233,a0i6g000006NBgkAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
234,a0i6g000006NC8aAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
235,a0i6g000006NKsOAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
236,a0i6g000006NUk7AAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
237,a0i6g000006NY3jAAG,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
238,a0i6g000006NlRUAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
239,a0i6g000006NnfyAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
240,a0i6g000006NnukAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
241,a0i6g000006NotcAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
242,a0i6g000006Npm0AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
243,a0i6g000006NqBwAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
244,a0i6g000006NqCKAA0,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
245,a0i6g000006NrhGAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
246,a0i6g000006NuMWAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
247,a0i6g000006NwPRAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
248,a0i6g000006NwxaAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
249,a0i6g000006O8SxAAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
250,a0i6g000006OW4IAAW,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
251,a0i6g000006OZpHAAW,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
252,a0i6g000006OcuzAAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
253,a0i6g000006OjA3AAK,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
254,a0i6g000006Opq3AAC,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
255,a0i6g000006OqFCAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
256,a0i6g000006OqFgAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
257,a0i6g000006OreJAAS,Ex-Cliente,Cliente Potencial,8/14/2023 9:15:11 AM
258,a0i6g000006Oz2yAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
259,a0i6g000006P22gAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
260,a0i6g000006P235AAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
261,a0i6g000006P2HuAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
262,a0i6g000006P6WHAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
263,a0i6g000006P6WJAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
264,a0i6g000006P6WdAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
265,a0i6g000006P6XkAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
266,a0i6g000006P6XoAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
267,a0i6g000006P6YjAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
268,a0i6g000006P6jTAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
269,a0i6g000006P6jeAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
270,a0i6g000006P6jsAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
271,a0i6g000006P6kQAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
272,a0i6g000006P6kiAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
273,a0i6g000006P6yVAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
274,a0i6g000006P6ytAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
275,a0i6g000006P6zPAAS,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
276,a0i6g000006P6zhAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
277,a0i6g000006P70yAAC,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
278,a0i6g000006P7EwAAK,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
279,a0i6g000006P7FYAA0,Ex-Cliente,Cliente,8/14/2023 9:15:11 AM
