_CustomObjectKey,id_titulo,Id_Serie,id_plano,Data_Pagamento_Resgate
21282107,2749,AA,PU013D,2018-12-21
21282108,261291,AA,"PM72P ",2018-12-12
21282109,420013,AA,"PM604 ",2018-12-15
21282110,285700,AA,"PM72P ",2018-12-16
21282111,866892,AB,"PU369 ",2018-12-19
21282112,837559,AA,"PU36H ",2018-11-23
21282113,660,QM,"PM24P ",2018-11-28
21282114,902424,AB,"PU369 ",2018-12-16
21282115,322000,AD,"PU368 ",2018-12-23
21282116,314607,AD,"PU368 ",2018-12-22
21282117,320549,AD,"PU368 ",2018-12-23
21282118,328978,AD,"PU367 ",2018-12-24
21282119,606719,AC,"PU369 ",2018-12-23
21282120,605042,AC,"PU368 ",2018-12-23
21282121,319103,AD,"PU368 ",2018-12-22
21282122,602680,AC,"PU368 ",2018-12-22
21282123,323482,AD,"PU369 ",2018-12-23
21282124,323524,AD,"PU369 ",2018-12-23
21282125,322718,AA,"PM48G ",2018-12-01
21282126,63923,AA,"PU48A ",2018-11-18
21282127,579015,AC,"PU369 ",2018-12-11
21282128,804995,AB,"PU368 ",2018-12-11
21282129,274642,AD,"PU369 ",2018-12-11
21282130,273270,AD,"PU368 ",2018-12-11
21282131,271550,AD,"PU368 ",2018-12-11
21282132,805224,AB,"PU367 ",2018-12-11
21282133,2686219,AA,"PU12C ",2018-12-11
21282134,161784,AG,"PU122 ",2018-12-11
21282135,42242,AI,"PU122 ",2018-12-11
21282136,191469,AF,"PU122 ",2018-12-11
21282137,191471,AF,"PU122 ",2018-12-11
21282138,41689,AI,"PU122 ",2018-12-11
21282139,101697,AH,"PU122 ",2018-12-11
21282140,165446,AA,"A48PM ",2023-08-20
21282141,538139,AA,"A60PM ",2023-08-15
21282142,537384,AA,"A60PM ",2023-08-15
21282143,36605,AA,"A36PM ",2023-07-26
21282144,26845,AA,"A48PM ",2023-08-20
21282145,73307,AA,"C36PM ",2023-08-01
21282146,497144,AA,"A48PM ",2023-07-25
21282147,387621,AA,"PUA36 ",2023-08-25
21282148,387749,AA,"PUA36 ",2023-08-25
21282149,388296,AA,"PUB36 ",2023-08-25
21282150,536689,AA,"A60PM ",2023-08-14
21282151,218800,AA,"C48PM ",2023-07-22
21282152,144124,AA,"A36PM ",2023-07-27
21282153,50326,AA,"PUA12 ",2023-08-14
21282154,84850,AA,"PUD36 ",2023-08-24
21282155,386261,AA,"PUA36 ",2023-08-24
21282156,390262,AA,"PUA36 ",2023-08-27
21282157,392168,AA,"PUA36 ",2023-08-28
21282158,21079,AA,"PUA48 ",2023-08-28
21282159,389689,AA,"PUA36 ",2023-08-26
21282160,392611,AA,"PUA36 ",2023-08-28
21282161,392973,AA,"PUA36 ",2023-08-28
21282162,5627,AB,"A36PM ",2023-08-20
21282163,184428,AB,"A60PM ",2023-08-23
21282164,78189,AA,"A48PU ",2023-07-30
21282165,22302,AC,"A48PM ",2023-08-10
21282166,625428,AA,"A48PM ",2023-08-28
21282167,394720,AA,"PUB36 ",2023-09-01
21282168,394488,AA,"PUA36 ",2023-09-01
21282169,431,AA,"A36PU ",2023-09-01
21282170,59441,AA,"PM607 ",2023-09-01
21282171,442981,AA,"D48PM ",2022-03-05
21282172,221266,AA,"B48PU ",2022-02-14
21282173,229311,AA,"A48PU ",2022-02-11
21282174,418905,AA,"PM488 ",2022-03-15
21282175,73224,AA,"PU48I ",2022-03-15
21282176,46931,AA,"36PUA ",2022-03-15
21282177,46958,AA,"36PUA ",2022-03-15
21282178,10512,AK,"PU36W ",2022-03-15
21282179,424971,AA,"PM488 ",2022-03-28
21282180,58533,AA,"36PUB ",2022-03-27
21282181,56918,AA,"36PUB ",2022-03-26
21282182,57528,AA,"36PUA ",2022-03-27
21282183,405966,AA,"PM48G ",2022-03-05
21282184,71263,AA,"PU48F ",2022-03-06
21282185,408392,AA,"PM488 ",2022-03-06
21282186,380124,AA,"PM488 ",2022-03-05
21282187,40047,AA,"36PUA ",2022-03-06
21282188,9175,AK,"PU36W ",2022-03-07
21282189,24774,AA,"PMA48 ",2022-02-15
21282190,26444,AA,"PMC60 ",2022-02-01
21282191,384693,AA,"A48PM ",2022-02-03
21282192,11375,AB,"B60PM ",2022-02-17
21282193,219572,AA,"A48PM ",2022-02-23
21282194,67607,AA,"A36PM ",2022-02-05
21282195,438267,AA,"PM483 ",2023-01-10
21282196,184866,AG,"PU36W ",2022-03-06
21282197,146634,AH,"PU36W ",2022-03-06
21282198,86346,AI,"PU36W ",2022-03-07
21282199,58917,AA,"36PUA ",2022-03-27
21282200,58122,AA,"36PUA ",2022-03-27
21282201,59205,AA,"36PUA ",2022-03-27
21282202,59214,AA,"36PUA ",2022-03-27
21282203,57811,AA,"36PUA ",2022-03-27
21282204,57183,AA,"36PUA ",2022-03-26
21282205,104360,AA,"A60PM ",2021-12-27
21282206,70,AA,"B48PM ",2021-12-07
21282207,190948,AF,"PU36W ",2021-12-08
21282208,99259,AH,"PU36W ",2021-12-08
21282209,99569,AH,"PU36W ",2021-12-08
21282210,117108,AH,"PU36W ",2022-01-05
21282211,100189,AA,"A48PM ",2022-01-18
21282212,186535,AA,"A48PU ",2022-01-21
21282213,324296,AD,"PU368 ",2018-12-23
21282214,814334,AB,"PU368 ",2018-12-22
21282215,814579,AB,"PU368 ",2018-12-22
21282216,814581,AB,"PU368 ",2018-12-22
21282217,50228,AI,"PU122 ",2018-12-22
21282218,50316,AI,"PU122 ",2018-12-22
21282219,167385,AG,"PU122 ",2018-12-22
21282220,49570,AI,"PU122 ",2018-12-22
21282221,166860,AG,"PU122 ",2018-12-22
21282222,111528,AH,"PU122 ",2018-12-22
21282223,167116,AG,"PU122 ",2018-12-22
21282224,2704289,AA,"PU12C ",2018-12-22
21282225,2697128,AA,"PU12C ",2018-12-22
21282226,2697267,AA,"PU12C ",2018-12-22
21282227,592233,AA,"PU36C ",2018-11-30
21282228,297599,AA,"PM483 ",2018-12-16
21282229,335930,AA,"PM488 ",2018-12-15
21282230,309392,AD,"PU368 ",2018-12-21
21282231,308992,AD,"PU369 ",2018-12-21
21282232,310260,AD,"PU368 ",2018-12-21
21282233,308636,AD,"PU368 ",2018-12-21
21282234,309765,AD,"PU367 ",2018-12-21
21282235,599079,AC,"PU368 ",2018-12-21
21282236,2671893,AA,"PU12C ",2018-12-21
21282237,111075,AH,"PU122 ",2018-12-21
21282238,111153,AH,"PU122 ",2018-12-21
21282239,166717,AG,"PU122 ",2018-12-21
21282240,110224,AH,"PU122 ",2018-12-21
21282241,2625,AK,"PU122 ",2018-12-21
21282242,171925,AA,"PM483 ",2018-12-12
21282243,275731,AA,"PM483 ",2018-12-14
21282244,683228,AC,"PU368 ",2018-12-06
21282245,28640,AA,"PU241 ",2018-11-27
21282246,57873,AA,"PU48I ",2018-11-26
21282247,321480,AD,"PU369 ",2018-12-23
21282248,326332,AD,"PU367 ",2018-12-24
21282249,325763,AD,"PU369 ",2018-12-24
21282250,16342,AA,"PU12D ",2018-12-22
21282251,320065,AD,"PU369 ",2018-12-23
21282252,327838,AD,"PU368 ",2018-12-24
21282253,604341,AC,"PU368 ",2018-12-23
21282254,317632,AD,"PU369 ",2018-12-22
21282255,604928,AC,"PU369 ",2018-12-23
21282256,326858,AD,"PU367 ",2018-12-24
21282257,601293,AC,"PU368 ",2018-12-22
21282258,14842,AA,PU001D,2022-01-27
21282259,258070,AA,"PUA36 ",2022-01-16
21282260,196890,AA,"PUA36 ",2022-01-28
21282261,80397,AA,"PMC60 ",2022-01-27
21282262,99952,AA,"PUA24 ",2022-02-11
21282263,79923,AA,"PUA48 ",2021-12-16
21282264,15573,AJ,"PU36W ",2021-12-29
21282265,15436,AJ,"PU36W ",2021-12-29
21282266,114345,AH,"PU36W ",2021-12-29
21282267,28083,AA,"36PUA ",2022-02-18
21282268,45166,AA,"PMD60 ",2022-03-21
21282269,134996,AA,"A48PM ",2022-03-10
21282270,425075,AA,"PM489 ",2022-03-28
21282271,425101,AA,"PM489 ",2022-03-28
21282272,425107,AA,"PM489 ",2022-03-28
21282273,2497,AA,"36PML ",2022-02-20
21282274,128588,AA,"A48PU ",2022-03-03
21282275,40141,AA,"36PM2 ",2022-03-15
21282276,186703,AG,"PU36W ",2022-03-15
21282277,142138,AA,"36PU3 ",2022-03-27
21282278,142834,AA,"36PU3 ",2022-03-28
21282279,74941,AA,"PMI48 ",2022-02-19
21282280,61103,AA,"B36PM ",2022-02-15
21282281,52929,AA,"B36PM ",2022-02-09
21282282,267185,AA,"C48PM ",2022-02-15
21282283,409235,AA,"PM488 ",2022-03-07
21282284,409436,AA,"PM488 ",2022-03-07
21282285,3494,AA,"36PML ",2022-03-05
21282286,29387,AA,"PP36A ",2022-03-05
21282287,58942,AA,"B60PM ",2022-03-28
21282288,152602,AA,"PUC24 ",2022-02-14
21282289,286698,AA,"PM72P ",2022-03-04
21282290,104901,AA,"PUB24 ",2022-03-04
21282291,147032,AH,"PU36W ",2022-03-07
21282292,146695,AH,"PU36W ",2022-03-06
21282293,86084,AI,"PU36W ",2022-03-06
21282294,34972,AJ,"PU36W ",2022-03-07
21282295,154202,AH,"PU36W ",2022-03-27
21282296,5642,AA,"PM605 ",2018-11-07
21282297,597897,AC,"PU369 ",2018-11-21
21282298,315082,AD,"PU368 ",2018-11-22
21282299,570930,AA,"PM604 ",2018-12-01
21282300,273240,AD,"PU368 ",2018-12-11
21282301,805026,AB,"PU368 ",2018-12-11
21282302,577929,AC,"PU368 ",2018-12-11
21282303,274601,AD,"PU367 ",2018-12-11
21282304,580157,AC,"PU368 ",2018-12-11
21282305,2686391,AA,"PU12C ",2018-12-11
21282306,2686475,AA,"PU12C ",2018-12-11
21282307,2681315,AA,"PU12C ",2018-12-11
21282308,10772,AA,"PU36W ",2018-12-11
21282309,10802,AJ,"PU122 ",2018-12-11
21282310,101284,AH,"PU122 ",2018-12-11
21282311,31342,AA,"PU121 ",2018-12-11
21282312,172851,AB,"PU24W ",2018-12-24
21282313,18350,AC,"PU24W ",2018-12-24
21282314,2696545,AA,"PU12C ",2018-12-22
21282315,2704853,AA,"PU12C ",2018-12-22
21282316,2698201,AA,"PU12C ",2018-12-22
21282317,2698390,AA,"PU12C ",2018-12-22
21282318,2705200,AA,"PU12C ",2018-12-22
21282319,2706412,AA,"PU12C ",2018-12-22
21282320,2706528,AA,"PU12C ",2018-12-22
21282321,2706593,AA,"PU12C ",2018-12-22
21282322,2707450,AA,"PU12C ",2018-12-22
21282323,249477,AA,"PM488 ",2018-12-10
21282324,249882,AA,"PM48H ",2018-12-10
21282325,812786,AB,"PU369 ",2018-12-21
21282326,599215,AC,"PU369 ",2018-12-21
21282327,599065,AC,"PU368 ",2018-12-21
21282328,598267,AC,"PU368 ",2018-12-21
21282329,306338,AD,"PU369 ",2018-12-21
21282330,596385,AC,"PU368 ",2018-12-21
21282331,599031,AC,"PU368 ",2018-12-21
21282332,15743,AA,"PU12D ",2018-12-21
21282333,811767,AB,"PU368 ",2018-12-21
21282334,187687,AG,"PU36W ",2022-03-27
21282335,98183,AI,"PU36W ",2022-03-28
21282336,209804,AA,"A60PM ",2021-12-27
21282337,196190,AA,"A48PM ",2021-12-27
21282338,214676,AA,"A48PM ",2021-12-16
21282339,45677,AA,"C36PM ",2021-11-15
21282340,70360,AA,"A48PM ",2021-11-26
21282341,40723,AI,"PU36W ",2021-12-08
21282342,160321,AG,"PU36W ",2021-12-08
21282343,349605,AA,"PM48G ",2022-01-05
21282344,160787,AA,"PM367 ",2022-01-05
21282345,22034,AF,"PU48W ",2022-01-05
21282346,18163,AA,"48PMA ",2022-01-13
21282347,28724,AA,"PUA12 ",2021-12-30
21282348,95994,AA,"PUA24 ",2022-01-27
21282349,67069,AI,"PU36W ",2022-01-27
21282350,129926,AH,"PU36W ",2022-01-27
21282351,177319,AG,"PU36W ",2022-01-27
21282352,177348,AA,"A60PM ",2022-02-01
21282353,277334,AA,"C48PM ",2022-02-02
21282354,335471,AA,"A60PM ",2022-01-22
21282355,38788,AA,"A48PM ",2022-02-10
21282356,197381,AA,"A60PM ",2021-12-18
21282357,329980,AA,"A60PM ",2021-12-17
21282358,268871,AA,"A60PM ",2021-12-19
21282359,3074,AK,"PU36W ",2021-12-29
21282360,454129,AA,"PM489 ",2022-02-05
21282361,27149,AA,"36PUA ",2022-02-18
21282362,340889,AA,"A60PM ",2022-02-26
21282363,141983,AA,"36PU7 ",2022-03-26
21282364,10495,AA,"A36PM ",2022-03-07
21282365,383523,AA,"A60PM ",2022-03-01
21282366,73141,AA,"PU48A ",2022-03-15
21282367,46744,AA,"36PUA ",2022-03-15
21282368,2833521,AA,"PU12C ",2019-04-04
21282369,2834241,AA,"PU12C ",2019-04-04
21282370,2828031,AA,"PU12C ",2019-04-04
21282371,157440,AH,"PU122 ",2019-04-04
21282372,189130,AG,"PU122 ",2019-04-04
21282373,189404,AG,"PU122 ",2019-04-05
21282374,108358,AA,"PU36W ",2019-04-08
21282375,108359,AA,"PU36W ",2019-04-08
21282376,103394,AI,"PU122 ",2019-04-06
21282377,15692,AK,"PU122 ",2019-04-06
21282378,108889,AA,"PU36W ",2019-04-08
21282379,67249,AF,"PU368 ",2019-03-17
21282380,417928,AA,"PM601 ",2019-04-10
21282381,247659,AA,"PM72P ",2019-02-05
21282382,360337,AA,"PM604 ",2019-02-01
21282383,57289,AA,"PM484 ",2018-12-10
21282384,125090,ED,"PM48E ",2018-12-19
21282385,2687451,AA,"PU12C ",2018-12-19
21282386,2687980,AA,"PU12C ",2018-12-19
21282387,2676101,AA,"PU12C ",2018-12-19
21282388,2697686,AA,"PU12C ",2018-12-19
21282389,16585,AA,"PU36W ",2018-12-19
21282390,16627,AA,"PU36W ",2018-12-19
21282391,108244,AH,"PU122 ",2018-12-19
21282392,108731,AH,"PU122 ",2018-12-19
21282393,47167,AI,"PU122 ",2018-12-19
21282394,58224,AA,"PU36W ",2019-02-12
21282395,59565,AA,"PU36W ",2019-02-12
21282396,58874,AA,"PU36W ",2019-02-12
21282397,2809964,AA,"PU12C ",2019-03-15
21282398,87957,AC,"PU24W ",2019-03-15
21282399,88029,AC,"PU24W ",2019-03-15
21282400,33763,AA,"PU121 ",2019-03-15
21282401,92573,AI,"PU122 ",2019-03-15
21282402,33765,AA,"PU121 ",2019-03-15
21282403,151269,AH,"PU36W ",2022-03-15
21282404,141704,AA,"36PU2 ",2022-03-26
21282405,58776,AA,"36PUB ",2022-03-27
21282406,204756,AA,"C36PU ",2022-02-03
21282407,409327,AA,"PM48O ",2022-03-07
21282408,379454,AA,"PM486 ",2022-03-05
21282409,105278,AA,"PUA24 ",2022-03-06
21282410,40609,AA,"36PUA ",2022-03-07
21282411,41076,AA,"36PUA ",2022-03-07
21282412,146769,AH,"PU36W ",2022-03-07
21282413,1487,AB,"PUB24 ",2022-03-04
21282414,24594,AA,"PUA12 ",2022-03-04
21282415,86071,AI,"PU36W ",2022-03-06
21282416,146341,AH,"PU36W ",2022-03-06
21282417,86396,AI,"PU36W ",2022-03-07
21282418,86387,AI,"PU36W ",2022-03-07
21282419,146601,AH,"PU36W ",2022-03-06
21282420,184852,AG,"PU36W ",2022-03-06
21282421,61807,AA,"36PUA ",2022-03-28
21282422,60538,AA,"36PUA ",2022-03-28
21282423,205062,AA,"A60PM ",2021-12-25
21282424,172175,AA,"A60PM ",2021-12-27
21282425,301202,AA,"A60PM ",2021-12-19
21282426,117280,AH,"PU36W ",2022-01-05
21282427,170689,AG,"PU36W ",2022-01-05
21282428,116967,AH,"PU36W ",2022-01-05
21282429,54226,AI,"PU36W ",2022-01-05
21282430,96024,AA,"PUA24 ",2022-01-27
21282431,321522,AA,"PM488 ",2022-01-27
21282432,6019,AA,"PM60C ",2022-02-01
21282433,335481,AA,"A60PM ",2022-01-22
21282434,271599,AA,"A48PM ",2022-01-23
21282435,78941,AA,"A48PM ",2022-02-10
21282436,308529,AA,"A60PM ",2022-01-25
21282437,236779,AA,"F48PM ",2022-02-13
21282438,17007,AA,"PU36C ",2019-02-25
21282439,490599,AD,"PU368 ",2019-02-24
21282440,34672,AA,"36PU6 ",2019-02-25
21282441,393642,AA,"PM601 ",2019-03-20
21282442,2812043,AA,"PU12C ",2019-03-20
21282443,12535,AK,"PU122 ",2019-03-20
21282444,12537,AK,"PU122 ",2019-03-20
21282445,90929,AA,"PU36W ",2019-03-20
21282446,153328,AA,"PU36H ",2019-03-16
21282447,153339,AA,"PU36H ",2019-03-16
21282448,397299,AD,"PU369 ",2019-04-04
21282449,396887,AD,"PU369 ",2019-04-04
21282450,396935,AD,"PU368 ",2019-04-04
21282451,2834096,AA,"PU12C ",2019-04-04
21282452,2831858,AA,"PU12C ",2019-04-04
21282453,101645,AI,"PU122 ",2019-04-04
21282454,101647,AI,"PU122 ",2019-04-04
21282455,47509,AJ,"PU122 ",2019-04-05
21282456,107468,AA,"PU36W ",2019-04-07
21282457,102843,AI,"PU122 ",2019-04-06
21282458,47690,AJ,"PU122 ",2019-04-06
21282459,42108,AA,"PM363 ",2019-03-06
21282460,61799,AA,"PM485 ",2019-02-01
21282461,46303,AA,"PM24D ",2019-01-28
21282462,318406,AA,"PM48O ",2019-01-20
21282463,598398,AB,"PU36C ",2019-01-29
21282464,73215,AA,"36PU3 ",2018-12-11
21282465,125251,ED,"PM48E ",2018-12-19
21282466,192612,AA,"E48PM ",2021-12-20
21282467,497198,AA,"PM483 ",2021-12-10
21282468,52644,AI,"PU36W ",2021-12-29
21282469,169292,AG,"PU36W ",2021-12-29
21282470,27919,AA,"36PUB ",2022-02-18
21282471,28092,AA,"36PUB ",2022-02-18
21282472,29836,AA,"48PMD ",2023-02-28
21282473,65486,AA,"PMC60 ",2022-11-11
21282474,289843,AA,"A60PM ",2022-03-07
21282475,59269,AA,"C36PM ",2022-03-05
21282476,40662,AA,"36PM5 ",2022-03-26
21282477,25472,AA,"PUC12 ",2022-03-26
21282478,167089,AA,"PM363 ",2022-03-28
21282479,360209,AA,"PM488 ",2022-03-15
21282480,30452,AA,"PP36D ",2022-03-15
21282481,30516,AA,"PP36D ",2022-03-15
21282482,73232,AA,"PU48A ",2022-03-15
21282483,150686,AH,"PU36W ",2022-03-15
21282484,16373,AA,PU002D,2022-03-15
21282485,142275,AA,"36PU3 ",2022-03-27
21282486,56297,AA,"36PUB ",2022-03-26
21282487,272146,AA,"A60PM ",2022-02-21
21282488,271625,AA,"A60PM ",2022-02-21
21282489,382905,AA,"PM488 ",2022-02-01
21282490,1783,AB,"PUA24 ",2022-03-05
21282491,409344,AA,"PM48J ",2022-03-07
21282492,105409,AA,"PUA24 ",2022-03-06
21282493,40879,AA,"36PUA ",2022-03-07
21282494,40945,AA,"36PUA ",2022-03-07
21282495,34907,AJ,"PU36W ",2022-03-07
21282496,85689,AI,"PU36W ",2022-03-06
21282497,34229,AJ,"PU36W ",2022-03-06
21282498,1451,AB,"A48PM ",2022-02-09
21282499,238435,AA,"A48PM ",2022-02-15
21282500,184736,AG,"PU36W ",2022-03-06
21282501,187559,AG,"PU36W ",2022-03-27
21282502,154069,AH,"PU36W ",2022-03-27
21282503,196780,AA,"A48PM ",2021-12-27
21282504,211790,AA,"A60PM ",2021-12-27
21282505,12949,AJ,"PU122 ",2018-12-19
21282506,47226,AI,"PU122 ",2018-12-19
21282507,13119,AJ,"PU122 ",2018-12-19
21282508,2332,AK,"PU122 ",2018-12-19
21282509,165467,AG,"PU122 ",2018-12-19
21282510,58258,AA,"PU36W ",2019-02-12
21282511,58275,AA,"PU36W ",2019-02-12
21282512,59590,AA,"PU36W ",2019-02-12
21282513,50075,AC,"PU24W ",2019-02-12
21282514,50095,AC,"PU24W ",2019-02-12
21282515,26007,AA,"PM484 ",2019-03-15
21282516,376301,AD,"PU368 ",2019-03-15
21282517,110707,AE,"PU367 ",2019-03-15
21282518,111280,AE,"PU369 ",2019-03-15
21282519,2777726,AA,"PU12C ",2019-03-15
21282520,2781986,AA,"PU12C ",2019-03-15
21282521,151176,AE,"PU123 ",2019-03-15
21282522,38564,AJ,"PU122 ",2019-03-15
21282523,302965,AE,"PU368 ",2019-03-15
21282524,179713,AA,"PU36C ",2019-02-21
21282525,279518,AA,"PM48H ",2019-02-20
21282526,396752,AB,"PU36H ",2019-03-10
21282527,41171,AJ,"PU122 ",2019-03-20
21282528,12389,AK,"PU122 ",2019-03-20
21282529,94008,AI,"PU122 ",2019-03-20
21282530,41003,AJ,"PU122 ",2019-03-20
21282531,503628,AD,"PU367 ",2019-03-20
21282532,610634,AB,"PU36C ",2019-03-06
21282533,2803628,AA,"PU12C ",2019-04-04
21282534,2809878,AA,"PU12C ",2019-04-04
21282535,2834972,AA,"PU12C ",2019-04-04
21282536,2828786,AA,"PU12C ",2019-04-04
21282537,2828921,AA,"PU12C ",2019-04-04
21282538,169931,AA,"PUA24 ",2021-11-23
21282539,160083,AG,"PU36W ",2021-12-08
21282540,164604,AA,"A60PM ",2022-01-20
21282541,167195,AA,"E48PM ",2022-01-21
21282542,440608,AA,"PM488 ",2022-01-13
21282543,177391,AG,"PU36W ",2022-01-27
21282544,196189,AF,"PU36W ",2022-01-27
21282545,130177,AH,"PU36W ",2022-01-27
21282546,98248,AA,"PMA48 ",2022-02-01
21282547,96255,AA,"PMA48 ",2022-01-24
21282548,211403,AA,"A48PM ",2022-01-11
21282549,386524,AA,"PUA36 ",2022-01-24
21282550,1731,AA,"36PML ",2022-02-11
21282551,24401,AA,"PP36A ",2022-02-11
21282552,20992,AA,"36PUA ",2022-02-11
21282553,257258,AA,"A60PM ",2022-02-08
21282554,262263,AA,"B60PM ",2022-02-13
21282555,203838,AA,"E48PM ",2022-02-07
21282556,17031,AA,"PMA36 ",2022-03-13
21282557,182936,AD,"PU48W ",2021-12-29
21282558,168950,AG,"PU36W ",2021-12-29
21282559,193734,AF,"PU36W ",2021-12-29
21282560,168808,AG,"PU36W ",2021-12-29
21282561,168795,AG,"PU36W ",2021-12-29
21282562,27694,AA,"36PUA ",2022-02-18
21282563,11866,AA,PU002Q,2022-01-23
21282564,31920,AA,"PP36D ",2022-03-27
21282565,75727,AA,"PU48H ",2022-03-28
21282566,30495,AA,"PP36A ",2022-03-15
21282567,46881,AA,"36PUB ",2022-03-15
21282568,46842,AA,"36PUB ",2022-03-15
21282569,91551,AI,"PU36W ",2022-03-15
21282570,91065,AI,"PU36W ",2022-03-15
21282571,38162,AJ,"PU36W ",2022-03-15
21282572,141891,AA,"36PU1 ",2022-03-26
21282573,142464,AA,"36PU3 ",2022-03-27
21282574,75077,AA,"PU48A ",2022-03-26
21282575,75303,AA,"PU48A ",2022-03-27
21282576,75097,AA,"PU48A ",2022-03-26
21282577,57329,AA,"36PUB ",2022-03-26
21282578,56354,AA,"36PUB ",2022-03-26
21282579,57359,AA,"36PUB ",2022-03-26
21282580,57941,AA,"36PUA ",2022-03-27
21282581,58709,AA,"36PUA ",2022-03-27
21282582,57974,AA,"36PUA ",2022-03-27
21282583,189135,AG,"PU122 ",2019-04-04
21282584,115665,AC,"PU24W ",2019-04-07
21282585,4751,AD,"PU24W ",2019-04-07
21282586,108394,AA,"PU36W ",2019-04-08
21282587,108414,AA,"PU36W ",2019-04-08
21282588,102945,AI,"PU122 ",2019-04-06
21282589,38494,AB,"PM604 ",2019-01-25
21282590,303405,AA,"PM489 ",2019-01-28
21282591,376094,AA,"PM48H ",2019-02-02
21282592,313725,AA,"PM48H ",2019-01-10
21282593,99089,AA,"PM48O ",2018-12-10
21282594,150324,AA,"PM483 ",2018-12-10
21282595,105442,AA,"PUA24 ",2022-03-06
21282596,407826,AA,"PM483 ",2022-03-05
21282597,41730,AA,"A36PM ",2022-02-06
21282598,86454,AI,"PU36W ",2022-03-07
21282599,147258,AH,"PU36W ",2022-03-07
21282600,9197,AK,"PU36W ",2022-03-07
21282601,58851,AA,"36PUA ",2022-03-27
21282602,58853,AA,"36PUA ",2022-03-27
21282603,58036,AA,"36PUA ",2022-03-27
21282604,59033,AA,"36PUA ",2022-03-27
21282605,59054,AA,"36PUA ",2022-03-27
21282606,57115,AA,"36PUA ",2022-03-26
21282607,56706,AA,"36PUA ",2022-03-26
21282608,57353,AA,"36PUA ",2022-03-26
21282609,348322,AA,"PM48O ",2022-01-05
21282610,167240,AA,"A48PM ",2021-11-21
21282611,176207,AD,"PU48W ",2021-12-08
21282612,1702,AK,"PU36W ",2021-12-08
21282613,40247,AI,"PU36W ",2021-12-08
21282614,40644,AI,"PU36W ",2021-12-08
21282615,99802,AH,"PU36W ",2021-12-08
21282616,160391,AG,"PU36W ",2021-12-08
21282617,1742,AK,"PU36W ",2021-12-08
21282618,66647,AI,"PU36W ",2022-01-27
21282619,40528,AA,"PUC48 ",2022-02-06
21282620,193685,AA,"B36PU ",2022-02-05
21282621,395442,AA,"F48PM ",2022-01-16
21282622,21288,AA,"36PUB ",2022-02-11
21282623,21957,AA,"36PUA ",2022-02-11
21282624,58512,AA,"D36PU ",2022-02-11
21282625,401265,AA,"A60PM ",2022-01-20
21282626,168781,AG,"PU36W ",2021-12-29
21282627,193605,AF,"PU36W ",2021-12-29
21282628,136346,AA,"36PU2 ",2022-02-18
21282629,394228,AA,"PM483 ",2022-02-18
21282630,2327,AA,"36PML ",2022-02-18
21282631,2268,AA,"36PML ",2022-02-18
21282632,126412,AA,"A60PM ",2022-03-16
21282633,46719,AB,"A48PM ",2023-08-07
21282634,151285,AA,"A36PM ",2023-08-10
