_CustomObjectKey,ID,HC_SITUACAO__C
69,a0o6g000005YVnKAAW,Finalizado - Fim de plano
70,a0o6g000005YvmFAAS,Finalizado - Fim de plano
71,a0o6g000005YLhIAAW,Finalizado - Fim de plano
72,a0o6g000005YlNLAA0,Finalizado - Fim de plano
73,a0o6g000005YLMFAA4,Finalizado - Fim de plano
74,a0o6g000005YmXeAAK,Finalizado - Fim de plano
75,a0o6g000005YMxJAAW,Finalizado - Fim de plano
76,a0o6g000005XAPUAA4,Finalizado - Fim de plano
77,a0o6g000005XCTGAA4,Finalizado - Fim de plano
78,a0o6g000005YVVyAAO,Finalizado - Fim de plano
79,a0o6g000005YVIxAAO,Finalizado - Fim de plano
80,a0o6g000005YVwbAAG,Ativo
81,a0o6g000005YMyLAAW,Finalizado - Fim de plano
82,a0o6g000005YvYCAA0,Finalizado - Fim de plano
83,a0o6g000005Yl0HAAS,Finalizado - Fim de plano
84,a0o6g000005YlGhAAK,Finalizado - Fim de plano
85,a0o6g000005YvTHAA0,Finalizado - Fim de plano
86,a0o6g000005YLhkAAG,Finalizado - Fim de plano
87,a0o6g000005YvQzAAK,Finalizado - Fim de plano
88,a0o6g000005YvSJAA0,Finalizado - Fim de plano
89,a0o6g000005YVnkAAG,Finalizado - Fim de plano
90,a0o6g000005YLJTAA4,Ativo
91,a0o6g000005YliXAAS,Finalizado - Fim de plano
92,a0o6g000005XANKAA4,Finalizado - Fim de plano
93,a0o6g000005YLnoAAG,Finalizado - Fim de plano
94,a0o6g000005YVTnAAO,Finalizado - Fim de plano
95,a0o6g000005YVyCAAW,Ativo
96,a0o6g000005XcTnAAK,Ativo
97,a0o6g000005Yw04AAC,Ativo
98,a0o6g000005YvXDAA0,Ativo
99,a0o6g000005XaKzAAK,Ativo
100,a0o6g000005YLMjAAO,Finalizado - Fim de plano
101,a0o6g000005YlMLAA0,Finalizado - Fim de plano
102,a0o6g000005YMxKAAW,Finalizado - Fim de plano
103,a0o6g000005YMxEAAW,Finalizado - Fim de plano
104,a0o6g000005YmXhAAK,Ativo
105,a0o6g000005YNASAA4,Finalizado - Fim de plano
106,a0o6g000005a5BBAAY,Finalizado - Fim de plano
107,a0o6g000005a5gkAAA,Finalizado - Fim de plano
108,a0o6g000005a5JaAAI,Finalizado - Fim de plano
109,a0o6g000005a9gqAAA,Finalizado - Fim de plano
110,a0o6g000005a9jEAAQ,Finalizado - Fim de plano
111,a0o6g000005aAPLAA2,Finalizado - Fim de plano
112,a0o6g000005a5BrAAI,Finalizado - Fim de plano
113,a0o6g000005aAO5AAM,Finalizado - Fim de plano
114,a0o6g000005a5DIAAY,Finalizado - Fim de plano
115,a0o6g000005a5dsAAA,Finalizado - Fim de plano
116,a0o6g000005aAQTAA2,Finalizado - Fim de plano
117,a0o6g000005aaRUAAY,Finalizado - Fim de plano
118,a0o6g000005aaOjAAI,Ativo
119,a0o6g000005aJ9rAAE,Ativo
120,a0o6g000005aArSAAU,Finalizado - Fim de plano
121,a0o6g000005aAsyAAE,Finalizado - Fim de plano
122,a0o6g000005aJaZAAU,Ativo
123,a0o6g000005aJHhAAM,Finalizado - Fim de plano
124,a0o6g000005ZWB0AAO,Ativo
125,a0o6g000005aAtdAAE,Ativo
126,a0o6g000005aJauAAE,Finalizado - Fim de plano
127,a0o6g000005aJDyAAM,Ativo
128,a0o6g000005aJE5AAM,Ativo
129,a0o6g000005aJHvAAM,Ativo
130,a0o6g000005aNXaAAM,Finalizado - Fim de plano
131,a0o6g000005aaSzAAI,Finalizado - Fim de plano
132,a0o6g000005ZxFGAA0,Finalizado - Fim de plano
133,a0o6g000005aJfJAAU,Finalizado - Fim de plano
134,a0o6g000005aJduAAE,Ativo
135,a0o6g000005aJGSAA2,Ativo
136,a0o6g000005aAuAAAU,Ativo
137,a0o6g000005aaVLAAY,Ativo
138,a0o6g000005aAWhAAM,Finalizado - Fim de plano
139,a0o6g000005aNZZAA2,Finalizado - Fim de plano
140,a0o6g000005ZxhMAAS,Finalizado - Fim de plano
141,a0o6g000005UpcyAAC,Finalizado - Fim de plano
142,a0o6g000004rAYDAA2,Finalizado - Fim de plano
143,a0o6g000004raXgAAI,Finalizado - Fim de plano
144,a0o6g000004rAXbAAM,Finalizado - Fim de plano
145,a0o6g000004rAYmAAM,Finalizado - Fim de plano
146,a0o6g000005aOzfAAE,Finalizado - Fim de plano
147,a0o6g000005YQrBAAW,Finalizado - Fim de plano
148,a0o6g000005YjYgAAK,Finalizado - Fim de plano
149,a0o6g000005XCSeAAO,Finalizado - Fim de plano
150,a0o6g000005ZVXMAA4,Finalizado - Fim de plano
151,a0o6g000005ZxgaAAC,Finalizado - Fim de plano
152,a0o6g000005a3wYAAQ,Ativo
153,a0o6g000005a8hOAAQ,Finalizado - Fim de plano
154,a0o6g000005a3izAAA,Ativo
155,a0o6g000005a3J0AAI,Finalizado - Fim de plano
156,a0o6g000005a8kFAAQ,Finalizado - Fim de plano
157,a0o6g000005a8mBAAQ,Finalizado - Fim de plano
158,a0o6g000005a3zFAAQ,Finalizado - Fim de plano
159,a0o6g000005a8jxAAA,Finalizado - Fim de plano
160,a0o6g000005a9AwAAI,Ativo
161,a0o6g000005a3moAAA,Finalizado - Fim de plano
162,a0o6g000005a3MuAAI,Finalizado - Fim de plano
163,a0o6g000005a3P4AAI,Finalizado - Fim de plano
164,a0o6g000005a3SgAAI,Finalizado - Fim de plano
165,a0o6g000005a3sdAAA,Ativo
166,a0o6g000005a8mtAAA,Finalizado - Fim de plano
167,a0o6g000005a5yiAAA,Finalizado - Fim de plano
168,a0o6g000005a9gVAAQ,Finalizado - Fim de plano
169,a0o6g000005YQVvAAO,Finalizado - Fim de plano
170,a0o6g000005YQvvAAG,Finalizado - Fim de plano
171,a0o6g000005ZvXMAA0,Finalizado - Fim de plano
172,a0o6g000005ZW0pAAG,Ativo
173,a0o6g000005ZsCPAA0,Finalizado - Fim de plano
174,a0o6g000005ZSdoAAG,Finalizado - Fim de plano
175,a0o6g000005a8gqAAA,Finalizado - Fim de plano
176,a0o6g000005ZxCLAA0,Finalizado - Fim de plano
177,a0o6g000005ZW9nAAG,Ativo
178,a0o6g000005ZvyMAAS,Finalizado - Fim de plano
179,a0o6g000005a8GvAAI,Finalizado - Fim de plano
180,a0o6g000005a8HhAAI,Finalizado - Fim de plano
181,a0o6g000005a8HjAAI,Finalizado - Fim de plano
182,a0o6g000005a8KnAAI,Finalizado - Fim de plano
183,a0o6g000005ZxDmAAK,Finalizado - Fim de plano
184,a0o6g000005a8iuAAA,Finalizado - Fim de plano
185,a0o6g000005a8JUAAY,Finalizado - Fim de plano
186,a0o6g000005a3JdAAI,Ativo
187,a0o6g000005a3MCAAY,Finalizado - Fim de plano
188,a0o6g000005a8k1AAA,Finalizado - Fim de plano
189,a0o6g000005a41NAAQ,Finalizado - Fim de plano
190,a0o6g000005a8joAAA,Finalizado - Fim de plano
191,a0o6g000005a8KCAAY,Finalizado - Fim de plano
192,a0o6g000005a44eAAA,Finalizado - Fim de plano
193,a0o6g000005a8kJAAQ,Finalizado - Fim de plano
194,a0o6g000005a8meAAA,Finalizado - Fim de plano
195,a0o6g000005a9beAAA,Finalizado - Fim de plano
196,a0o6g000005a9BkAAI,Finalizado - Fim de plano
197,a0o6g000005a3X4AAI,Finalizado - Fim de plano
198,a0o6g000005a9DGAAY,Ativo
199,a0o6g000005a8MmAAI,Finalizado - Fim de plano
200,a0o6g000005a3SfAAI,Ativo
201,a0o6g000005a41pAAA,Ativo
202,a0o6g000005a9mAAAQ,Finalizado - Fim de plano
203,a0o6g000005a5gMAAQ,Finalizado - Fim de plano
204,a0o6g000005a9mjAAA,Finalizado - Fim de plano
205,a0o6g000005a5b6AAA,Finalizado - Fim de plano
206,a0o6g000005a5BmAAI,Finalizado - Fim de plano
207,a0o6g000004s3DjAAI,Finalizado - Fim de plano
208,a0o6g000004rydLAAQ,Finalizado - Fim de plano
209,a0o6g000004s3IoAAI,Finalizado - Fim de plano
210,a0o6g000004s3EuAAI,Finalizado - Fim de plano
211,a0o6g000004s3HaAAI,Finalizado - Fim de plano
212,a0o6g000004ryGwAAI,Finalizado - Fim de plano
213,a0o6g000004rYEjAAM,Finalizado - Fim de plano
214,a0o6g000004raUYAAY,Finalizado - Fim de plano
215,a0o6g000004qBTaAAM,Finalizado - Fim de plano
216,a0o6g000004qBVSAA2,Finalizado - Fim de plano
217,a0o6g000004s5YcAAI,Finalizado - Fim de plano
218,a0o6g000005aQY6AAM,Finalizado - Fim de plano
219,a0o6g000005aQxNAAU,Finalizado - Fim de plano
220,a0o6g000005aSiHAAU,Finalizado - Fim de plano
221,a0o6g000004raRAAAY,Finalizado - Fim de plano
222,a0o6g000005aSLRAA2,Finalizado - Fim de plano
223,a0o6g000005aSN1AAM,Finalizado - Fim de plano
224,a0o6g000005aSkPAAU,Ativo
225,a0o6g000004pjaWAAQ,Ativo
226,a0o6g000004pXhyAAE,Finalizado - Fim de plano
227,a0o6g000004pxIoAAI,Finalizado - Fim de plano
228,a0o6g000004pxlaAAA,Finalizado - Fim de plano
229,a0o6g000004pXSVAA2,Finalizado - Fim de plano
230,a0o6g000004psTUAAY,Finalizado - Cancelado
231,a0o6g000004pJgdAAE,Finalizado - Fim de plano
232,a0o6g000005ZQ9GAAW,Finalizado - Fim de plano
233,a0o6g000005YlHJAA0,Finalizado - Fim de plano
234,a0o6g000005YvtiAAC,Ativo
235,a0o6g000005YvTOAA0,Finalizado - Fim de plano
236,a0o6g000005YvtpAAC,Ativo
237,a0o6g000005YvnhAAC,Finalizado - Fim de plano
238,a0o6g000005YlnMAAS,Finalizado - Fim de plano
239,a0o6g000005YlNmAAK,Finalizado - Fim de plano
240,a0o6g000005YvseAAC,Ativo
241,a0o6g000005XAPWAA4,Finalizado - Fim de plano
242,a0o6g000005YvTiAAK,Finalizado - Fim de plano
243,a0o6g000005YLIxAAO,Ativo
244,a0o6g000005Yn5ZAAS,Finalizado - Fim de plano
245,a0o6g000005Yn9uAAC,Ativo
246,a0o6g000005Yw0dAAC,Finalizado - Fim de plano
247,a0o6g000005YLntAAG,Finalizado - Fim de plano
248,a0o6g000005XanJAAS,Ativo
249,a0o6g000005XAq3AAG,Em processo de finalização
250,a0o6g000005YMxFAAW,Finalizado - Fim de plano
251,a0o6g000005YN37AAG,Finalizado - Fim de plano
252,a0o6g000005ZQc6AAG,Finalizado - Fim de plano
253,a0o6g000005YlHIAA0,Finalizado - Fim de plano
254,a0o6g000005YvsaAAC,Ativo
255,a0o6g000005YlFeAAK,Finalizado - Fim de plano
256,a0o6g000005YVtlAAG,Ativo
257,a0o6g000005YlnoAAC,Finalizado - Fim de plano
258,a0o6g000005YLjTAAW,Finalizado - Fim de plano
259,a0o6g000005YLq1AAG,Finalizado - Fim de plano
260,a0o6g000005YLpWAAW,Finalizado - Fim de plano
261,a0o6g000005YlmaAAC,Finalizado - Fim de plano
262,a0o6g000005YLPUAA4,Ativo
263,a0o6g000005YlDYAA0,Finalizado - Fim de plano
264,a0o6g000005YLKaAAO,Finalizado - Fim de plano
265,a0o6g000005XANOAA4,Finalizado - Fim de plano
266,a0o6g000005YLMIAA4,Finalizado - Fim de plano
267,a0o6g000005YLPvAAO,Ativo
268,a0o6g000005YLdvAAG,Ativo
269,a0o6g000005YW07AAG,Finalizado - Fim de plano
270,a0o6g000005YvW6AAK,Ativo
271,a0o6g000005YVZzAAO,Finalizado - Fim de plano
272,a0o6g000005YN9RAAW,Finalizado - Fim de plano
273,a0o6g000005YVxbAAG,Ativo
274,a0o6g000005YlKbAAK,Ativo
275,a0o6g000005YVhqAAG,Ativo
276,a0o6g000005XAnOAAW,Finalizado - Fim de plano
277,a0o6g000005YN5SAAW,Finalizado - Fim de plano
278,a0o6g000005YLnUAAW,Finalizado - Fim de plano
279,a0o6g000005YLnvAAG,Finalizado - Fim de plano
280,a0o6g000005YMXKAA4,Ativo
281,a0o6g000005XCTgAAO,Finalizado - Fim de plano
282,a0o6g000005YmXjAAK,Ativo
283,a0o6g000005YmXlAAK,Finalizado - Fim de plano
284,a0o6g000005YN34AAG,Finalizado - Fim de plano
285,a0o6g000005XCGLAA4,Ativo
286,a0o6g000005YN68AAG,Ativo
287,a0o6g000005XcsFAAS,Ativo
288,a0o6g000005YNQ3AAO,Finalizado - Fim de plano
289,a0o6g000005a44hAAA,Finalizado - Fim de plano
290,a0o6g000005a9giAAA,Finalizado - Fim de plano
291,a0o6g000005a9GxAAI,Ativo
292,a0o6g000005a7bVAAQ,Ativo
293,a0o6g000005aapIAAQ,Ativo
294,a0o6g000005a5bqAAA,Finalizado - Fim de plano
295,a0o6g000005aapgAAA,Ativo
296,a0o6g000005aaO3AAI,Finalizado - Fim de plano
297,a0o6g000005aaqqAAA,Ativo
298,a0o6g000005aaRNAAY,Ativo
299,a0o6g000005aAs5AAE,Ativo
300,a0o6g000005a5LzAAI,Finalizado - Fim de plano
301,a0o6g000005a5MHAAY,Finalizado - Fim de plano
302,a0o6g000005a5diAAA,Finalizado - Fim de plano
303,a0o6g000005a5D5AAI,Finalizado - Fim de plano
304,a0o6g000005a5dKAAQ,Finalizado - Fim de plano
305,a0o6g000005aartAAA,Finalizado - Fim de plano
306,a0o6g000005aaRzAAI,Ativo
307,a0o6g000005aAVqAAM,Finalizado - Fim de plano
308,a0o6g000005aAVsAAM,Finalizado - Fim de plano
309,a0o6g000005aaQTAAY,Ativo
310,a0o6g000005aAT5AAM,Finalizado - Fim de plano
311,a0o6g000005aJgjAAE,Finalizado - Fim de plano
312,a0o6g000005aJGrAAM,Ativo
313,a0o6g000005aJhGAAU,Finalizado - Fim de plano
314,a0o6g000005ZxGGAA0,Finalizado - Fim de plano
315,a0o6g000005ZwaYAAS,Ativo
316,a0o6g000005ZxdUAAS,Finalizado - Fim de plano
317,a0o6g000005aJhpAAE,Finalizado - Fim de plano
318,a0o6g000005ZxjvAAC,Finalizado - Fim de plano
319,a0o6g000005ZXmPAAW,Ativo
320,a0o6g000005ZxmrAAC,Finalizado - Fim de plano
321,a0o6g000005ZxHgAAK,Finalizado - Fim de plano
322,a0o6g000005ZXKAAA4,Ativo
323,a0o6g000005aJfCAAU,Finalizado - Fim de plano
324,a0o6g000005aJGBAA2,Finalizado - Fim de plano
325,a0o6g000005aAuKAAU,Finalizado - Fim de plano
326,a0o6g000005YQXAAA4,Finalizado - Fim de plano
327,a0o6g000005YqXaAAK,Ativo
328,a0o6g000005XCSHAA4,Finalizado - Fim de plano
329,a0o6g000005ZVxJAAW,Finalizado - Fim de plano
330,a0o6g000005ZVxKAAW,Finalizado - Fim de plano
331,a0o6g000005Zw5ZAAS,Ativo
332,a0o6g000005ZsciAAC,Finalizado - Fim de plano
333,a0o6g000005a8JAAAY,Finalizado - Fim de plano
334,a0o6g000005ZvYnAAK,Finalizado - Fim de plano
335,a0o6g000005Zw2ZAAS,Ativo
336,a0o6g000005a8gXAAQ,Finalizado - Fim de plano
337,a0o6g000005a8jZAAQ,Finalizado - Fim de plano
338,a0o6g000005a8hYAAQ,Finalizado - Fim de plano
339,a0o6g000005a3sDAAQ,Ativo
340,a0o6g000005a44vAAA,Finalizado - Fim de plano
341,a0o6g000005YlIzAAK,Ativo
342,a0o6g000005YlJ0AAK,Ativo
343,a0o6g000005XaRDAA0,Ativo
344,a0o6g000005Yn3GAAS,Finalizado - Fim de plano
345,a0o6g000005Yn0uAAC,Finalizado - Fim de plano
346,a0o6g000005YN31AAG,Finalizado - Fim de plano
347,a0o6g000005Yn5xAAC,Ativo
348,a0o6g000005XcKaAAK,Ativo
349,a0o6g000005YN9TAAW,Finalizado - Fim de plano
350,a0o6g000005a44KAAQ,Finalizado - Fim de plano
351,a0o6g000005a5bCAAQ,Finalizado - Fim de plano
352,a0o6g000005a9isAAA,Finalizado - Fim de plano
353,a0o6g000005a9JeAAI,Ativo
354,a0o6g000005aaO1AAI,Ativo
355,a0o6g000005a7H0AAI,Finalizado - Fim de plano
356,a0o6g000005aAsuAAE,Finalizado - Fim de plano
357,a0o6g000005a5MGAAY,Finalizado - Fim de plano
358,a0o6g000005a5G2AAI,Finalizado - Fim de plano
359,a0o6g000005a5DyAAI,Finalizado - Fim de plano
360,a0o6g000005aATfAAM,Finalizado - Fim de plano
361,a0o6g000005aAVHAA2,Finalizado - Fim de plano
362,a0o6g000005a7BXAAY,Finalizado - Fim de plano
363,a0o6g000005a7EDAAY,Finalizado - Fim de plano
364,a0o6g000005aAqpAAE,Finalizado - Fim de plano
365,a0o6g000005a7BYAAY,Finalizado - Fim de plano
366,a0o6g000005aAQQAA2,Finalizado - Fim de plano
367,a0o6g000005a7erAAA,Ativo
368,a0o6g000005aJa0AAE,Finalizado - Fim de plano
369,a0o6g000005aJAvAAM,Finalizado - Fim de plano
370,a0o6g000005aarZAAQ,Ativo
371,a0o6g000005aAS7AAM,Finalizado - Fim de plano
372,a0o6g000005ZXcJAAW,Finalizado - Fim de plano
373,a0o6g000005aJaTAAU,Ativo
374,a0o6g000005ZxjwAAC,Finalizado - Fim de plano
375,a0o6g000005aJbDAAU,Ativo
376,a0o6g000005aAVcAAM,Finalizado - Fim de plano
377,a0o6g000005aaU6AAI,Finalizado - Fim de plano
378,a0o6g000005UpzBAAS,Finalizado - Fim de plano
379,a0o6g000005UPy0AAG,Finalizado - Fim de plano
380,a0o6g000004rAxiAAE,Finalizado - Fim de plano
381,a0o6g000005Upd1AAC,Finalizado - Fim de plano
382,a0o6g000004rKBCAA2,Ativo
383,a0o6g000004rKDvAAM,Ativo
384,a0o6g000004rkXBAAY,Finalizado - Fim de plano
385,a0o6g000004rKycAAE,Finalizado - Fim de plano
386,a0o6g000004rkX6AAI,Finalizado - Fim de plano
387,a0o6g000004rkxaAAA,Finalizado - Fim de plano
388,a0o6g000004rkyFAAQ,Finalizado - Fim de plano
389,a0o6g000005Wj0oAAC,Finalizado - Fim de plano
390,a0o6g000005VQ1IAAW,Finalizado - Fim de plano
391,a0o6g000005VRroAAG,Ativo
392,a0o6g000005VRQHAA4,Finalizado - Fim de plano
393,a0o6g000005VrqHAAS,Ativo
394,a0o6g000005VsSvAAK,Finalizado - Fim de plano
395,a0o6g000005YNOzAAO,Ativo
396,a0o6g000005YNOXAA4,Ativo
397,a0o6g000005VsvGAAS,Finalizado - Fim de plano
398,a0o6g000005YmMNAA0,Ativo
399,a0o6g000005VST0AAO,Finalizado - Fim de plano
400,a0o6g000005VsviAAC,Finalizado - Fim de plano
401,a0o6g000005VsWLAA0,Ativo
402,a0o6g000005VSUcAAO,Finalizado - Fim de plano
403,a0o6g000005VSYZAA4,Finalizado - Fim de plano
404,a0o6g000005Vt75AAC,Ativo
405,a0o6g000005Vt88AAC,Ativo
406,a0o6g000005VT6MAAW,Finalizado - Fim de plano
407,a0o6g000005VtahAAC,Ativo
408,a0o6g000005VtYwAAK,Ativo
409,a0o6g000005aM1pAAE,Finalizado - Fim de plano
410,a0o6g00000HBJxZAAX,Finalizado - Fim de plano
411,a0o6g000004pXXIAA2,Finalizado - Fim de plano
412,a0o6g000004pxcKAAQ,Finalizado - Fim de plano
413,a0o6g000004pXxMAAU,Finalizado - Fim de plano
414,a0o6g000004pxDYAAY,Finalizado - Fim de plano
415,a0o6g000004q0BWAAY,Finalizado - Fim de plano
416,a0o6g000004q0C2AAI,Finalizado - Fim de plano
417,a0o6g000004q2y4AAA,Finalizado - Fim de plano
418,a0o6g000004q0G2AAI,Finalizado - Fim de plano
419,a0o6g000005UtjRAAS,Finalizado - Fim de plano
420,a0o6g000005UTRNAA4,Finalizado - Fim de plano
421,a0o6g000005UTQgAAO,Finalizado - Fim de plano
422,a0o6g000005UTQEAA4,Finalizado - Fim de plano
423,a0o6g000003uB1kAAE,Ativo
424,a0o6g00000IDYWhAAP,Ativo
425,a0o6g000003ucDvAAI,Ativo
426,a0o6g000003ucKmAAI,Ativo
427,a0o6g000003ucQaAAI,Ativo
428,a0o6g000004p3OMAAY,Finalizado - Antecipado total
429,a0o6g000005Vn9FAAS,Finalizado - Fim de plano
430,a0o6g000004qr2lAAA,Finalizado - Fim de plano
431,a0o6g000004qR4GAAU,Ativo
432,a0o6g000004qR2uAAE,Finalizado - Fim de plano
433,a0o6g000005VNiqAAG,Finalizado - Fim de plano
434,a0o6g000005UA6gAAG,Finalizado - Fim de plano
435,a0o6g000005UAasAAG,Finalizado - Fim de plano
436,a0o6g000005Vf9VAAS,Ativo
437,a0o6g000005VVqoAAG,Ativo
438,a0o6g000005VommAAC,Finalizado - Fim de plano
439,a0o6g000005VohIAAS,Finalizado - Fim de plano
440,a0o6g000005VFLRAA4,Finalizado - Fim de plano
441,a0o6g000005VokZAAS,Finalizado - Fim de plano
442,a0o6g000005WjQiAAK,Finalizado - Fim de plano
443,a0o6g000005WjRvAAK,Finalizado - Fim de plano
444,a0o6g000005WjT1AAK,Ativo
445,a0o6g000005VfO5AAK,Finalizado - Fim de plano
446,a0o6g000005VfOaAAK,Finalizado - Fim de plano
447,a0o6g000005VoSnAAK,Finalizado - Fim de plano
448,a0o6g000005VQasAAG,Finalizado - Fim de plano
449,a0o6g000005WJxoAAG,Ativo
450,a0o6g000005WJxPAAW,Ativo
451,a0o6g000005VQB0AAO,Ativo
452,a0o6g000005WjiRAAS,Finalizado - Fim de plano
453,a0o6g000005VSX8AAO,Finalizado - Fim de plano
454,a0o6g000005Vj8AAAS,Finalizado - Fim de plano
455,a0o6g000005VjAhAAK,Finalizado - Fim de plano
456,a0o6g000005VjDcAAK,Ativo
457,a0o6g000005VSXbAAO,Finalizado - Fim de plano
458,a0o6g000005YUmFAAW,Ativo
459,a0o6g000005YUhhAAG,Ativo
460,a0o6g000005YulAAAS,Ativo
461,a0o6g000005Vt8ZAAS,Ativo
462,a0o6g000005Vt9cAAC,Ativo
463,a0o6g000005VtOnAAK,Finalizado - Fim de plano
464,a0o6g000005VVSUAA4,Finalizado - Fim de plano
465,a0o6g000004s4jjAAA,Finalizado - Fim de plano
466,a0o6g000004q2xJAAQ,Ativo
467,a0o6g000004q2WCAAY,Finalizado - Fim de plano
468,a0o6g000004q0fLAAQ,Finalizado - Fim de plano
469,a0o6g000004q2xvAAA,Finalizado - Fim de plano
470,a0o6g000004q2Y1AAI,Finalizado - Fim de plano
471,a0o6g000004q0FlAAI,Ativo
472,a0o6g000005WdSFAA0,Ativo
473,a0o6g000005WDsIAAW,Finalizado - Fim de plano
474,a0o6g000005WDVTAA4,Ativo
475,a0o6g000005WdX3AAK,Finalizado - Fim de plano
476,a0o6g000004q2Y7AAI,Finalizado - Fim de plano
477,a0o6g000004q2dBAAQ,Ativo
478,a0o6g000005TwUmAAK,Finalizado - Fim de plano
479,a0o6g000004q2bLAAQ,Ativo
480,a0o6g000005WdtiAAC,Ativo
481,a0o6g000005WEdmAAG,Finalizado - Fim de plano
482,a0o6g000005WdTPAA0,Ativo
483,a0o6g000005WDyhAAG,Ativo
484,a0o6g000004p40dAAA,Finalizado - Fim de plano
485,a0o6g000004p47BAAQ,Finalizado - Fim de plano
486,a0o6g000004p40lAAA,Finalizado - Fim de plano
487,a0o6g000004p411AAA,Finalizado - Fim de plano
488,a0o6g000004rcuSAAQ,Finalizado - Fim de plano
489,a0o6g000004p5qRAAQ,Finalizado - Antecipado total
490,a0o6g000004p45mAAA,Finalizado - Fim de plano
491,a0o6g000004p460AAA,Finalizado - Fim de plano
492,a0o6g000004rCznAAE,Finalizado - Fim de plano
493,a0o6g000004rCzuAAE,Finalizado - Fim de plano
494,a0o6g000004rHLxAAM,Finalizado - Fim de plano
495,a0o6g000004p5ohAAA,Ativo
496,a0o6g000004p5oYAAQ,Ativo
497,a0o6g000005VvovAAC,Finalizado - Fim de plano
498,a0o6g000005VvoSAAS,Finalizado - Fim de plano
499,a0o6g000005VVuRAAW,Finalizado - Fim de plano
