_CustomObjectKey,id,HC_Codigo_de_Retorno_de_Erro__c,Descricao_do_Retorno_de_Erro__c
33,a0V6g0000062thmEAA,AN,Conta Corrente/DV do Favorecido Inválido
34,a0V6g0000062tjmEAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
35,a0V6g0000062tjnEAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
36,a0V6g0000062tjOEAQ,AN,Conta Corrente/DV do Favorecido Inválido
37,a0V6g0000062tjXEAQ,AG,Agência/Conta Corrente/DV Inválido
38,a0V6g0000062tjYEAQ,AG,Agência/Conta Corrente/DV Inválido
39,a0V6g0000062TmfEAE,AG,Agência/Conta Corrente/DV Inválido
40,a0V6g0000062TmgEAE,AG,Agência/Conta Corrente/DV Inválido
41,a0V6g0000062TmREAU,02,Crédito ou Débito Cancelado pelo Pagador/Credor
42,a0V6g0000062TmvEAE,AN,Conta Corrente/DV do Favorecido Inválido
43,a0V6g0000062TmwEAE,AN,Conta Corrente/DV do Favorecido Inválido
44,a0V6g0000062TnDEAU,AN,Conta Corrente/DV do Favorecido Inválido
45,a0V6g0000062TnEEAU,AT,Tipo/Número de Inscrição do Favorecido Inválido
46,a0V6g0000062TnFEAU,AN,Conta Corrente/DV do Favorecido Inválido
47,a0V6g0000062TnTEAU,AC,Tipo de Serviço Inválido
48,a0V6g0000062TnUEAU,AC,Tipo de Serviço Inválido
49,a0V6g0000062TnVEAU,AC,Tipo de Serviço Inválido
50,a0V6g0000062UxTEAU,AN,Conta Corrente/DV do Favorecido Inválido
51,a0V6g0000062uYCEAY,AN,Conta Corrente/DV do Favorecido Inválido
52,a0V6g0000062v13EAA,AN,Conta Corrente/DV do Favorecido Inválido
53,a0V6g0000062weqEAA,AG,Agência/Conta Corrente/DV Inválido
54,a0V6g0000062WFdEAM,AL,Código do Banco Favorecido ou Depositário Inválido
55,a0V6g0000062WFeEAM,AL,Código do Banco Favorecido ou Depositário Inválido
56,a0V6g0000062WFfEAM,AL,Código do Banco Favorecido ou Depositário Inválido
57,a0V6g0000062WFgEAM,AN,Conta Corrente/DV do Favorecido Inválido
58,a0V6g0000062wfTEAQ,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
59,a0V6g0000062wgKEAQ,AL,Código do Banco Favorecido ou Depositário Inválido
60,a0V6g0000062wGOEAY,AN,Conta Corrente/DV do Favorecido Inválido
61,a0V6g0000062wGPEAY,AN,Conta Corrente/DV do Favorecido Inválido
62,a0V6g0000062wGQEAY,AN,Conta Corrente/DV do Favorecido Inválido
63,a0V6g0000062Wh9EAE,AN,Conta Corrente/DV do Favorecido Inválido
64,a0V6g0000062wHwEAI,AG,Agência/Conta Corrente/DV Inválido
65,a0V6g0000062wHxEAI,AG,Agência/Conta Corrente/DV Inválido
66,a0V6g0000062wIGEAY,AT,Tipo/Número de Inscrição do Favorecido Inválido
67,a0V6g0000062xmNEAQ,AG,Agência/Conta Corrente/DV Inválido
68,a0V6g0000062xmoEAA,AN,Conta Corrente/DV do Favorecido Inválido
69,a0V6g0000062xn2EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
70,a0V6g0000062xn3EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
71,a0V6g0000062xn4EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
72,a0V6g0000062xNaEAI,AG,Agência/Conta Corrente/DV Inválido
73,a0V6g0000062xNLEAY,AG,Agência/Conta Corrente/DV Inválido
74,a0V6g0000062xNMEAY,AG,Agência/Conta Corrente/DV Inválido
75,a0V6g0000062xpREAQ,AG,Agência/Conta Corrente/DV Inválido
76,a0V6g0000062xqjEAA,AC,Tipo de Serviço Inválido
77,a0V6g0000062xqkEAA,AC,Tipo de Serviço Inválido
78,a0V6g0000062xr8EAA,AG,Agência/Conta Corrente/DV Inválido
79,a0V6g0000062xr9EAA,AG,Agência/Conta Corrente/DV Inválido
80,a0V6g0000062xrhEAA,AC,Tipo de Serviço Inválido
81,a0V6g0000062xrIEAQ,AG,Agência/Conta Corrente/DV Inválido
82,a0V6g0000062yqlEAA,AG,Agência/Conta Corrente/DV Inválido
83,a0V6g0000062yqNEAQ,AN,Conta Corrente/DV do Favorecido Inválido
84,a0V6g0000062yqOEAQ,AN,Conta Corrente/DV do Favorecido Inválido
85,a0V6g0000062Yr5EAE,AL,Código do Banco Favorecido ou Depositário Inválido
86,a0V6g0000062ysPEAQ,AN,Conta Corrente/DV do Favorecido Inválido
87,a0V6g0000062YsrEAE,AN,Conta Corrente/DV do Favorecido Inválido
88,a0V6g0000062ytCEAQ,AC,Tipo de Serviço Inválido
89,a0V6g0000062ytDEAQ,AC,Tipo de Serviço Inválido
90,a0V6g0000063en2EAA,AN,Conta Corrente/DV do Favorecido Inválido
91,a0V6g0000063en3EAA,AN,Conta Corrente/DV do Favorecido Inválido
92,a0V6g0000063en4EAA,AG,Agência/Conta Corrente/DV Inválido
93,a0V6g0000063ikDEAQ,AN,Conta Corrente/DV do Favorecido Inválido
94,a0V6g0000063ikEEAQ,AN,Conta Corrente/DV do Favorecido Inválido
95,a0V6g0000063ikFEAQ,AN,Conta Corrente/DV do Favorecido Inválido
96,a0V6g0000063ikGEAQ,AN,Conta Corrente/DV do Favorecido Inválido
97,a0V6g0000063ikkEAA,AG,Agência/Conta Corrente/DV Inválido
98,a0V6g0000063iklEAA,AG,Agência/Conta Corrente/DV Inválido
99,a0V6g0000063ikTEAQ,AN,Conta Corrente/DV do Favorecido Inválido
100,a0V6g0000063ikUEAQ,AN,Conta Corrente/DV do Favorecido Inválido
101,a0V6g0000063ikVEAQ,AN,Conta Corrente/DV do Favorecido Inválido
102,a0V6g0000063ikWEAQ,AN,Conta Corrente/DV do Favorecido Inválido
103,a0V6g0000063ikXEAQ,AN,Conta Corrente/DV do Favorecido Inválido
104,a0V6g0000063jdaEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
105,a0V6g0000063jdbEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
106,a0V6g0000063jdcEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
107,a0V6g0000063jddEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
108,a0V6g0000063jtgEAA,AN,Conta Corrente/DV do Favorecido Inválido
109,a0V6g0000063jttEAA,AN,Conta Corrente/DV do Favorecido Inválido
110,a0V6g0000063kdCEAQ,AN,Conta Corrente/DV do Favorecido Inválido
111,a0V6g0000063kdDEAQ,AN,Conta Corrente/DV do Favorecido Inválido
112,a0V6g0000063kdEEAQ,AN,Conta Corrente/DV do Favorecido Inválido
113,a0V6g0000063kdFEAQ,AN,Conta Corrente/DV do Favorecido Inválido
114,a0V6g0000063kdjEAA,AN,Conta Corrente/DV do Favorecido Inválido
115,a0V6g0000063kdkEAA,AN,Conta Corrente/DV do Favorecido Inválido
116,a0V6g0000063kdlEAA,AN,Conta Corrente/DV do Favorecido Inválido
117,a0V6g0000063kdmEAA,AG,Agência/Conta Corrente/DV Inválido
118,a0V6g0000063kdSEAQ,AN,Conta Corrente/DV do Favorecido Inválido
119,a0V6g0000063kdTEAQ,AN,Conta Corrente/DV do Favorecido Inválido
120,a0V6g0000063kdUEAQ,AN,Conta Corrente/DV do Favorecido Inválido
121,a0V6g0000063kdVEAQ,AN,Conta Corrente/DV do Favorecido Inválido
122,a0V6g0000063kdWEAQ,AN,Conta Corrente/DV do Favorecido Inválido
123,a0V6g0000063kNcEAI,AN,Conta Corrente/DV do Favorecido Inválido
124,a0V6g0000063kNdEAI,AN,Conta Corrente/DV do Favorecido Inválido
125,a0V6g0000063kNeEAI,AN,Conta Corrente/DV do Favorecido Inválido
126,a0V6g0000063kNfEAI,AN,Conta Corrente/DV do Favorecido Inválido
127,a0V6g0000063kNtEAI,AG,Agência/Conta Corrente/DV Inválido
128,a0V6g0000063kNuEAI,AG,Agência/Conta Corrente/DV Inválido
129,a0V6g0000063kNvEAI,AG,Agência/Conta Corrente/DV Inválido
130,a0V6g0000063kNwEAI,AC,Tipo de Serviço Inválido
131,a0V6g0000063kOhEAI,AN,Conta Corrente/DV do Favorecido Inválido
132,a0V6g0000063kOiEAI,AN,Conta Corrente/DV do Favorecido Inválido
133,a0V6g0000063kOjEAI,AN,Conta Corrente/DV do Favorecido Inválido
134,a0V6g0000063kOkEAI,AN,Conta Corrente/DV do Favorecido Inválido
135,a0V6g0000063kOQEAY,AN,Conta Corrente/DV do Favorecido Inválido
136,a0V6g000007O6VVEA0,AN,Conta Corrente/DV do Favorecido Inválido
137,a0V6g000007O6VWEA0,AN,Conta Corrente/DV do Favorecido Inválido
138,a0V6g0000062mHYEAY,AG,Agência/Conta Corrente/DV Inválido
139,a0V6g0000062mkJEAQ,AC,Tipo de Serviço Inválido
140,a0V6g0000062oulEAA,AN,Conta Corrente/DV do Favorecido Inválido
141,a0V6g0000062ounEAA,AN,Conta Corrente/DV do Favorecido Inválido
142,a0V6g0000062oupEAA,AN,Conta Corrente/DV do Favorecido Inválido
143,a0V6g0000062ovNEAQ,AG,Agência/Conta Corrente/DV Inválido
144,a0V6g0000062ow9EAA,AN,Conta Corrente/DV do Favorecido Inválido
145,a0V6g0000062oXfEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
146,a0V6g0000062oXhEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
147,a0V6g0000062oxoEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
148,a0V6g0000062oxTEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
149,a0V6g0000062oy7EAA,AC,Tipo de Serviço Inválido
150,a0V6g0000062p2CEAQ,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
151,a0V6g0000062p3BEAQ,AG,Agência/Conta Corrente/DV Inválido
152,a0V6g0000062qY4EAI,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
153,a0V6g0000062QyvEAE,02,Crédito ou Débito Cancelado pelo Pagador/Credor
154,a0V6g0000062QyxEAE,02,Crédito ou Débito Cancelado pelo Pagador/Credor
155,a0V6g0000062qzMEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
156,a0V6g0000062qZtEAI,AN,Conta Corrente/DV do Favorecido Inválido
157,a0V6g0000062r6BEAQ,AG,Agência/Conta Corrente/DV Inválido
158,a0V6g0000062ra4EAA,AN,Conta Corrente/DV do Favorecido Inválido
159,a0V6g0000062rabEAA,AN,Conta Corrente/DV do Favorecido Inválido
160,a0V6g0000062rAtEAI,AG,Agência/Conta Corrente/DV Inválido
161,a0V6g0000062rbDEAQ,AG,Agência/Conta Corrente/DV Inválido
162,a0V6g0000062rBnEAI,AN,Conta Corrente/DV do Favorecido Inválido
163,a0V6g0000062rBUEAY,AN,Conta Corrente/DV do Favorecido Inválido
164,a0V6g0000062tGjEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
165,a0V6g0000062tgsEAA,AN,Conta Corrente/DV do Favorecido Inválido
166,a0V6g0000062tGUEAY,AG,Agência/Conta Corrente/DV Inválido
167,a0V6g0000062tI2EAI,AN,Conta Corrente/DV do Favorecido Inválido
168,a0V6g0000062tIlEAI,AC,Tipo de Serviço Inválido
169,a0V6g0000062tJ5EAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
170,a0V6g0000062tjaEAA,AG,Agência/Conta Corrente/DV Inválido
171,a0V6g0000062tjcEAA,AG,Agência/Conta Corrente/DV Inválido
172,a0V6g0000062tJfEAI,AC,Tipo de Serviço Inválido
173,a0V6g0000062tjjEAA,AG,Agência/Conta Corrente/DV Inválido
174,a0V6g0000062tjlEAA,AG,Agência/Conta Corrente/DV Inválido
175,a0V6g0000062tkpEAA,AG,Agência/Conta Corrente/DV Inválido
176,a0V6g0000062tkYEAQ,AN,Conta Corrente/DV do Favorecido Inválido
177,a0V6g0000062tl8EAA,AG,Agência/Conta Corrente/DV Inválido
178,a0V6g0000062tlgEAA,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
179,a0V6g0000062tLOEAY,AN,Conta Corrente/DV do Favorecido Inválido
180,a0V6g0000062TmbEAE,AG,Agência/Conta Corrente/DV Inválido
181,a0V6g0000062TmdEAE,AC,Tipo de Serviço Inválido
182,a0V6g0000062TmrEAE,AN,Conta Corrente/DV do Favorecido Inválido
183,a0V6g0000062TmtEAE,AN,Conta Corrente/DV do Favorecido Inválido
184,a0V6g0000062TmUEAU,AN,Conta Corrente/DV do Favorecido Inválido
185,a0V6g0000062Tn2EAE,AG,Agência/Conta Corrente/DV Inválido
186,a0V6g0000062Tn9EAE,AC,Tipo de Serviço Inválido
187,a0V6g0000062TnGEAU,AN,Conta Corrente/DV do Favorecido Inválido
188,a0V6g0000062TnIEAU,AN,Conta Corrente/DV do Favorecido Inválido
189,a0V6g0000062TnREAU,AG,Agência/Conta Corrente/DV Inválido
190,a0V6g0000062uY5EAI,AN,Conta Corrente/DV do Favorecido Inválido
191,a0V6g0000062uYIEAY,AN,Conta Corrente/DV do Favorecido Inválido
192,a0V6g0000062uyqEAA,AN,Conta Corrente/DV do Favorecido Inválido
193,a0V6g0000062UYzEAM,AN,Conta Corrente/DV do Favorecido Inválido
194,a0V6g0000062uzYEAQ,AN,Conta Corrente/DV do Favorecido Inválido
195,a0V6g0000062v0uEAA,AC,Tipo de Serviço Inválido
196,a0V6g0000062V1IEAU,02,Crédito ou Débito Cancelado pelo Pagador/Credor
197,a0V6g0000062wFAEAY,AN,Conta Corrente/DV do Favorecido Inválido
198,a0V6g0000062WflEAE,02,Crédito ou Débito Cancelado pelo Pagador/Credor
199,a0V6g0000062wg0EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
200,a0V6g0000062wg8EAA,AC,Tipo de Serviço Inválido
201,a0V6g0000062wGcEAI,AN,Conta Corrente/DV do Favorecido Inválido
202,a0V6g0000062wGLEAY,AN,Conta Corrente/DV do Favorecido Inválido
203,a0V6g0000062wGNEAY,AN,Conta Corrente/DV do Favorecido Inválido
204,a0V6g0000062wGUEAY,AN,Conta Corrente/DV do Favorecido Inválido
205,a0V6g0000062wjbEAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
206,a0V6g0000062xmyEAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
207,a0V6g0000062xn0EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
208,a0V6g0000062xn5EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
209,a0V6g0000062xn7EAA,AT,Tipo/Número de Inscrição do Favorecido Inválido
210,a0V6g0000062xNnEAI,AG,Agência/Conta Corrente/DV Inválido
211,a0V6g0000062xNqEAI,AG,Agência/Conta Corrente/DV Inválido
212,a0V6g0000062xoKEAQ,AG,Agência/Conta Corrente/DV Inválido
213,a0V6g0000062xPSEAY,AN,Conta Corrente/DV do Favorecido Inválido
214,a0V6g0000062xPtEAI,AN,Conta Corrente/DV do Favorecido Inválido
215,a0V6g0000062xQ5EAI,AT,Tipo/Número de Inscrição do Favorecido Inválido
216,a0V6g0000062XqcEAE,AN,Conta Corrente/DV do Favorecido Inválido
217,a0V6g0000062xqgEAA,AC,Tipo de Serviço Inválido
218,a0V6g0000062xqiEAA,AC,Tipo de Serviço Inválido
219,a0V6g0000062xRbEAI,AG,Agência/Conta Corrente/DV Inválido
220,a0V6g0000062xrKEAQ,AT,Tipo/Número de Inscrição do Favorecido Inválido
221,a0V6g0000062yQDEAY,02,Crédito ou Débito Cancelado pelo Pagador/Credor
222,a0V6g0000062yQPEAY,AT,Tipo/Número de Inscrição do Favorecido Inválido
223,a0V6g0000062yqxEAA,AG,Agência/Conta Corrente/DV Inválido
224,a0V6g0000062yQyEAI,AT,Tipo/Número de Inscrição do Favorecido Inválido
225,a0V6g0000062yRLEAY,AG,Agência/Conta Corrente/DV Inválido
226,a0V6g0000062yRNEAY,AG,Agência/Conta Corrente/DV Inválido
227,a0V6g0000062ysaEAA,AC,Tipo de Serviço Inválido
228,a0V6g0000062YT9EAM,AN,Conta Corrente/DV do Favorecido Inválido
229,a0V6g0000062YTzEAM,AN,Conta Corrente/DV do Favorecido Inválido
230,a0V6g0000062yU6EAI,AN,Conta Corrente/DV do Favorecido Inválido
231,a0V6g0000062yuiEAA,AG,Agência/Conta Corrente/DV Inválido
232,a0V6g0000062yuMEAQ,AG,Agência/Conta Corrente/DV Inválido
233,a0V6g0000063cRuEAI,02,Crédito ou Débito Cancelado pelo Pagador/Credor
234,a0V6g0000063en9EAA,AN,Conta Corrente/DV do Favorecido Inválido
235,a0V6g0000063enGEAQ,AC,Tipo de Serviço Inválido
236,a0V6g0000063ik3EAA,AN,Conta Corrente/DV do Favorecido Inválido
237,a0V6g0000063ik8EAA,AN,Conta Corrente/DV do Favorecido Inválido
238,a0V6g0000063ikAEAQ,AN,Conta Corrente/DV do Favorecido Inválido
239,a0V6g0000063ikbEAA,AN,Conta Corrente/DV do Favorecido Inválido
240,a0V6g0000063ikCEAQ,AN,Conta Corrente/DV do Favorecido Inválido
241,a0V6g0000063ikgEAA,AG,Agência/Conta Corrente/DV Inválido
242,a0V6g0000063ikHEAQ,AN,Conta Corrente/DV do Favorecido Inválido
243,a0V6g0000063ikiEAA,AG,Agência/Conta Corrente/DV Inválido
244,a0V6g0000063ikpEAA,AC,Tipo de Serviço Inválido
245,a0V6g0000063ikQEAQ,AN,Conta Corrente/DV do Favorecido Inválido
246,a0V6g0000063ikSEAQ,AN,Conta Corrente/DV do Favorecido Inválido
247,a0V6g0000063ikZEAQ,AN,Conta Corrente/DV do Favorecido Inválido
248,a0V6g0000063jbWEAQ,AN,Conta Corrente/DV do Favorecido Inválido
249,a0V6g0000063jbYEAQ,AG,Agência/Conta Corrente/DV Inválido
250,a0V6g0000063jtiEAA,AN,Conta Corrente/DV do Favorecido Inválido
251,a0V6g0000063jtkEAA,AN,Conta Corrente/DV do Favorecido Inválido
252,a0V6g0000063jtpEAA,AN,Conta Corrente/DV do Favorecido Inválido
253,a0V6g0000063jtrEAA,AN,Conta Corrente/DV do Favorecido Inválido
254,a0V6g0000063kd1EAA,02,Crédito ou Débito Cancelado pelo Pagador/Credor
255,a0V6g0000063kd8EAA,AN,Conta Corrente/DV do Favorecido Inválido
256,a0V6g0000063kdAEAQ,AN,Conta Corrente/DV do Favorecido Inválido
257,a0V6g0000063kdgEAA,AN,Conta Corrente/DV do Favorecido Inválido
258,a0V6g0000063kdHEAQ,AN,Conta Corrente/DV do Favorecido Inválido
259,a0V6g0000063kdiEAA,AN,Conta Corrente/DV do Favorecido Inválido
260,a0V6g0000063kdJEAQ,AN,Conta Corrente/DV do Favorecido Inválido
261,a0V6g0000063kdnEAA,AC,Tipo de Serviço Inválido
262,a0V6g0000063kdOEAQ,AN,Conta Corrente/DV do Favorecido Inválido
263,a0V6g0000063kdQEAQ,AN,Conta Corrente/DV do Favorecido Inválido
264,a0V6g0000063kdrEAA,AN,Conta Corrente/DV do Favorecido Inválido
265,a0V6g0000063kdwEAA,AN,Conta Corrente/DV do Favorecido Inválido
266,a0V6g0000063kdXEAQ,AN,Conta Corrente/DV do Favorecido Inválido
267,a0V6g0000063kdZEAQ,AN,Conta Corrente/DV do Favorecido Inválido
268,a0V6g0000063kNbEAI,AN,Conta Corrente/DV do Favorecido Inválido
269,a0V6g000007O6VYEA0,AN,Conta Corrente/DV do Favorecido Inválido
270,a0V6g000007O86hEAC,AN,Conta Corrente/DV do Favorecido Inválido
271,a0V6g000007O86jEAC,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
272,a0V6g000007O86qEAC,AG,Agência/Conta Corrente/DV Inválido
273,a0V6g000007O86sEAC,AG,Agência/Conta Corrente/DV Inválido
274,a0V6g000007O86zEAC,02,Crédito ou Débito Cancelado pelo Pagador/Credor
275,a0V6g000007O871EAC,AC,Tipo de Serviço Inválido
276,a0V6g000007O876EAC,AN,Conta Corrente/DV do Favorecido Inválido
277,a0V6g000007O878EAC,AN,Conta Corrente/DV do Favorecido Inválido
278,a0V6g000007O87FEAS,AN,Conta Corrente/DV do Favorecido Inválido
279,a0V6g000007O87HEAS,AN,Conta Corrente/DV do Favorecido Inválido
280,a0V6g000007O87OEAS,AN,Conta Corrente/DV do Favorecido Inválido
281,a0V6g000007O87XEAS,AN,Conta Corrente/DV do Favorecido Inválido
282,a0V6g000007O890EAC,AN,Conta Corrente/DV do Favorecido Inválido
283,a0V6g000007O892EAC,AN,Conta Corrente/DV do Favorecido Inválido
284,a0V6g000007O897EAC,AN,Conta Corrente/DV do Favorecido Inválido
285,a0V6g000007O899EAC,AN,Conta Corrente/DV do Favorecido Inválido
286,a0V6g000007O89GEAS,AN,Conta Corrente/DV do Favorecido Inválido
287,a0V6g000007O89IEAS,AN,Conta Corrente/DV do Favorecido Inválido
288,a0V6g000007O89PEAS,AN,Conta Corrente/DV do Favorecido Inválido
289,a0V6g000007O89REAS,AN,Conta Corrente/DV do Favorecido Inválido
290,a0V6g000007O9taEAC,AN,Conta Corrente/DV do Favorecido Inválido
291,a0V6g000007O9tcEAC,AN,Conta Corrente/DV do Favorecido Inválido
292,a0V6g000007O9tDEAS,AN,Conta Corrente/DV do Favorecido Inválido
293,a0V6g000007O9tjEAC,AG,Agência/Conta Corrente/DV Inválido
294,a0V6g000007O9tKEAS,AN,Conta Corrente/DV do Favorecido Inválido
295,a0V6g000007O9tMEAS,AN,Conta Corrente/DV do Favorecido Inválido
296,a0V6g000007O9tsEAC,AN,Conta Corrente/DV do Favorecido Inválido
297,a0V6g000007O9tTEAS,AN,Conta Corrente/DV do Favorecido Inválido
298,a0V6g000007O9tuEAC,AN,Conta Corrente/DV do Favorecido Inválido
299,a0V6g000007O9tVEAS,AN,Conta Corrente/DV do Favorecido Inválido
300,a0V6g000007OBBAEA4,AN,Conta Corrente/DV do Favorecido Inválido
301,a0V6g000007OBBgEAO,AN,Conta Corrente/DV do Favorecido Inválido
302,a0V6g000007OBBHEA4,AN,Conta Corrente/DV do Favorecido Inválido
303,a0V6g000007OBBiEAO,AN,Conta Corrente/DV do Favorecido Inválido
304,a0V6g000007OBBJEA4,AN,Conta Corrente/DV do Favorecido Inválido
305,a0V6g000007OBBnEAO,AN,Conta Corrente/DV do Favorecido Inválido
306,a0V6g000007OBBOEA4,AN,Conta Corrente/DV do Favorecido Inválido
307,a0V6g000007OBBpEAO,AC,Tipo de Serviço Inválido
308,a0V6g000007OBBQEA4,AN,Conta Corrente/DV do Favorecido Inválido
309,a0V6g000007OBBwEAO,AC,Tipo de Serviço Inválido
310,a0V6g000007OBBXEA4,AN,Conta Corrente/DV do Favorecido Inválido
311,a0V6g000007OBBZEA4,AN,Conta Corrente/DV do Favorecido Inválido
312,a0V6g000007OBC5EAO,AN,Conta Corrente/DV do Favorecido Inválido
313,a0V6g000007OBC7EAO,AN,Conta Corrente/DV do Favorecido Inválido
314,a0V6g000007OBCCEA4,AN,Conta Corrente/DV do Favorecido Inválido
315,a0V6g000007OBCEEA4,AN,Conta Corrente/DV do Favorecido Inválido
316,a0V6g000007OHv4EAG,AN,Conta Corrente/DV do Favorecido Inválido
317,a0V6g000007OHv6EAG,AN,Conta Corrente/DV do Favorecido Inválido
318,a0V6g000007OHvcEAG,AN,Conta Corrente/DV do Favorecido Inválido
319,a0V6g000007OHvDEAW,AN,Conta Corrente/DV do Favorecido Inválido
320,a0V6g000007OHveEAG,AN,Conta Corrente/DV do Favorecido Inválido
321,a0V6g000007OHvFEAW,AN,Conta Corrente/DV do Favorecido Inválido
322,a0V6g000007OHvlEAG,AN,Conta Corrente/DV do Favorecido Inválido
323,a0V6g000007OHvMEAW,AN,Conta Corrente/DV do Favorecido Inválido
324,a0V6g000007OHvnEAG,AG,Agência/Conta Corrente/DV Inválido
325,a0V6g000007OHvOEAW,AN,Conta Corrente/DV do Favorecido Inválido
326,a0V6g000007OHvsEAG,AN,Conta Corrente/DV do Favorecido Inválido
327,a0V6g000007OHvTEAW,AN,Conta Corrente/DV do Favorecido Inválido
328,a0V6g000007OHvuEAG,AN,Conta Corrente/DV do Favorecido Inválido
329,a0V6g000007OHvVEAW,AN,Conta Corrente/DV do Favorecido Inválido
330,a0V6g000007OHvwEAG,AN,Conta Corrente/DV do Favorecido Inválido
331,a0V6g000007OHvXEAW,AN,Conta Corrente/DV do Favorecido Inválido
332,a0V6g000007OHw1EAG,AN,Conta Corrente/DV do Favorecido Inválido
333,a0V6g000007OHw3EAG,AN,Conta Corrente/DV do Favorecido Inválido
334,a0V6g0000064W8gEAE,AN,Conta Corrente/DV do Favorecido Inválido
335,a0V6g0000064W8iEAE,AN,Conta Corrente/DV do Favorecido Inválido
336,a0V6g0000064W8pEAE,AN,Conta Corrente/DV do Favorecido Inválido
337,a0V6g0000064W8rEAE,AG,Agência/Conta Corrente/DV Inválido
338,a0V6g0000064W8wEAE,AC,Tipo de Serviço Inválido
339,a0V6g0000064W8yEAE,AC,Tipo de Serviço Inválido
340,a0V6g0000064W95EAE,AM,Agência Mantenedora da Conta Corrente do Favorecido Inválida
341,a0V6g0000064W97EAE,AN,Conta Corrente/DV do Favorecido Inválido
342,a0V6g0000064W9EEAU,AN,Conta Corrente/DV do Favorecido Inválido
343,a0V6g0000064W9GEAU,AN,Conta Corrente/DV do Favorecido Inválido
