_CustomObjectKey,automationinstancestatus,automationName,activityName,activityType,activityinstancestatus
52,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
53,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
54,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
55,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
56,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
57,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
58,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
59,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
60,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
61,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
62,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
63,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
64,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
65,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
66,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
67,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
68,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
69,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
70,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
71,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
72,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
73,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
74,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
75,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
76,Error,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
77,Error,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
78,Error,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
79,Error,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
80,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
81,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
82,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
83,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
84,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
85,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
86,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
87,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
88,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
89,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
90,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
91,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
92,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
93,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
94,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
95,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
96,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
97,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
98,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
99,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
100,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
101,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
102,Skipped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
103,Skipped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
104,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
105,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
106,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
107,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
108,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
109,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
110,Skipped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
111,Skipped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
112,Skipped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
113,Skipped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
114,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
115,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
116,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
117,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
118,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
119,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
120,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
121,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
122,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
123,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
124,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
125,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
126,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
127,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
128,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
129,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
130,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
131,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
132,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
133,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
134,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
135,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
136,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
137,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
138,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
139,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
140,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
141,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub3,Extracao_Prospect_NeoBpo_Online_Pub3,73,Initialized
142,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
143,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
144,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
145,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
146,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
147,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
148,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
149,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
150,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
151,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
152,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
153,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
154,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
155,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
156,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
157,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
158,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
159,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
160,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
161,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
162,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
163,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
164,Stopped,3.Prospect_TMKT_Integracao_e_Extracao,Transfer_Base_Prospect_Offline_Telefones_ComOTC_TMKT,53,Initialized
165,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
166,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
167,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
168,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
169,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
170,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
171,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
172,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
173,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
174,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
175,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
176,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
177,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
178,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
179,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
180,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
181,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
182,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
183,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
184,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
185,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
186,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
187,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
188,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
189,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
190,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
191,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
192,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
193,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
194,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
195,Stopped,1. At_Campanha_Sorteio_Periodico_PU,Qr01_Sorteio_Periodico_PU,300,Complete
196,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
197,Stopped,2. At_Campanha_Prospect_Com_OTC_Online_Retorno_NeoBpo_Pub1,Src_Prospect_Neobpo_Online_Pub1_CleanDes,423,Initialized
