_CustomObjectKey,ID,HC_CLIENTE__C
677102,a0o6g00000IDQCEAA5,0016g00002RJqYVAA1
677103,a0o6g00000IDQCIAA5,0016g00002RJvBqAAL
677104,a0o6g00000IDQCJAA5,0016g00002RJr0fAAD
677105,a0o6g00000IDQCMAA5,0016g00002RJy7JAAT
677106,a0o6g00000IDQCNAA5,0016g00002RJuDiAAL
677107,a0o6g00000IDQCOAA5,0016g00002RJvg8AAD
677108,a0o6g00000IDQCQAA5,0016g00002RJsmUAAT
677109,a0o6g00000IDQCSAA5,0016g00002RJyCBAA1
677110,a0o6g00000IDQCYAA5,0016g00002RJwTDAA1
677111,a0o6g00000IDQCaAAP,0016g00002RJpYTAA1
677112,a0o6g00000IDQCbAAP,0016g00002RJnzlAAD
677113,a0o6g00000IDQCcAAP,0016g00002RJmlbAAD
677114,a0o6g00000IDQCdAAP,0016g00002RJtIRAA1
677115,a0o6g00000IDQCeAAP,0016g00002RJt3SAAT
677116,a0o6g00000IDQCfAAP,0016g00002RJrYHAA1
677117,a0o6g00000IDQCoAAP,0016g00002RK1LTAA1
677118,a0o6g00000IDQCrAAP,0016g00002RJnEYAA1
677119,a0o6g00000IDQCsAAP,0016g00002RK00QAAT
677120,a0o6g00000IDQCuAAP,0016g00002RJnhLAAT
677121,a0o6g00000IDQCvAAP,0016g00002RJn0qAAD
677122,a0o6g00000IDQCxAAP,0016g00002RJyyqAAD
677123,a0o6g00000IDQCzAAP,0016g00002RJzg8AAD
677124,a0o6g00000IDQD1AAP,0016g00002RJyCSAA1
677125,a0o6g00000IDQD3AAP,0016g00002RJpjWAAT
677126,a0o6g00000IDQDDAA5,0016g00002RK0UjAAL
677127,a0o6g00000IDQDEAA5,0016g00002RJwTFAA1
677128,a0o6g00000IDQDFAA5,0016g00002RJnUHAA1
677129,a0o6g00000IDQDOAA5,0016g00002RJtwGAAT
677130,a0o6g00000IDQDPAA5,0016g00002RJpljAAD
677131,a0o6g00000IDQDRAA5,0016g00002RJqWtAAL
677132,a0o6g00000IDQDVAA5,0016g00002RJo34AAD
677133,a0o6g00000IDQDaAAP,0016g00002RJxX8AAL
677134,a0o6g00000IDQDbAAP,0016g00002RJscCAAT
677135,a0o6g00000IDQDjAAP,0016g00002RK1ehAAD
677136,a0o6g00000IDQDkAAP,0016g00002RJnKrAAL
677137,a0o6g00000IDQDlAAP,0016g00002RJtZCAA1
677138,a0o6g00000IDQDoAAP,0016g00002RJmB2AAL
677139,a0o6g00000IDQDpAAP,0016g00002RJonWAAT
677140,a0o6g00000IDQDrAAP,0016g00002RK1whAAD
677141,a0o6g00000IDQDtAAP,0016g00002RJlzSAAT
677142,a0o6g00000IDQDxAAP,0016g00002RJmLdAAL
677143,a0o6g00000IDQDyAAP,0016g00002RK0QIAA1
677144,a0o6g00000IDQDzAAP,0016g00002RK0QFAA1
677145,a0o6g00000IDQE3AAP,0016g00002RJnMJAA1
677146,a0o6g00000IDQE6AAP,0016g00002RJuEuAAL
677147,a0o6g00000IDQEBAA5,0016g00002RK1Q7AAL
677148,a0o6g00000IDQEEAA5,0016g00002RJwx5AAD
677149,a0o6g00000IDQEGAA5,0016g00002RK0RRAA1
677150,a0o6g00000IDQEJAA5,0016g00002RJmiNAAT
677151,a0o6g00000IDQELAA5,0016g00002RJulBAAT
677152,a0o6g00000IDQEMAA5,0016g00002RK10oAAD
677153,a0o6g00000IDQENAA5,0016g00002RK18KAAT
677154,a0o6g00000IDQEOAA5,0016g00002RJyHdAAL
677155,a0o6g00000IDQEPAA5,0016g00002RJmMoAAL
677156,a0o6g00000IDQESAA5,0016g00002RJmBNAA1
677157,a0o6g00000IDQEeAAP,0016g00002RJmQ2AAL
677158,a0o6g00000IDQEqAAP,0016g00002RJsqpAAD
677159,a0o6g00000IDQErAAP,0016g00002RK0vGAAT
677160,a0o6g00000IDQEtAAP,0016g00002RJxmaAAD
677161,a0o6g00000IDQEvAAP,0016g00002RJx7iAAD
677162,a0o6g00000IDQEzAAP,0016g00002RJtvOAAT
677163,a0o6g00000IDQF5AAP,0016g00002RJtznAAD
677164,a0o6g00000IDQFCAA5,0016g00002RK1ShAAL
677165,a0o6g00000IDQFFAA5,0016g00002RJvBrAAL
677166,a0o6g00000IDQFGAA5,0016g00002RJoq5AAD
677167,a0o6g00000IDQFHAA5,0016g00002RJtnDAAT
677168,a0o6g00000IDQFJAA5,0016g00002RJypOAAT
677169,a0o6g00000IDQFNAA5,0016g00002RK1LcAAL
677170,a0o6g00000IDQFYAA5,0016g00002RJxMzAAL
677171,a0o6g00000IDQFdAAP,0016g00002RJpmlAAD
677172,a0o6g00000IDQFfAAP,0016g00002RJxmjAAD
677173,a0o6g00000IDQFhAAP,0016g00002RJyCEAA1
677174,a0o6g00000IDQFnAAP,0016g00002RJuimAAD
677175,a0o6g00000IDQFqAAP,0016g00002RJo7QAAT
677176,a0o6g00000IDQFrAAP,0016g00002RJpMZAA1
677177,a0o6g00000IDQFwAAP,0016g00002RJlg9AAD
677178,a0o6g00000IDQG0AAP,0016g00002RJtvDAAT
677179,a0o6g00000IDQG2AAP,0016g00002RJs6SAAT
677180,a0o6g00000IDQG4AAP,0016g00002RJusiAAD
677181,a0o6g00000IDQG8AAP,0016g00002RJrgZAAT
677182,a0o6g00000IDQG9AAP,0016g00002RJniAAAT
677183,a0o6g00000IDQGAAA5,0016g00002RJmPdAAL
677184,a0o6g00000IDQGBAA5,0016g00002RK009AAD
677185,a0o6g00000IDQGEAA5,0016g00002RK10UAAT
677186,a0o6g00000IDQGMAA5,0016g00002RJrgaAAD
677187,a0o6g00000IDQGNAA5,0016g00002RJnIdAAL
677188,a0o6g00000IDQGQAA5,0016g00002RJsqaAAD
677189,a0o6g00000IDQGgAAP,0016g00002RJmD5AAL
677190,a0o6g00000IDQGkAAP,0016g00002RJpu1AAD
677191,a0o6g00000IDQGvAAP,0016g00002RJpBhAAL
677192,a0o6g00000IDQGwAAP,0016g00002RJqv8AAD
677193,a0o6g00000IDQGyAAP,0016g00002RJsalAAD
677194,a0o6g00000IDQH1AAP,0016g00002RJmYRAA1
677195,a0o6g00000IDQH3AAP,0016g00002RJyd1AAD
677196,a0o6g00000IDQH8AAP,0016g00002RJwwmAAD
677197,a0o6g00000IDQH9AAP,0016g00002RJwwmAAD
677198,a0o6g00000IDQHBAA5,0016g00002RJnLwAAL
677199,a0o6g00000IDQHOAA5,0016g00002RJtnZAAT
677200,a0o6g00000IDQHTAA5,0016g00002RJyDJAA1
677201,a0o6g00000IDQI4AAP,0016g00002RJvwRAAT
677202,a0o6g00000IDQI5AAP,0016g00002RJvg6AAD
677203,a0o6g00000IDQI6AAP,0016g00002RJzJOAA1
677204,a0o6g00000IDQI7AAP,0016g00002RJtPPAA1
677205,a0o6g00000IDQICAA5,0016g00002RK0UTAA1
677206,a0o6g00000IDQIIAA5,0016g00002RJukjAAD
677207,a0o6g00000IDQILAA5,0016g00002RJvMlAAL
677208,a0o6g00000IDQINAA5,0016g00002RJlexAAD
677209,a0o6g00000IDQIPAA5,0016g00002RJusQAAT
677210,a0o6g00000IDQIZAA5,0016g00002RJnL9AAL
677211,a0o6g00000IDQIbAAP,0016g00002RJqZpAAL
677212,a0o6g00000IDQIcAAP,0016g00002RJqZpAAL
677213,a0o6g00000IDQIdAAP,0016g00002RJvMkAAL
677214,a0o6g00000IDQIeAAP,0016g00002RJtvAAAT
677215,a0o6g00000IDQIfAAP,0016g00002RJvNkAAL
677216,a0o6g00000IDQIgAAP,0016g00002RJlRlAAL
677217,a0o6g00000IDQIhAAP,0016g00002RJociAAD
677218,a0o6g00000IDQIiAAP,0016g00002RJociAAD
677219,a0o6g00000IDQIjAAP,0016g00002RJzJRAA1
677220,a0o6g00000IDQImAAP,0016g00002RJyKbAAL
677221,a0o6g00000IDQInAAP,0016g00002RJo3OAAT
677222,a0o6g00000IDQIqAAP,0016g00002RJt3EAAT
677223,a0o6g00000IDQItAAP,0016g00002RJyKcAAL
677224,a0o6g00000IDQIvAAP,0016g00002RJnV1AAL
677225,a0o6g00000IDQJ0AAP,0016g00002RK0oHAAT
677226,a0o6g00000IDQJ6AAP,0016g00002RJmzfAAD
677227,a0o6g00000IDQJCAA5,0016g00002RJrcpAAD
677228,a0o6g00000IDQJNAA5,0016g00002RJplWAAT
677229,a0o6g00000IDQJPAA5,0016g00002RJlzoAAD
677230,a0o6g00000IDQJVAA5,0016g00002RK1LOAA1
677231,a0o6g00000IDQJXAA5,0016g00002RJpjMAAT
677232,a0o6g00000IDQJfAAP,0016g00002RJv67AAD
677233,a0o6g00000IDQJjAAP,0016g00002RJmzqAAD
677234,a0o6g00000IDQJlAAP,0016g00002RJq23AAD
677235,a0o6g00000IDQJpAAP,0016g00002RK1YkAAL
677236,a0o6g00000IDQJqAAP,0016g00002RJzVEAA1
677237,a0o6g00000IDQJwAAP,0016g00002RK23mAAD
677238,a0o6g00000IDQK2AAP,0016g00002RJr27AAD
677239,a0o6g00000IDQK3AAP,0016g00002RK0UVAA1
677240,a0o6g00000IDQK4AAP,0016g00002RJlf5AAD
677241,a0o6g00000IDQK8AAP,0016g00002RJr26AAD
677242,a0o6g00000IDQK9AAP,0016g00002RJs2XAAT
677243,a0o6g00000IDQKCAA5,0016g00002RJurcAAD
677244,a0o6g00000IDQKPAA5,0016g00002RK0O4AAL
677245,a0o6g00000IDQKSAA5,0016g00002RJmXDAA1
677246,a0o6g00000IDQKUAA5,0016g00002RJnU4AAL
677247,a0o6g00000IDQKgAAP,0016g00002RK0vLAAT
677248,a0o6g00000IDQKmAAP,0016g00002RJz8lAAD
677249,a0o6g00000IDQKpAAP,0016g00002RJri9AAD
677250,a0o6g00000IDQKrAAP,0016g00002RJoW4AAL
677251,a0o6g00000IDQKtAAP,0016g00002RJx4eAAD
677252,a0o6g00000IDQKwAAP,0016g00002RK0YdAAL
677253,a0o6g00000IDQL1AAP,0016g00002RK1XPAA1
677254,a0o6g00000IDQL3AAP,0016g00002RJpmUAAT
677255,a0o6g00000IDQL8AAP,0016g00002RJwEZAA1
677256,a0o6g00000IDQLDAA5,0016g00002RJrxiAAD
677257,a0o6g00000IDQLOAA5,0016g00002RJx3WAAT
677258,a0o6g00000IDQLRAA5,0016g00002RJlqfAAD
677259,a0o6g00000IDQLUAA5,0016g00002RJxC8AAL
677260,a0o6g00000IDQLVAA5,0016g00002RJryAAAT
677261,a0o6g00000IDQLWAA5,0016g00002RJvR6AAL
677262,a0o6g00000IDQLXAA5,0016g00002RJm4wAAD
677263,a0o6g00000IDQLeAAP,0016g00002RJwEXAA1
677264,a0o6g00000IDQLgAAP,0016g00002RJwQoAAL
677265,a0o6g00000IDQLnAAP,0016g00002RJyC8AAL
677266,a0o6g00000IDQLsAAP,0016g00002RJqZtAAL
677267,a0o6g00000IDQM5AAP,0016g00002RJpj1AAD
677268,a0o6g00000IDQMBAA5,0016g00002RJy8aAAD
677269,a0o6g00000IDQMDAA5,0016g00002RJqX0AAL
677270,a0o6g00000IDQMJAA5,0016g00002RJmlSAAT
677271,a0o6g00000IDQMOAA5,0016g00002RJok1AAD
677272,a0o6g00000IDQMSAA5,0016g00002RJmXbAAL
677273,a0o6g00000IDQMTAA5,0016g00002RJryBAAT
677274,a0o6g00000IDQMVAA5,0016g00002RJo7HAAT
677275,a0o6g00000IDQMdAAP,0016g00002RJxmdAAD
677276,a0o6g00000IDQMjAAP,0016g00002RK0O3AAL
677277,a0o6g00000IDQMmAAP,0016g00002RJnpdAAD
677278,a0o6g00000IDQMoAAP,0016g00002RJnFCAA1
677279,a0o6g00000IDQMqAAP,0016g00002RJoZ4AAL
677280,a0o6g00000IDQMrAAP,0016g00002RK0VNAA1
677281,a0o6g00000IDQMtAAP,0016g00002RJmPvAAL
677282,a0o6g00000IDQMxAAP,0016g00002RJtPNAA1
677283,a0o6g00000IDQMzAAP,0016g00002RJpdlAAD
677284,a0o6g00000IDQN3AAP,0016g00002RJtw7AAD
677285,a0o6g00000IDQN4AAP,0016g00002RJtw7AAD
677286,a0o6g00000IDQN8AAP,0016g00002RJoGAAA1
677287,a0o6g00000IDQNFAA5,0016g00002RJt34AAD
677288,a0o6g00000IDQNGAA5,0016g00002RJvQhAAL
677289,a0o6g00000IDQNKAA5,0016g00002RJmB0AAL
677290,a0o6g00000IDQNLAA5,0016g00002RJnoxAAD
677291,a0o6g00000IDQNQAA5,0016g00002RJyOkAAL
677292,a0o6g00000IDQNRAA5,0016g00002RJv5jAAD
677293,a0o6g00000IDQNVAA5,0016g00002RJngkAAD
677294,a0o6g00000IDQNYAA5,0016g00002RJo3GAAT
677295,a0o6g00000IDQNiAAP,0016g00002RJsDeAAL
677296,a0o6g00000IDQNqAAP,0016g00002RK0oLAAT
677297,a0o6g00000IDQNrAAP,0016g00002RJnhCAAT
677298,a0o6g00000IDQNvAAP,0016g00002RJwfEAAT
677299,a0o6g00000IDQNyAAP,0016g00002RJwwnAAD
677300,a0o6g00000IDQO1AAP,0016g00002RJvwXAAT
677301,a0o6g00000IDQO4AAP,0016g00002RJvp2AAD
677302,a0o6g00000IDQO6AAP,0016g00002RJmcJAAT
677303,a0o6g00000IDQO7AAP,0016g00002RJnzXAAT
677304,a0o6g00000IDQO8AAP,0016g00002RJyGfAAL
677305,a0o6g00000IDQO9AAP,0016g00002RJqiZAAT
677306,a0o6g00000IDQOBAA5,0016g00002RJmlCAAT
677307,a0o6g00000IDQOCAA5,0016g00002RJnIfAAL
677308,a0o6g00000IDQOJAA5,0016g00002RK0NqAAL
677309,a0o6g00000IDQOSAA5,0016g00002RJxf6AAD
677310,a0o6g00000IDQOVAA5,0016g00002RJnV0AAL
677311,a0o6g00000IDQOdAAP,0016g00002RJx4dAAD
677312,a0o6g00000IDQOgAAP,0016g00002RJzJTAA1
677313,a0o6g00000IDQOhAAP,0016g00002RJpZ6AAL
677314,a0o6g00000IDQOuAAP,0016g00002RJzZwAAL
677315,a0o6g00000IDQOwAAP,0016g00002RJt0sAAD
677316,a0o6g00000IDQOxAAP,0016g00002RJvMSAA1
677317,a0o6g00000IDQP9AAP,0016g00002RJwQLAA1
677318,a0o6g00000IDQPDAA5,0016g00002RK1wiAAD
677319,a0o6g00000IDQPHAA5,0016g00002RJuJKAA1
677320,a0o6g00000IDQPIAA5,0016g00002RJvE7AAL
677321,a0o6g00000IDQPLAA5,0016g00002RJmPNAA1
677322,a0o6g00000IDQPMAA5,0016g00002RJmCzAAL
677323,a0o6g00000IDQPSAA5,0016g00002RJtZHAA1
677324,a0o6g00000IDQPVAA5,0016g00002RJnf6AAD
677325,a0o6g00000IDQPXAA5,0016g00002RK1vBAAT
677326,a0o6g00000IDQPfAAP,0016g00002RJnz1AAD
677327,a0o6g00000IDQPnAAP,0016g00002RJmCwAAL
677328,a0o6g00000IDQPoAAP,0016g00002RJmCwAAL
677329,a0o6g00000IDQPwAAP,0016g00002RJoFlAAL
677330,a0o6g00000IDQQ0AAP,0016g00002RJrO6AAL
677331,a0o6g00000IDQQ2AAP,0016g00002RJtnaAAD
677332,a0o6g00000IDQQ3AAP,0016g00002RK22mAAD
677333,a0o6g00000IDQQCAA5,0016g00002RJyd3AAD
677334,a0o6g00000IDQQFAA5,0016g00002RJq9gAAD
677335,a0o6g00000IDQQIAA5,0016g00002RJpk8AAD
677336,a0o6g00000IDQQLAA5,0016g00002RK1TBAA1
677337,a0o6g00000IDQQNAA5,0016g00002RJyuHAAT
677338,a0o6g00000IDQQPAA5,0016g00002RJpmXAAT
677339,a0o6g00000IDQQSAA5,0016g00002RJmPwAAL
677340,a0o6g00000IDQQVAA5,0016g00002RJrTAAA1
677341,a0o6g00000IDQQYAA5,0016g00002RK0aHAAT
677342,a0o6g00000IDQQZAA5,0016g00002RK1euAAD
677343,a0o6g00000IDQQaAAP,0016g00002RJpS9AAL
677344,a0o6g00000IDQQcAAP,0016g00002RJxC7AAL
677345,a0o6g00000IDQQfAAP,0016g00002RJry7AAD
677346,a0o6g00000IDQQhAAP,0016g00002RJnENAA1
677347,a0o6g00000IDQQoAAP,0016g00002RJxaJAAT
677348,a0o6g00000IDQQpAAP,0016g00002RJtk1AAD
677349,a0o6g00000IDQQzAAP,0016g00002RK0YcAAL
677350,a0o6g00000IDQR4AAP,0016g00002RK1XRAA1
677351,a0o6g00000IDQR7AAP,0016g00002RJtZEAA1
677352,a0o6g00000IDQR9AAP,0016g00002RJnTfAAL
677353,a0o6g00000IDQRCAA5,0016g00002RJq6VAAT
677354,a0o6g00000IDQRDAA5,0016g00002RJrP9AAL
677355,a0o6g00000IDQREAA5,0016g00002RJx8dAAD
677356,a0o6g00000IDQRFAA5,0016g00002RK02FAAT
677357,a0o6g00000IDQRPAA5,0016g00002RK1zAAAT
677358,a0o6g00000IDQRXAA5,0016g00002RJsqsAAD
677359,a0o6g00000IDQReAAP,0016g00002RJxBhAAL
677360,a0o6g00000IDQRhAAP,0016g00002RJp7wAAD
677361,a0o6g00000IDQRkAAP,0016g00002RJurCAAT
677362,a0o6g00000IDQRmAAP,0016g00002RK1vHAAT
677363,a0o6g00000IDQRnAAP,0016g00002RJvE6AAL
677364,a0o6g00000IDQRpAAP,0016g00002RJp1yAAD
677365,a0o6g00000IDQRvAAP,0016g00002RJoFqAAL
677366,a0o6g00000IDQRxAAP,0016g00002RJo3IAAT
677367,a0o6g00000IDQS7AAP,0016g00002RJochAAD
677368,a0o6g00000IDQS8AAP,0016g00002RJmh1AAD
677369,a0o6g00000IDQSCAA5,0016g00002RJyd2AAD
677370,a0o6g00000IDQSFAA5,0016g00002RJy7kAAD
677371,a0o6g00000IDQSGAA5,0016g00002RJwAlAAL
677372,a0o6g00000IDQSVAA5,0016g00002RJxZHAA1
677373,a0o6g00000IDQSZAA5,0016g00002RJyKOAA1
677374,a0o6g00000IDQSaAAP,0016g00002RJxZJAA1
677375,a0o6g00000IDQSbAAP,0016g00002RJwerAAD
677376,a0o6g00000IDQSdAAP,0016g00002RJnpAAAT
677377,a0o6g00000IDQSiAAP,0016g00002RK1XLAA1
677378,a0o6g00000IDQSnAAP,0016g00002RK0UXAA1
677379,a0o6g00000IDQSoAAP,0016g00002RJwwoAAD
677380,a0o6g00000IDQSqAAP,0016g00002RJwT9AAL
677381,a0o6g00000IDQSuAAP,0016g00002RJqXTAA1
677382,a0o6g00000IDQSwAAP,0016g00002RJpMUAA1
677383,a0o6g00000IDQSxAAP,0016g00002RJpmVAAT
677384,a0o6g00000IDQT1AAP,0016g00002RJuJhAAL
677385,a0o6g00000IDQT2AAP,0016g00002RJwAeAAL
677386,a0o6g00000IDQT4AAP,0016g00002RJsmPAAT
677387,a0o6g00000IDQT6AAP,0016g00002RJoW2AAL
677388,a0o6g00000IDQT8AAP,0016g00002RJo7LAAT
677389,a0o6g00000IDQTBAA5,0016g00002RK1LaAAL
677390,a0o6g00000IDQTHAA5,0016g00002RK0YsAAL
677391,a0o6g00000IDQTQAA5,0016g00002RJn9XAAT
677392,a0o6g00000IDQTXAA5,0016g00002RJvafAAD
677393,a0o6g00000IDQTdAAP,0016g00002RJx7QAAT
677394,a0o6g00000IDQTeAAP,0016g00002RJmXFAA1
677395,a0o6g00000IDQTgAAP,0016g00002RJnYhAAL
677396,a0o6g00000IDQTiAAP,0016g00002RJtPLAA1
677397,a0o6g00000IDQToAAP,0016g00002RJp1vAAD
677398,a0o6g00000IDQTuAAP,0016g00002RK0R8AAL
677399,a0o6g00000IDQU0AAP,0016g00002RJurDAAT
677400,a0o6g00000IDQU7AAP,0016g00002RJpM3AAL
677401,a0o6g00000IDQU8AAP,0016g00002RJusdAAD
677402,a0o6g00000IDQUGAA5,0016g00002RJtZGAA1
677403,a0o6g00000IDQUMAA5,0016g00002RJs7FAAT
677404,a0o6g00000IDQUNAA5,0016g00002RJvRAAA1
677405,a0o6g00000IDQUOAA5,0016g00002RJx0dAAD
677406,a0o6g00000IDQUSAA5,0016g00002RJtojAAD
677407,a0o6g00000IDQUTAA5,0016g00002RJvCDAA1
677408,a0o6g00000IDQUaAAP,0016g00002RJz9PAAT
677409,a0o6g00000IDQUdAAP,0016g00002RJzUsAAL
677410,a0o6g00000IDQUeAAP,0016g00002RJvE8AAL
677411,a0o6g00000IDQUfAAP,0016g00002RJyBZAA1
677412,a0o6g00000IDQUjAAP,0016g00002RJmgcAAD
677413,a0o6g00000IDQUlAAP,0016g00002RJturAAD
677414,a0o6g00000IDQUmAAP,0016g00002RJpj0AAD
677415,a0o6g00000IDQUnAAP,0016g00002RJsEMAA1
677416,a0o6g00000IDQUwAAP,0016g00002RK16rAAD
677417,a0o6g00000IDQV0AAP,0016g00002RJytwAAD
677418,a0o6g00000IDQV6AAP,0016g00002RJqopAAD
677419,a0o6g00000IDQV7AAP,0016g00002RJrP3AAL
677420,a0o6g00000IDQVBAA5,0016g00002RJqYTAA1
677421,a0o6g00000IDQVEAA5,0016g00002RJtI3AAL
677422,a0o6g00000IDQVFAA5,0016g00002RK10RAAT
