_CustomObjectKey,ID_ENCARTEIRAMENTO,DESC_ENCARTEIRAMENTO
824,5075,NAO CADASTRADA
825,5007,NAO CADASTRADA
826,333,NAO CADASTRADA
827,5100,NAO CADASTRADA
828,5001,NAO CADASTRADA
829,39,NAO CADASTRADA
830,325,NAO CADASTRADA
831,5074,NAO CADASTRADA
832,307,NAO CADASTRADA
833,367,NAO CADASTRADA
834,378,NAO CADASTRADA
835,101,NAO CADASTRADA
836,314,NAO CADASTRADA
837,5068,NAO CADASTRADA
838,343,NAO CADASTRADA
839,5104,NAO CADASTRADA
840,398,NAO CADASTRADA
841,5082,NAO CADASTRADA
842,565,NAO CADASTRADA
843,288,NAO CADASTRADA
844,240,NAO CADASTRADA
845,462,NAO CADASTRADA
846,6,NAO CADASTRADA
847,452,NAO CADASTRADA
848,5097,NAO CADASTRADA
849,5012,NAO CADASTRADA
850,5060,NAO CADASTRADA
851,269,NAO CADASTRADA
852,260,NAO CADASTRADA
853,317,NAO CADASTRADA
854,449,NAO CADASTRADA
855,5078,NAO CADASTRADA
856,5067,NAO CADASTRADA
857,5091,NAO CADASTRADA
858,405,JUDICIARIO(GOV)
859,190,DESENVOLVER
860,271,NAO CADASTRADA
861,49,PRIVATE MISTA 3
862,198,NAO CADASTRADA
863,451,NAO CADASTRADA
864,421,NAO CADASTRADA
865,237,NAO CADASTRADA
866,55,ESCRITORIO EXCLUSIVO
867,176,NAO CADASTRADA
868,362,NAO CADASTRADA
869,239,NAO CADASTRADA
870,63,NAO CADASTRADA
871,244,NAO CADASTRADA
872,251,NAO CADASTRADA
873,215,NAO CADASTRADA
874,5027,NAO CADASTRADA
875,324,COOPERATIVA REMOTA
876,235,NAO CADASTRADA
877,5023,NAO CADASTRADA
878,5029,NAO CADASTRADA
879,5045,NAO CADASTRADA
880,5041,NAO CADASTRADA
881,337,NAO CADASTRADA
882,5039,NAO CADASTRADA
883,5022,NAO CADASTRADA
884,5044,NAO CADASTRADA
885,5034,NAO CADASTRADA
886,5015,NAO CADASTRADA
887,5026,NAO CADASTRADA
888,107,NAO CADASTRADA
889,5032,NAO CADASTRADA
890,225,NAO CADASTRADA
891,5040,NAO CADASTRADA
892,285,NAO CADASTRADA
893,424,NAO CADASTRADA
894,5018,NAO CADASTRADA
895,217,NAO CADASTRADA
896,5048,NAO CADASTRADA
897,5028,NAO CADASTRADA
898,5036,NAO CADASTRADA
899,5037,NAO CADASTRADA
900,5047,NAO CADASTRADA
901,5025,NAO CADASTRADA
902,3,NAO CADASTRADA
903,505,NAO CADASTRADA
904,77,NAO CADASTRADA
905,347,NAO CADASTRADA
906,5019,NAO CADASTRADA
907,41,PRIVATE AFLUENTE
908,578,NAO CADASTRADA
909,5003,NAO CADASTRADA
910,308,NAO CADASTRADA
911,393,NAO CADASTRADA
912,454,NAO CADASTRADA
913,536,NAO CADASTRADA
914,5092,NAO CADASTRADA
915,332,NAO CADASTRADA
916,376,NAO CADASTRADA
917,5103,NAO CADASTRADA
918,9,NAO CADASTRADA
919,5113,NAO CADASTRADA
920,697,NAO CADASTRADA
921,360,NAO CADASTRADA
922,552,NAO CADASTRADA
923,104,NAO CADASTRADA
924,5024,NAO CADASTRADA
925,171,NAO CADASTRADA
926,5056,NAO CADASTRADA
927,5031,NAO CADASTRADA
928,5016,NAO CADASTRADA
929,5030,NAO CADASTRADA
930,5042,NAO CADASTRADA
931,253,NAO CADASTRADA
932,258,NAO CADASTRADA
933,5017,NAO CADASTRADA
934,5035,NAO CADASTRADA
935,370,BANCO POSTAL PJ
936,5043,NAO CADASTRADA
937,5086,NAO CADASTRADA
938,5052,NAO CADASTRADA
939,64,NAO CADASTRADA
940,33,PRIVATE JUNIOR
941,5090,NAO CADASTRADA
942,36,NAO CADASTRADA
943,5066,NAO CADASTRADA
944,46,PRIVATE FAMILY OFFIC
945,450,NAO CADASTRADA
946,5051,NAO CADASTRADA
947,29,NAO CADASTRADA
948,353,NAO CADASTRADA
949,207,NAO CADASTRADA
950,5014,NAO CADASTRADA
951,5021,NAO CADASTRADA
952,5127,NAO CADASTRADA
953,399,NAO CADASTRADA
954,292,NAO CADASTRADA
955,261,NAO CADASTRADA
956,5038,NAO CADASTRADA
957,5069,NAO CADASTRADA
958,5013,NAO CADASTRADA
959,38,NAO CADASTRADA
960,56,EXCLUSIVO REMOTO
961,5033,NAO CADASTRADA
962,35,SPECIAL
963,262,NAO CADASTRADA
964,270,NAO CADASTRADA
965,5049,NAO CADASTRADA
966,5053,NAO CADASTRADA
967,232,NAO CADASTRADA
968,268,NAO CADASTRADA
969,5064,NAO CADASTRADA
970,43,PRIVATE SOFISTICADO
971,102,NAO CADASTRADA
972,5002,NAO CADASTRADA
973,5063,NAO CADASTRADA
974,213,NAO CADASTRADA
975,5088,NAO CADASTRADA
976,5057,NAO CADASTRADA
977,246,NAO CADASTRADA
978,5010,NAO CADASTRADA
979,352,NAO CADASTRADA
980,5065,NAO CADASTRADA
981,224,NAO CADASTRADA
982,284,NAO CADASTRADA
983,280,NAO CADASTRADA
984,316,NAO CADASTRADA
985,428,NAO CADASTRADA
986,535,NAO CADASTRADA
987,336,NAO CADASTRADA
988,309,NAO CADASTRADA
989,559,NAO CADASTRADA
990,371,NAO CADASTRADA
991,345,NAO CADASTRADA
992,368,NAO CADASTRADA
993,249,NAO CADASTRADA
994,423,NAO CADASTRADA
995,425,NAO CADASTRADA
996,283,NAO CADASTRADA
997,5,NAO CADASTRADA
998,349,NAO CADASTRADA
999,339,NAO CADASTRADA
1000,448,NAO CADASTRADA
1001,357,NAO CADASTRADA
1002,5099,NAO CADASTRADA
1003,396,NAO CADASTRADA
1004,582,NAO CADASTRADA
1005,289,NAO CADASTRADA
1006,5077,NAO CADASTRADA
1007,375,NAO CADASTRADA
1008,5085,NAO CADASTRADA
1009,395,NAO CADASTRADA
1010,506,NAO CADASTRADA
1011,510,NAO CADASTRADA
1012,5105,NAO CADASTRADA
1013,5112,NAO CADASTRADA
1014,334,NAO CADASTRADA
1015,350,NAO CADASTRADA
1016,5116,NAO CADASTRADA
1017,5126,NAO CADASTRADA
1018,5008,NAO CADASTRADA
1019,348,NAO CADASTRADA
1020,379,NAO CADASTRADA
1021,507,NAO CADASTRADA
1022,419,NAO CADASTRADA
1023,8,NAO CADASTRADA
1024,709,NAO CADASTRADA
1025,5102,NAO CADASTRADA
1026,562,NAO CADASTRADA
1027,431,NAO CADASTRADA
1028,5122,NAO CADASTRADA
1029,435,NAO CADASTRADA
1030,5079,NAO CADASTRADA
1031,392,NAO CADASTRADA
1032,694,NAO CADASTRADA
1033,5134,NAO CADASTRADA
1034,5004,NAO CADASTRADA
1035,574,NAO CADASTRADA
1036,286,NAO CADASTRADA
1037,446,NAO CADASTRADA
1038,359,NAO CADASTRADA
1039,389,GOVERNO PRODUTO
1040,373,NAO CADASTRADA
1041,433,NAO CADASTRADA
1042,412,NAO CADASTRADA
1043,341,NAO CADASTRADA
1044,488,NAO CADASTRADA
1045,372,NAO CADASTRADA
1046,426,NAO CADASTRADA
1047,447,NAO CADASTRADA
1048,441,NAO CADASTRADA
1049,592,NAO CADASTRADA
1050,520,NAO CADASTRADA
1051,5098,NAO CADASTRADA
1052,666,NAO CADASTRADA
1053,5101,NAO CADASTRADA
1054,664,NAO CADASTRADA
1055,413,NAO CADASTRADA
1056,665,NAO CADASTRADA
1057,417,NAO CADASTRADA
1058,5117,NAO CADASTRADA
1059,453,NAO CADASTRADA
1060,344,NAO CADASTRADA
1061,5110,NAO CADASTRADA
1062,5118,NAO CADASTRADA
1063,363,NAO CADASTRADA
1064,361,NAO CADASTRADA
1065,461,NAO CADASTRADA
1066,687,NAO CADASTRADA
1067,539,NAO CADASTRADA
1068,585,NAO CADASTRADA
1069,74,EX CLIENTES
1070,72,FALECIDOS SEM OPER
1071,76,PROSPECCAO
1072,73,SEM MOVIMENTO
1073,527,NAO CADASTRADA
1074,504,NAO CADASTRADA
1075,5124,NAO CADASTRADA
1076,5123,NAO CADASTRADA
1077,374,NAO CADASTRADA
1078,355,NAO CADASTRADA
1079,377,NAO CADASTRADA
1080,5094,NAO CADASTRADA
1081,397,NAO CADASTRADA
1082,563,NAO CADASTRADA
1083,513,NAO CADASTRADA
1084,429,NAO CADASTRADA
1085,571,NAO CADASTRADA
1086,364,NAO CADASTRADA
1087,210,UPPER MIDDLE
1088,53,NAO CADASTRADA
1089,120,NAO CADASTRADA
1090,127,NAO CADASTRADA
1091,146,NAO CADASTRADA
1092,133,NAO CADASTRADA
1093,109,NAO CADASTRADA
1094,44,PRIVATE ULTRA-HIGH
1095,196,NAO CADASTRADA
1096,159,NAO CADASTRADA
1097,139,NAO CADASTRADA
1098,214,NAO CADASTRADA
1099,118,NAO CADASTRADA
1100,147,NAO CADASTRADA
1101,135,NAO CADASTRADA
1102,174,NAO CADASTRADA
1103,209,NAO CADASTRADA
1104,123,NAO CADASTRADA
1105,311,NAO CADASTRADA
1106,117,NAO CADASTRADA
1107,122,NAO CADASTRADA
1108,112,NAO CADASTRADA
1109,57,ESTILO REMOTO
1110,116,NAO CADASTRADA
1111,182,NAO CADASTRADA
1112,204,NAO CADASTRADA
1113,113,NAO CADASTRADA
1114,164,NAO CADASTRADA
1115,255,NAO CADASTRADA
1116,114,NAO CADASTRADA
1117,187,NAO CADASTRADA
1118,149,NAO CADASTRADA
1119,121,NAO CADASTRADA
1120,202,NAO CADASTRADA
1121,191,NAO CADASTRADA
1122,229,NAO CADASTRADA
1123,218,NAO CADASTRADA
1124,100,NAO CADASTRADA
1125,205,NAO CADASTRADA
1126,165,NAO CADASTRADA
1127,184,NAO CADASTRADA
1128,162,NAO CADASTRADA
1129,62,NAO CADASTRADA
1130,125,NAO CADASTRADA
1131,166,NAO CADASTRADA
1132,98,NAO CADASTRADA
1133,134,NAO CADASTRADA
1134,140,NAO CADASTRADA
1135,223,NAO CADASTRADA
1136,48,PRIVATE MISTA 2
1137,131,NAO CADASTRADA
1138,489,NAO CADASTRADA
1139,220,NAO CADASTRADA
1140,65,NAO CADASTRADA
1141,137,NAO CADASTRADA
1142,328,NAO CADASTRADA
1143,295,NAO CADASTRADA
1144,152,NAO CADASTRADA
1145,294,NAO CADASTRADA
1146,192,NAO CADASTRADA
1147,320,NAO CADASTRADA
1148,163,NAO CADASTRADA
1149,259,NAO CADASTRADA
1150,177,NAO CADASTRADA
1151,185,NAO CADASTRADA
1152,143,NAO CADASTRADA
1153,242,NAO CADASTRADA
1154,167,NAO CADASTRADA
1155,129,NAO CADASTRADA
1156,45,PRIVATE PRODUTOR RUR
1157,169,NAO CADASTRADA
1158,231,NAO CADASTRADA
1159,276,NAO CADASTRADA
1160,194,NAO CADASTRADA
1161,12,NAO CADASTRADA
1162,142,NAO CADASTRADA
1163,238,NAO CADASTRADA
1164,203,NAO CADASTRADA
1165,178,NAO CADASTRADA
1166,212,NAO CADASTRADA
1167,136,NAO CADASTRADA
1168,216,NAO CADASTRADA
1169,228,NAO CADASTRADA
1170,132,NAO CADASTRADA
1171,394,NAO CADASTRADA
1172,66,NAO CADASTRADA
1173,119,NAO CADASTRADA
1174,330,NAO CADASTRADA
1175,195,NAO CADASTRADA
1176,188,NAO CADASTRADA
1177,110,NAO CADASTRADA
1178,153,NAO CADASTRADA
1179,206,NAO CADASTRADA
1180,138,NAO CADASTRADA
1181,52,NAO CADASTRADA
1182,273,NAO CADASTRADA
1183,175,NAO CADASTRADA
1184,130,NAO CADASTRADA
1185,22,NAO CADASTRADA
1186,172,NAO CADASTRADA
1187,58,NAO CADASTRADA
1188,7,NAO CADASTRADA
1189,69,NAO CADASTRADA
1190,281,NAO CADASTRADA
1191,144,NAO CADASTRADA
1192,168,NAO CADASTRADA
1193,254,NAO CADASTRADA
1194,227,NAO CADASTRADA
1195,265,NAO CADASTRADA
1196,111,NAO CADASTRADA
1197,158,NAO CADASTRADA
1198,54,GRUPO NEG PRIVATE
1199,290,NAO CADASTRADA
1200,148,NAO CADASTRADA
1201,124,NAO CADASTRADA
1202,186,NAO CADASTRADA
1203,126,NAO CADASTRADA
1204,173,NAO CADASTRADA
1205,183,NAO CADASTRADA
1206,199,NAO CADASTRADA
1207,482,NAO CADASTRADA
1208,293,NAO CADASTRADA
1209,277,NAO CADASTRADA
1210,145,NAO CADASTRADA
1211,263,NAO CADASTRADA
1212,257,NAO CADASTRADA
1213,105,NAO CADASTRADA
1214,108,NAO CADASTRADA
1215,318,NAO CADASTRADA
1216,34,PREMIUM
1217,401,NAO CADASTRADA
1218,141,NAO CADASTRADA
1219,267,NAO CADASTRADA
1220,297,NAO CADASTRADA
1221,91,NAO CADASTRADA
1222,42,PRIVATE SUPERIOR
1223,321,EMPRESA REMOTA
1224,13,NAO CADASTRADA
1225,32,PRIVATE PLENO
1226,338,NAO CADASTRADA
1227,128,NAO CADASTRADA
1228,197,NAO CADASTRADA
1229,230,NAO CADASTRADA
1230,14,NAO CADASTRADA
1231,161,NAO CADASTRADA
1232,1,NAO CADASTRADA
1233,37,NAO CADASTRADA
1234,156,NAO CADASTRADA
1235,157,NAO CADASTRADA
1236,252,NAO CADASTRADA
1237,221,NAO CADASTRADA
1238,189,NAO CADASTRADA
1239,319,NAO CADASTRADA
1240,248,NAO CADASTRADA
1241,155,NAO CADASTRADA
1242,151,NAO CADASTRADA
1243,2,NAO CADASTRADA
1244,115,NAO CADASTRADA
1245,346,NAO CADASTRADA
1246,219,NAO CADASTRADA
1247,211,NAO CADASTRADA
1248,179,NAO CADASTRADA
1249,106,NAO CADASTRADA
1250,291,NAO CADASTRADA
1251,326,NAO CADASTRADA
1252,154,NAO CADASTRADA
1253,322,PEQ EMPRESA REMOTA
1254,201,NAO CADASTRADA
1255,31,PRIVATE SENIOR
1256,181,NAO CADASTRADA
1257,28,NAO CADASTRADA
1258,68,NAO CADASTRADA
1259,222,NAO CADASTRADA
1260,287,NAO CADASTRADA
1261,264,NAO CADASTRADA
1262,234,NAO CADASTRADA
1263,208,NAO CADASTRADA
1264,103,NAO CADASTRADA
1265,193,NAO CADASTRADA
1266,256,NAO CADASTRADA
1267,243,NAO CADASTRADA
1268,245,NAO CADASTRADA
1269,266,NAO CADASTRADA
1270,282,NAO CADASTRADA
1271,247,NAO CADASTRADA
1272,236,NAO CADASTRADA
1273,575,NAO CADASTRADA
1274,692,NAO CADASTRADA
1275,516,NAO CADASTRADA
1276,5006,NAO CADASTRADA
1277,416,NAO CADASTRADA
1278,390,NAO CADASTRADA
1279,436,NAO CADASTRADA
1280,358,NAO CADASTRADA
1281,457,NAO CADASTRADA
1282,5005,NAO CADASTRADA
1283,546,NAO CADASTRADA
1284,576,NAO CADASTRADA
1285,391,NAO CADASTRADA
1286,688,NAO CADASTRADA
1287,553,NAO CADASTRADA
1288,533,NAO CADASTRADA
1289,509,NAO CADASTRADA
1290,438,NAO CADASTRADA
1291,5130,NAO CADASTRADA
1292,566,NAO CADASTRADA
1293,695,NAO CADASTRADA
1294,547,NAO CADASTRADA
1295,685,NAO CADASTRADA
1296,693,NAO CADASTRADA
1297,439,NAO CADASTRADA
1298,468,NAO CADASTRADA
1299,443,NAO CADASTRADA
1300,569,NAO CADASTRADA
1301,549,NAO CADASTRADA
1302,427,NAO CADASTRADA
1303,517,NAO CADASTRADA
1304,698,NAO CADASTRADA
1305,5133,NAO CADASTRADA
1306,418,NAO CADASTRADA
1307,440,NAO CADASTRADA
1308,568,NAO CADASTRADA
1309,686,NAO CADASTRADA
1310,407,NAO CADASTRADA
1311,434,NAO CADASTRADA
1312,704,NAO CADASTRADA
1313,406,PLATAFORMA(GOV)
1314,551,NAO CADASTRADA
1315,365,NAO CADASTRADA
1316,501,NAO CADASTRADA
